"yearmo","strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s","variable"
200210,1,24339.7649336056,24339.7683527514,754532.8,28,29,31,1202689836.67361,13424.9935636434,290.034070407742,290.007815631448,"TSS"
200211,0,23178.4462848763,23178.4462848763,695353.4,29,30,30,407612436.533197,7667.72965947817,290.8978634304,290.8978634304,"TSS"
200212,0,23785.7805312779,23785.7805312779,737359.2,30,31,31,331371591.83181,6787.51324083141,291.761696644645,291.761696644645,"TSS"
200301,0,23585.8084119001,23585.8084119001,731160.1,30,31,31,425492812.253907,7691.2896472577,292.642983969032,292.642983969032,"TSS"
200302,0,21732.5186274687,21732.5186274687,608510.5,27,28,28,898771532.794281,11838.1614003261,293.476483268,293.476483268,"TSS"
200303,0,20824.588421462,20824.588421462,645562.2,30,31,31,1195201826.39916,12890.6161632331,294.3106608,294.3106608,"TSS"
200304,0,21075.4826836245,21075.4826836245,632264.5,29,30,30,1681679213.7119,15574.5195272194,295.1737781016,295.1737781016,"TSS"
200305,4,20626.8516031928,20626.8512196685,639432.3,15.0217090636148,29,31,541322629.653605,12793.4834871208,296.0379856,296.042820160757,"TSS"
200306,0,20852.3312878921,20852.3312878921,625569.9,29,30,30,1034098224.0318,12213.045516004,296.8990003792,296.8990003792,"TSS"
200307,0,20722.7506339996,20722.7506339996,642405.3,30,31,31,1311154898.31343,13501.4388466807,297.764707526194,297.764707526194,"TSS"
200308,0,21295.7621628525,21295.7621628525,660168.6,30,31,31,1330753423.6199,13601.9711343072,298.642679044645,298.642679044645,"TSS"
200309,0,20268.5296758277,20268.5296758277,608055.9,29,30,30,1334748635.50922,13875.3140718779,299.5063263728,299.5063263728,"TSS"
200210,6,8152706.15502728,8152710.30229871,252734019.5,9.425656073208,29,31,316719519321283,13023354.2921737,290.034070407742,290.028305916313,"TP"
200211,0,25097012.4339305,25097012.4339305,752910373,29,30,30,10500469749480058,38917724.8778673,290.8978634304,290.8978634304,"TP"
200212,0,53332364.3925711,53332364.3925711,1653303296.2,30,31,31,150930643509061760,144857759.805124,291.761696644645,291.761696644645,"TP"
200301,0,112089249.803367,112089249.803367,3474766743.9,30,31,31,441171070384334912,247660397.588974,292.642983969032,292.642983969032,"TP"
200302,0,134317419.296099,134317419.296099,3760887740.3,27,28,28,298827148546305408,215858735.180943,293.476483268,293.476483268,"TP"
200303,0,320536200.411969,320536200.411969,9936622212.8,30,31,31,2001158156124740096,527465136.226347,294.3106608,294.3106608,"TP"
200304,0,223178482.762532,223178482.762532,6695354482.9,29,30,30,2094598208767911680,549659126.569135,295.1737781016,295.1737781016,"TP"
200305,8,413515658.4064,413515559.898186,12818982356.9,6.75654573250292,29,31,644818527443138944,735867033.397318,296.0379856,296.042251388903,"TP"
200306,0,146621003.658889,146621003.658889,4398630109.8,29,30,30,711718811196086400,320403537.104557,296.8990003792,296.8990003792,"TP"
200307,0,356023370.709822,356023370.709822,11036724492,30,31,31,3892733566973437952,735665505.232378,297.764707526194,297.764707526194,"TP"
200308,0,184465330.5366,184465330.5366,5718425246.6,30,31,31,1977015575143747584,524273731.539363,298.642679044645,298.642679044645,"TP"
200309,0,196186984.006393,196186984.006393,5885609520.2,29,30,30,1569628282061389312,475818679.278461,299.5063263728,299.5063263728,"TP"
200210,5,428761.615909049,428761.828025655,13291616.6,9.93635047312952,29,31,705088585323.989,594056.656141598,290.034070407742,290.026339109391,"SRP"
200211,0,302391.728618386,302391.728618386,9071751.9,29,30,30,465308463163.191,259067.870538032,290.8978634304,290.8978634304,"SRP"
200212,0,821966.149771968,821966.149771968,25480950.6,30,31,31,44593323118833.8,2489934.77957782,291.761696644645,291.761696644645,"SRP"
200301,0,1033205.62015055,1033205.62015055,32029374.2,30,31,31,80975616061157.2,3355290.93245597,292.642983969032,292.642983969032,"SRP"
200302,0,355493.579568337,355493.579568337,9953820.2,27,28,28,412203714199.767,253521.942031641,293.476483268,293.476483268,"SRP"
200303,0,1872540.48392003,1872540.48392003,58048755,30,31,31,143762215252075,4470698.9992814,294.3106608,294.3106608,"SRP"
200304,0,2217373.23272524,2217373.23272524,66521197,29,30,30,217886547546123,5606067.05660569,295.1737781016,295.1737781016,"SRP"
200305,6,3292396.33431311,3292396.52826221,102064292.3,11.607992457363,29,31,67429421126942.2,5271027.03699884,296.0379856,296.044078279226,"SRP"
200306,0,1859518.62608195,1859518.62608195,55785558.8,29,30,30,107284627581083,3933795.94660647,296.8990003792,296.8990003792,"SRP"
200307,0,2438343.38239747,2438343.38239747,75588644.9,30,31,31,165000118918951,4789555.18340968,297.764707526194,297.764707526194,"SRP"
200308,0,1566364.78830871,1566364.78830871,48557308.4,30,31,31,41450739704789.7,2400596.64797153,298.642679044645,298.642679044645,"SRP"
200309,0,1918649.77055809,1918649.77055809,57559493.1,29,30,30,84947894755695.8,3500413.81885527,299.5063263728,299.5063263728,"SRP"
