"yearmo","strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200210,7,493.1881880797,493.187135678137,15288.7,6.74739535260461,29,31,1126404.64142029,973.523558611052,290.034070407742,290.032598238624
200211,0,62147.3387105864,62147.3387105864,1864420.2,29,30,30,174834447675.709,158802.22476561,290.8978634304,290.8978634304
200212,0,269583.937864088,269583.937864088,8357102.1,30,31,31,332379347503.958,214966.144975788,291.761696644645,291.761696644645
200301,0,318456.445019816,318456.445019816,9872149.8,30,31,31,329929566281.976,214172.482588494,292.642983969032,292.642983969032
200302,0,170532.338678238,170532.338678238,4774905.5,27,28,28,182156124484.498,168531.657279303,293.476483268,293.476483268
200303,0,159349.529918524,159349.529918524,4939835.4,30,31,31,271875962635.175,194418.88978552,294.3106608,294.3106608
200304,0,224094.87544693,224094.87544693,6722846.3,29,30,30,62269085730.6346,94771.842523478,295.1737781016,295.1737781016
200305,7,195987.479673591,195987.480624858,6075611.8,6.84688265896057,29,31,9247281815.03383,87296.1049559388,296.0379856,296.040499857806
200306,0,197597.532391974,197597.532391974,5927926,29,30,30,172518255757.255,157746.818432665,296.8990003792,296.8990003792
200307,0,101494.726669752,101494.726669752,3146336.5,30,31,31,60779032747.7676,91924.2181997427,297.764707526194,297.764707526194
200308,0,40608.4205842645,40608.4205842645,1258861,30,31,31,20131459968.7718,52904.2654384129,298.642679044645,298.642679044645
200309,0,37977.2556822358,37977.2556822358,1139317.7,29,30,30,14475635491.5051,45694.2863410772,299.5063263728,299.5063263728
