"yearmo","strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200210,1,509.944863990437,509.945151606789,15808.3,28,29,31,3823165.24344325,756.91794278738,290.034070407742,290.007815631448
200210,2,520.301739158037,520.301532596851,16129.3,26.7304371703672,29,31,1939478.16727539,552.950013250135,290.034070407742,290.016089696464
200210,3,493.1881880797,493.187135678137,15288.7,11.4380832814662,29,31,1426721.36347874,773.721277717738,290.034070407742,290.032598238624
200210,4,493.1881880797,493.187135678137,15288.7,8.22044635288766,29,31,1165689.27076741,864.331197054589,290.034070407742,290.032598238624
200210,5,493.1881880797,493.187135678137,15288.7,7.96737999810076,29,31,1149297.53122744,876.452001764645,290.034070407742,290.032598238624
200210,6,493.1881880797,493.187135678137,15288.7,7.59883237730776,29,31,1126412.51992699,896.066659414508,290.034070407742,290.032598238624
200210,7,493.1881880797,493.187135678137,15288.7,6.74739535260461,29,31,1126404.64142029,973.523558611052,290.034070407742,290.032598238624
200210,8,493.1881880797,493.187135678137,15288.7,6.71219413443049,29,31,1126438.58182214,977.171308066256,290.034070407742,290.032598238624
200210,9,493.1881880797,493.187135678137,15288.8,6.40122333972967,29,31,1309357.50744947,1090.06572470028,290.034070407742,290.032598238624
200211,0,62147.3387105864,62147.3387105864,1864420.2,29,30,30,174834447675.709,158802.22476561,290.8978634304,290.8978634304
200212,0,269583.937864088,269583.937864088,8357102.1,30,31,31,332379347503.958,214966.144975788,291.761696644645,291.761696644645
200301,0,318456.445019816,318456.445019816,9872149.8,30,31,31,329929566281.976,214172.482588494,292.642983969032,292.642983969032
200302,0,170532.338678238,170532.338678238,4774905.5,27,28,28,182156124484.498,168531.657279303,293.476483268,293.476483268
200303,0,159349.529918524,159349.529918524,4939835.4,30,31,31,271875962635.175,194418.88978552,294.3106608,294.3106608
200304,0,224094.87544693,224094.87544693,6722846.3,29,30,30,62269085730.6346,94771.842523478,295.1737781016,295.1737781016
200305,1,195815.373035391,195815.347236847,6070275.8,28,29,31,64540186883.5821,98345.0204505912,296.0379856,296.036686932965
200305,2,194917.601215826,194917.577446674,6042444.9,12.3812531579399,29,31,50699665869.9468,138950.165887376,296.0379856,296.047833553778
200305,3,194917.601215826,194917.577446674,6042444.8,13.7717921952934,29,31,13922940943.4872,68301.4565885742,296.0379856,296.047833553778
200305,4,195631.886781863,195631.891764896,6064588.5,8.34238616107203,29,31,10260231826.8796,80297.0258498804,296.0379856,296.039906575174
200305,5,195631.886781863,195631.891764896,6064588.5,7.24980843764063,29,31,9521054039.42372,85097.267493764,296.0379856,296.039906575174
200305,6,195801.185966912,195801.178432607,6069836.5,6.96089345214616,29,31,9324524804.98944,86643.8648758294,296.0379856,296.043599372977
200305,7,195987.479673591,195987.480624858,6075611.8,6.84688265896057,29,31,9247281815.03383,87296.1049559388,296.0379856,296.040499857806
200305,8,195987.479673591,195987.480624858,6075611.9,7.52787402800837,29,31,9299238215.92417,81942.3633353213,296.0379856,296.040499857806
200305,9,196070.015136067,196070.027346051,6078170.8,7.67076119785374,29,31,9395478616.65598,81311.9178852947,296.0379856,296.039307050667
200306,0,197597.532391974,197597.532391974,5927926,29,30,30,172518255757.255,157746.818432665,296.8990003792,296.8990003792
200307,0,101494.726669752,101494.726669752,3146336.5,30,31,31,60779032747.7676,91924.2181997427,297.764707526194,297.764707526194
200308,0,40608.4205842645,40608.4205842645,1258861,30,31,31,20131459968.7718,52904.2654384129,298.642679044645,298.642679044645
200309,0,37977.2556822358,37977.2556822358,1139317.7,29,30,30,14475635491.5051,45694.2863410772,299.5063263728,299.5063263728
