"yearmo","strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200210,1,1,509.944863990437,509.945151606789,15808.3,28,29,31,3823165.24344325,756.91794278738,290.034070407742,290.007815631448
200210,2,1,153.003152831232,153.003152831232,1377,8,9,9,5996.61448829748,568.212341814857,289.722820058667,289.722820058667
200210,2,2,670.560251746275,670.559960682786,14752.3,19,20,22,3003.62064818862,578.952109260658,290.161400096,290.1360636392
200210,3,1,153.003152831232,153.003152831232,1377,8,9,9,5996.61448829748,568.212341814857,289.722820058667,289.722820058667
200210,3,2,744.555054553073,744.555054553073,12657.4,16,17,17,1440.59007484871,341.960229353958,290.090907920941,290.090907920941
200210,3,3,250.873905517472,250.867380627786,1254.3,2,3,5,20986.6023318148,2203.75021878282,290.4010734912,290.391946042667
200210,4,1,0,NA,NA,4,5,5,NA,NA,289.6667056,289.6667056
200210,4,2,344.257093870272,344.257093870272,1377,3,4,4,14043.3550525476,870.955341332528,289.792963132,289.792963132
200210,4,3,744.555054553073,744.555054553073,12657.4,16,17,17,1440.59007484871,341.960229353958,290.090907920941,290.090907920941
200210,4,4,250.873905517472,250.867380627786,1254.3,2,3,5,20986.6023318148,2203.75021878282,290.4010734912,290.391946042667
200210,5,1,0,NA,NA,4,5,5,NA,NA,289.6667056,289.6667056
200210,5,2,344.257093870272,344.257093870272,1377,3,4,4,14043.3550525476,870.955341332528,289.792963132,289.792963132
200210,5,3,676.326989281536,676.326989281536,3381.6,4,5,5,2509.48493520927,347.713374929629,289.9206223456,289.9206223456
200210,5,4,772.98341508288,772.98341508288,9275.8,11,12,12,2341.67825493803,385.359109189383,290.161860244,290.161860244
200210,5,5,250.873905517472,250.867380627786,1254.3,2,3,5,20986.6023318148,2203.75021878282,290.4010734912,290.391946042667
200210,6,1,0,NA,NA,4,5,5,NA,NA,289.6667056,289.6667056
200210,6,2,344.257093870272,344.257093870272,1377,3,4,4,14043.3550525476,870.955341332528,289.792963132,289.792963132
200210,6,3,676.326989281536,676.326989281536,3381.6,4,5,5,2509.48493520927,347.713374929629,289.9206223456,289.9206223456
200210,6,4,823.546293643337,823.546293643337,5764.8,6,7,7,5130.8589344091,500.882405461951,290.090790132571,290.090790132571
200210,6,5,702.19538509824,702.19538509824,3511,4,5,5,2516.1827849831,348.177091607001,290.2613584,290.2613584
200210,6,6,250.873905517472,250.867380627786,1254.3,2,3,5,20986.6023318148,2203.75021878282,290.4010734912,290.391946042667
200210,7,1,0,NA,NA,4,5,5,NA,NA,289.6667056,289.6667056
200210,7,2,344.257093870272,344.257093870272,1377,3,4,4,14043.3550525476,870.955341332528,289.792963132,289.792963132
200210,7,3,676.326989281536,676.326989281536,3381.6,4,5,5,2509.48493520927,347.713374929629,289.9206223456,289.9206223456
200210,7,4,751.8069623808,751.8069623808,3007.2,3,4,4,9.350543877963e-19,7.10687840788717e-09,290.0489824,290.0489824
200210,7,5,919.19873532672,919.19873532672,2757.6,2,3,3,27933.801031039,1525.48369420263,290.146533776,290.146533776
200210,7,6,702.19538509824,702.19538509824,3511,4,5,5,2516.1827849831,348.177091607001,290.2613584,290.2613584
200210,7,7,250.873905517472,250.867380627786,1254.3,2,3,5,20986.6023318148,2203.75021878282,290.4010734912,290.391946042667
200210,8,1,0,NA,NA,4,5,5,NA,NA,289.6667056,289.6667056
200210,8,2,344.257093870272,344.257093870272,1377,3,4,4,14043.3550525476,870.955341332528,289.792963132,289.792963132
200210,8,3,676.326989281536,676.326989281536,3381.6,4,5,5,2509.48493520927,347.713374929629,289.9206223456,289.9206223456
200210,8,4,751.770263808,751.770263808,2255.3,2,3,3,6.23326246334394e-19,7.20609957861633e-09,290.034824,290.034824
200210,8,5,751.9904552448,751.9904552448,2256,2,3,3,6.84135830380177e-24,2.3873369526311e-11,290.1197744,290.1197744
200210,8,6,919.34552961792,919.34552961792,2758,2,3,3,27937.4358224044,1525.58294017689,290.203167376,290.203167376
200210,8,7,668.8274116608,668.8274116608,2006.5,2,3,3,6989.53298934901,763.073956868633,290.2896752,290.2896752
200210,8,8,250.873905517472,250.867380627786,1254.3,2,3,5,20986.6023318148,2203.75021878282,290.4010734912,290.391946042667
200210,9,1,0,NA,NA,4,5,5,NA,NA,289.6667056,289.6667056
200210,9,2,459.009458493696,459.009458493696,1377,2,3,3,1741.20870942124,380.862284044953,289.778415376,289.778415376
200210,9,3,417.4217998848,417.4217998848,1252.3,2,3,3,48776.3942876569,2015.79980335221,289.8649232,289.8649232
200210,9,4,709.78984891776,709.78984891776,2129.4,2,3,3,1743.47809718,381.110399838514,289.948316176,289.948316176
200210,9,5,751.770263808,751.770263808,2255.3,2,3,3,6.23326246334394e-19,7.20609957861633e-09,290.034824,290.034824
200210,9,6,751.9904552448,751.9904552448,2256,2,3,3,6.84135830380177e-24,2.3873369526311e-11,290.1197744,290.1197744
200210,9,7,919.34552961792,919.34552961792,2758,2,3,3,27937.4358224044,1525.58294017689,290.203167376,290.203167376
200210,9,8,668.8274116608,668.8274116608,2006.5,2,3,3,6989.53298934901,763.073956868633,290.2896752,290.2896752
200210,9,9,250.873905517472,250.867380627786,1254.3,2,3,5,20986.6023318148,2203.75021878282,290.4010734912,290.391946042667
