"yearmo","strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200210,1,1,2640.7338887492,2640.73298446467,81862.7,28,29,31,8690543.65606868,1141.19730779329,290.034070407742,290.007815631448
200210,2,1,2974.91073832291,2974.91073832291,56523.3,18,19,19,2193.91190913692,440.693736874448,289.864431381895,289.864431381895
200210,2,2,2005.25950170365,2005.25841981165,24063.1,9,10,12,4238.62245353792,589.108287899453,290.302665532,290.2802457056
200210,3,1,3042.3943788551,3042.3943788551,48678.3,15,16,16,1166.57487078022,300.750057045832,289.821863966,289.821863966
200210,3,2,2383.28657264106,2383.28657264106,16683,6,7,7,6885.12673616176,580.225362614028,290.147423732571,290.147423732571
200210,3,3,1868.95806018884,1868.95672621308,14951.7,5,6,8,3262.68740127444,525.320261982994,290.359299132,290.340810621333
200210,4,1,3057.27810482677,3057.27810482677,45859.2,14,15,15,1075.01882484723,281.91577707769,289.8076666304,289.8076666304
200210,4,2,2666.03311393344,2666.03311393344,10664.1,3,4,4,2862.14198530182,393.193234130099,290.0772992,290.0772992
200210,4,3,2145.97615351185,2145.97615351185,12875.9,5,6,6,1828.2325697199,294.926232753268,290.218104488,290.218104488
200210,4,4,1793.88242179982,1793.88089829669,10763.3,3,4,6,2256.5795630738,523.693318743055,290.387226576,290.373457532
200210,5,1,3098.57864699874,3098.57864699874,34084.4,10,11,11,1240.09238047245,272.936712478066,289.751231248,289.751231248
200210,5,2,2918.78898893909,2918.78898893909,14593.9,4,5,5,1475.24596841173,266.600720079131,289.9772559456,289.9772559456
200210,5,3,2614.99798881792,2614.99798881792,7845,2,3,3,488.572109518202,201.746908203973,290.0914576,290.0914576
200210,5,4,2145.97615351185,2145.97615351185,12875.9,5,6,6,1828.2325697199,294.926232753268,290.218104488,290.218104488
200210,5,5,1793.88242179982,1793.88089829669,10763.3,3,4,6,2256.5795630738,523.693318743055,290.387226576,290.373457532
200210,6,1,3149.4113728128,3149.4113728128,18896.5,5,6,6,1562.20063336865,272.625256613034,289.680864,289.680864
200210,6,2,3021.41471127285,3021.41471127285,21149.9,6,7,7,1408.69498970514,262.451599666529,289.864255732571,289.864255732571
