"yearmo","strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200210,6,27524.4887481284,27524.4906803447,853259.2,16.3127787684369,29,31,59680074.1867476,4048.46933752401,290.034070407742,290.027332607871
200211,0,25762.0241879194,25762.0241879194,772860.7,29,30,30,281339923.547555,6370.28352448061,290.8978634304,290.8978634304
200212,0,32181.9844830143,32181.9844830143,997641.5,30,31,31,2220619600.50117,17570.7434311972,291.761696644645,291.761696644645
200301,0,31037.9370699565,31037.9370699565,962176,30,31,31,1458428292.04766,14239.5279732241,292.642983969032,292.642983969032
200302,0,39345.2809551994,39345.2809551994,1101667.9,27,28,28,1139694529.4343,13330.7269956261,293.476483268,293.476483268
200303,0,43481.4402088243,43481.4402088243,1347924.6,30,31,31,4042152087.85224,23706.0599198892,294.3106608,294.3106608
200304,0,35967.6502598991,35967.6502598991,1079029.5,29,30,30,7977419853.53545,33921.4418844906,295.1737781016,295.1737781016
200305,4,43446.7624679177,43446.7615641591,1346849.7,15.7488493129513,29,31,1166312876.53192,18266.8126863372,296.0379856,296.048615361342
200306,0,5875.59960273162,5875.59960273162,176268,29,30,30,211700437264.371,174744.677690632,296.8990003792,296.8990003792
200307,0,33906.8656191729,33906.8656191729,1051112.8,30,31,31,2070939073.42772,16968.2367047933,297.764707526194,297.764707526194
200308,0,29918.820571889,29918.820571889,927483.4,30,31,31,835188390.397766,10775.6946709588,298.642679044645,298.642679044645
200309,0,38605.0221094184,38605.0221094184,1158150.7,29,30,30,1244389273.22832,13397.4211254941,299.5063263728,299.5063263728
