"yearmo","strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200210,1,464149.437136438,464148.833498414,14388613.8,28,29,31,5380408295015.04,897934.963804203,290.034070407742,290.007815631448
200210,2,428761.615909049,428761.828025655,13291616.7,14.9629734778235,29,31,890566401528.662,520107.201330648,290.034070407742,290.026339109391
200210,3,428761.615909049,428761.828025655,13291616.7,11.2172438664996,29,31,750745476304.868,568061.293559392,290.034070407742,290.026339109391
200210,4,428761.615909049,428761.828025655,13291616.7,10.7635318869128,29,31,734448119211.546,576481.845413229,290.034070407742,290.026339109391
200210,5,428761.615909049,428761.828025655,13291616.6,9.93635047312952,29,31,705088585323.989,594056.656141598,290.034070407742,290.026339109391
200210,6,428761.615909049,428761.828025655,13291616.6,9.95036798730736,29,31,705899160260.126,593864.990726875,290.034070407742,290.026339109391
200210,7,428761.615909049,428761.828025655,13291616.6,10.0748714672573,29,31,711123491771.232,591367.845347789,290.034070407742,290.026339109391
200210,8,439185.271024869,439186.219646351,13614772.7,3.47526274304745,29,31,812470895587.599,1426300.19616157,290.034070407742,290.032598238624
200210,9,439185.271024869,439186.219646351,13614772.7,3.51795215432472,29,31,817695227098.704,1414100.01433201,290.034070407742,290.032598238624
200211,0,302391.728618386,302391.728618386,9071751.9,29,30,30,465308463163.191,259067.870538032,290.8978634304,290.8978634304
200212,0,821966.149771968,821966.149771968,25480950.6,30,31,31,44593323118833.8,2489934.77957782,291.761696644645,291.761696644645
200301,0,1033205.62015055,1033205.62015055,32029374.2,30,31,31,80975616061157.2,3355290.93245597,292.642983969032,292.642983969032
200302,0,355493.579568337,355493.579568337,9953820.2,27,28,28,412203714199.767,253521.942031641,293.476483268,293.476483268
200303,0,1872540.48392003,1872540.48392003,58048755,30,31,31,143762215252075,4470698.9992814,294.3106608,294.3106608
200304,0,2217373.23272524,2217373.23272524,66521197,29,30,30,217886547546123,5606067.05660569,295.1737781016,295.1737781016
200305,1,3437283.43422113,3437279.93375575,106555677.9,28,29,31,424958707311699,7980142.22915371,296.0379856,296.036686932965
200305,2,3275063.71515332,3275063.50388885,101526968.6,14.2296706342201,29,31,201423625720448,8057210.15428914,296.0379856,296.05227775447
200305,3,3288322.27557649,3288321.3041475,101937960.5,16.7279917039842,29,31,73805258776808.4,4437153.83730981,296.0379856,296.05114225514
200305,4,3275063.71515332,3275063.50388885,101526968.6,11.8188746284306,29,31,68041303113690.6,5236689.95121275,296.0379856,296.05227775447
200305,5,3292396.33431311,3292396.52826221,102064292.3,11.6404355617762,29,31,67523274626070.4,5265650.43806061,296.0379856,296.044078279226
200305,6,3292396.33431311,3292396.52826221,102064292.3,11.607992457363,29,31,67429421126942.2,5271027.03699884,296.0379856,296.044078279226
200305,7,3292396.33431311,3292396.52826221,102064292.3,11.6108860460879,29,31,67437887297958.5,5270549.97667066,296.0379856,296.044078279226
200305,8,3292396.33431311,3292396.52826221,102064292.3,7.62773638746732,29,31,67995736579471.2,6943915.1006781,296.0379856,296.044078279226
200305,9,3346005.23131872,3345998.55167683,103725955.1,6.79476297550286,29,31,89703452777922.8,8644598.25570488,296.0379856,296.039307050667
200306,0,1859518.62608195,1859518.62608195,55785558.8,29,30,30,107284627581083,3933795.94660647,296.8990003792,296.8990003792
200307,0,2438343.38239747,2438343.38239747,75588644.9,30,31,31,165000118918951,4789555.18340968,297.764707526194,297.764707526194
200308,0,1566364.78830871,1566364.78830871,48557308.4,30,31,31,41450739704789.7,2400596.64797153,298.642679044645,298.642679044645
200309,0,1918649.77055809,1918649.77055809,57559493.1,29,30,30,84947894755695.8,3500413.81885527,299.5063263728,299.5063263728
