"yearmo","strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200210,1,1,464149.437136438,464148.833498414,14388613.8,28,29,31,5380408295015.04,897934.963804203,290.034070407742,290.007815631448
200210,2,1,710628.859089992,710628.859089992,14212577.2,19,20,20,654904828.355866,245763.006308991,289.8786143728,289.8786143728
200210,2,2,-83724.2807835751,-83723.6830004137,-920960.5,8,9,11,5195078266.00261,646403.680847281,290.316717744,290.294929539556
200210,3,1,758693.320795506,758693.320795506,11380399.8,14,15,15,383814893.580272,168450.482084938,289.8076666304,289.8076666304
200210,3,2,566435.473973453,566435.473973453,2832177.4,4,5,5,1431306202.51964,262600.395901247,290.0914576,290.0914576
200210,3,3,-83724.2807835751,-83723.6830004137,-920960.5,8,9,11,5195078266.00261,646403.680847281,290.316717744,290.294929539556
200210,4,1,767870.880917264,767870.880917264,9982321.5,12,13,13,460280977.778704,175422.043847349,289.779613394462,289.779613394462
200210,4,2,684039.496507039,684039.496507039,2052118.5,2,3,3,301399344.428164,158457.829870794,290.004949776,290.004949776
200210,4,3,544534.310088576,544534.310088576,2178137.2,3,4,4,1583973105.04847,292505.711440372,290.105616,290.105616
200210,4,4,-83724.2807835751,-83723.6830004137,-920960.5,8,9,11,5195078266.00261,646403.680847281,290.316717744,290.294929539556
200210,5,1,736842.772214266,736842.772214266,5894742.2,7,8,8,256162219.190454,114435.46663239,289.708596766,289.708596766
200210,5,2,868197.383092224,868197.383092224,2604592.1,2,3,3,3040400633.91151,503278.015118893,289.8649232,289.8649232
200210,5,3,707021.12289095,707021.12289095,3535105.6,4,5,5,295302308.940219,119278.596743477,289.9772559456,289.9772559456
200210,5,4,544534.310088576,544534.310088576,2178137.2,3,4,4,1583973105.04847,292505.711440372,290.105616,290.105616
200210,5,5,-83724.2807835751,-83723.6830004137,-920960.5,8,9,11,5195078266.00261,646403.680847281,290.316717744,290.294929539556
200210,6,1,758253.229797888,758253.229797888,2274759.7,2,3,3,1380018868.45436,339066.641343565,289.6383888,289.6383888
200210,6,2,723996.497664092,723996.497664092,3619982.5,4,5,5,191391485.929471,96026.3467959705,289.7507215456,289.7507215456
200210,6,3,868197.383092224,868197.383092224,2604592.1,2,3,3,3040400633.91151,503278.015118893,289.8649232,289.8649232
200210,6,4,707021.12289095,707021.12289095,3535105.6,4,5,5,295302308.940219,119278.596743477,289.9772559456,289.9772559456
