"yearmo","strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200210,7,2274089.95313096,2274090.02194961,70496790.7,17.5622607852645,29,31,18232659335.729,67814.2959224868,290.034070407742,290.032598238624
200211,0,2328589.96071524,2328589.96071524,69857698.8,29,30,30,1636448969799.05,485841.16893514,290.8978634304,290.8978634304
200212,0,1765731.84115131,1765731.84115131,54737687.1,30,31,31,3038992905783.69,650006.793883542,291.761696644645,291.761696644645
200301,0,1613640.6144681,1613640.6144681,50022859,30,31,31,12030032618826.8,1293261.81651771,292.642983969032,292.642983969032
200302,0,2444590.79082101,2444590.79082101,68448542.1,27,28,28,6531006190224.34,1009135.88571746,293.476483268,293.476483268
200303,0,1413139.79896248,1413139.79896248,43807333.8,30,31,31,23924061976848.4,1823771.86731675,294.3106608,294.3106608
200304,0,1006863.40019577,1006863.40019577,30205902,29,30,30,1565441894033.26,475183.722703083,295.1737781016,295.1737781016
200305,9,819426.066503691,819426.32669351,25402216.2,9.69554272598108,29,31,103419998590.154,231105.443882887,296.0379856,296.039307050667
200306,0,828975.046518474,828975.046518474,24869251.4,29,30,30,3025524982725.85,660607.425767503,296.8990003792,296.8990003792
200307,0,477666.105444217,477666.105444217,14807649.3,30,31,31,1215935532882.63,411157.605105756,297.764707526194,297.764707526194
200308,0,600191.954990604,600191.954990604,18605950.6,30,31,31,1413312008575.04,443273.814837244,298.642679044645,298.642679044645
200309,0,665432.159321581,665432.159321581,19962964.8,29,30,30,1468353534853.03,460212.484657441,299.5063263728,299.5063263728
