"yearmo","strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200210,1,2265868.68817415,2265868.93729208,70241937.1,28,29,31,660266412941.648,314555.199643843,290.034070407742,290.007815631448
200210,2,2271706.21843444,2271706.33189986,70422896.3,23.9412840673004,29,31,134989385677.699,154996.112822022,290.034070407742,290.017010377073
200210,3,2275798.39638349,2275798.37361937,70549749.6,24.1634085567384,29,31,46708311354.7554,90709.1163640408,290.034070407742,290.026339109391
200210,4,2275798.39638349,2275798.37361937,70549749.6,23.5121050116253,29,31,30915910682.8987,74922.239803509,290.034070407742,290.026339109391
200210,5,2275798.39638349,2275798.37361937,70549749.6,21.6536933410591,29,31,25335573747.4023,71004.2628860528,290.034070407742,290.026339109391
200210,6,2274089.95313096,2274090.02194961,70496790.7,19.9048781967535,29,31,20563186040.0421,67066.4318828691,290.034070407742,290.032598238624
200210,7,2274089.95313096,2274090.02194961,70496790.7,17.5622607852645,29,31,18232659335.729,67814.2959224868,290.034070407742,290.032598238624
200210,8,2274089.95313096,2274090.02194961,70496790.7,15.4359612681622,29,31,18625699690.4356,73857.9620123795,290.034070407742,290.032598238624
200210,9,2274089.95313096,2274090.02194961,70496790.7,14.0364784248243,29,31,19331419051.4892,79575.8005196352,290.034070407742,290.032598238624
200211,0,2328589.96071524,2328589.96071524,69857698.8,29,30,30,1636448969799.05,485841.16893514,290.8978634304,290.8978634304
200212,0,1765731.84115131,1765731.84115131,54737687.1,30,31,31,3038992905783.69,650006.793883542,291.761696644645,291.761696644645
200301,0,1613640.6144681,1613640.6144681,50022859,30,31,31,12030032618826.8,1293261.81651771,292.642983969032,292.642983969032
200302,0,2444590.79082101,2444590.79082101,68448542.1,27,28,28,6531006190224.34,1009135.88571746,293.476483268,293.476483268
200303,0,1413139.79896248,1413139.79896248,43807333.8,30,31,31,23924061976848.4,1823771.86731675,294.3106608,294.3106608
200304,0,1006863.40019577,1006863.40019577,30205902,29,30,30,1565441894033.26,475183.722703083,295.1737781016,295.1737781016
200305,1,831662.635294935,831662.615096232,25781541.1,28,29,31,2794331826155.83,647107.233171732,296.0379856,296.036686932965
200305,2,825458.878612726,825459.255791829,25589237,24.0439906722953,29,31,1316126781586.41,482827.37974147,296.0379856,296.04161730572
200305,3,814009.401601023,814009.399510974,25234291.4,24.717478382765,29,31,405336785185.667,263892.849342841,296.0379856,296.029133555183
200305,4,828142.061258195,828142.201949685,25672408.3,22.9332570278709,29,31,238990909466.57,211210.925855962,296.0379856,296.04681861471
200305,5,828142.061258195,828142.201949685,25672408.4,21.2400287787824,29,31,174076411001.641,188137.931136648,296.0379856,296.04681861471
200305,6,825185.410639838,825185.509243402,25580750.8,18.3567660866116,29,31,121435149715.479,170639.437022584,296.0379856,296.044078279226
200305,7,819426.066503691,819426.32669351,25402216.1,11.0468667136736,29,31,107940802055.556,217453.112278027,296.0379856,296.039307050667
200305,8,819426.066503691,819426.32669351,25402216.2,10.1753968723853,29,31,103567092374.667,224266.130776389,296.0379856,296.039307050667
200305,9,819426.066503691,819426.32669351,25402216.2,9.69554272598108,29,31,103419998590.154,231105.443882887,296.0379856,296.039307050667
200306,0,828975.046518474,828975.046518474,24869251.4,29,30,30,3025524982725.85,660607.425767503,296.8990003792,296.8990003792
200307,0,477666.105444217,477666.105444217,14807649.3,30,31,31,1215935532882.63,411157.605105756,297.764707526194,297.764707526194
200308,0,600191.954990604,600191.954990604,18605950.6,30,31,31,1413312008575.04,443273.814837244,298.642679044645,298.642679044645
200309,0,665432.159321581,665432.159321581,19962964.8,29,30,30,1468353534853.03,460212.484657441,299.5063263728,299.5063263728
