"yearmo","strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200210,1,1,2265868.68817415,2265868.93729208,70241937.1,28,29,31,660266412941.648,314555.199643843,290.034070407742,290.007815631448
200210,2,1,2091789.35325166,2091789.35325166,20917893.5,9,10,10,222512903.363275,112480.987286631,289.7370303728,289.7370303728
200210,2,2,2357380.91614053,2357381.0836371,49505002.8,18,19,21,255641939.549595,166268.137248775,290.175518043429,290.150334188632
200210,3,1,2091789.35325166,2091789.35325166,20917893.5,9,10,10,222512903.363275,112480.987286631,289.7370303728,289.7370303728
200210,3,2,2299056.77501863,2299056.77501863,22990567.8,9,10,10,135640114.462312,87820.436871359,290.0201983728,290.0201983728
200210,3,3,2421935.36410776,2421935.29995431,26641288.3,8,9,11,90024872.497494,85092.0586749636,290.316717744,290.294929539556
200210,4,1,2081280.39766639,2081280.39766639,18731523.6,8,9,9,142780419.047689,87678.2602595688,289.722820058667,289.722820058667
200210,4,2,2224155.66037402,2224155.66037402,6672467,2,3,3,357545143.860709,172586.965993546,289.89324,289.89324
200210,4,3,2313058.84032292,2313058.84032292,18504470.7,7,8,8,81871576.1420743,64694.8457913015,290.048398366,290.048398366
200210,4,4,2421935.36410776,2421935.29995431,26641288.3,8,9,11,90024872.497494,85092.0586749636,290.316717744,290.294929539556
200210,5,1,2067801.56763703,2067801.56763703,14474611,6,7,7,111408128.72411,73807.2763174009,289.694354932571,289.694354932571
200210,5,2,2147760.85301914,2147760.85301914,6443282.6,2,3,3,376992885.751159,177218.529867355,289.8366064,289.8366064
200210,5,3,2270678.6865037,2270678.6865037,11353393.4,4,5,5,135920184.623328,80922.8328725278,289.9489391456,289.9489391456
200210,5,4,2327434.86353357,2327434.86353357,11637174.3,4,5,5,87705011.2152219,65004.1829719541,290.0914576,290.0914576
200210,5,5,2421935.36410776,2421935.29995431,26641288.3,8,9,11,90024872.497494,85092.0586749636,290.316717744,290.294929539556
200210,6,1,2067801.56763703,2067801.56763703,14474611,6,7,7,111408128.72411,73807.2763174009,289.694354932571,289.694354932571
200210,6,2,2147760.85301914,2147760.85301914,6443282.6,2,3,3,376992885.751159,177218.529867355,289.8366064,289.8366064
200210,6,3,2270678.6865037,2270678.6865037,11353393.4,4,5,5,135920184.623328,80922.8328725278,289.9489391456,289.9489391456
200210,6,4,2327434.86353357,2327434.86353357,11637174.3,4,5,5,87705011.2152219,65004.1829719541,290.0914576,290.0914576
200210,6,5,2434588.31850926,2434588.31850926,14607529.9,5,6,6,86933554.1301511,64311.9088744049,290.246421288,290.246421288
200210,6,6,2396159.47066024,2396159.89733588,11980799.5,2,3,5,119640556.646043,166391.261460831,290.4010734912,290.391946042667
200210,7,1,2059235.11223378,2059235.11223378,10296175.6,4,5,5,171245967.853513,90832.0836988558,289.6667056,289.6667056
200210,7,2,2108837.00445716,2108837.00445716,8435348,3,4,4,132049196.050485,84455.576267637,289.792963132,289.792963132
200210,7,3,2224155.66037402,2224155.66037402,6672467,2,3,3,357545143.860709,172586.965993546,289.89324,289.89324
200210,7,4,2289098.80163852,2289098.80163852,6867296.4,2,3,3,34174395.8466649,53357.193085799,289.976632976,289.976632976
200210,7,5,2327434.86353357,2327434.86353357,11637174.3,4,5,5,87705011.2152219,65004.1829719541,290.0914576,290.0914576
200210,7,6,2434588.31850926,2434588.31850926,14607529.9,5,6,6,86933554.1301511,64311.9088744049,290.246421288,290.246421288
200210,7,7,2396159.47066024,2396159.89733588,11980799.5,2,3,5,119640556.646043,166391.261460831,290.4010734912,290.391946042667
200210,8,1,2077888.15679846,2077888.15679846,6233664.5,2,3,3,121786729.481838,100726.219957035,289.6383888,289.6383888
200210,8,2,2051799.63070925,2051799.63070925,6155398.9,2,3,3,422658018.881667,187645.048398226,289.7233392,289.7233392
200210,8,3,2114153.40549146,2114153.40549146,6342460.2,2,3,3,209663772.508958,132161.284225927,289.806732176,289.806732176
200210,8,4,2224155.66037402,2224155.66037402,6672467,2,3,3,357545143.860709,172586.965993546,289.89324,289.89324
200210,8,5,2289098.80163852,2289098.80163852,6867296.4,2,3,3,34174395.8466649,53357.193085799,289.976632976,289.976632976
200210,8,6,2327434.86353357,2327434.86353357,11637174.3,4,5,5,87705011.2152219,65004.1829719541,290.0914576,290.0914576
200210,8,7,2434588.31850926,2434588.31850926,14607529.9,5,6,6,86933554.1301511,64311.9088744049,290.246421288,290.246421288
200210,8,8,2396159.47066024,2396159.89733588,11980799.5,2,3,5,119640556.646043,166391.261460831,290.4010734912,290.391946042667
200210,9,1,2077888.15679846,2077888.15679846,6233664.5,2,3,3,121786729.481838,100726.219957035,289.6383888,289.6383888
200210,9,2,2051799.63070925,2051799.63070925,6155398.9,2,3,3,422658018.881667,187645.048398226,289.7233392,289.7233392
200210,9,3,2114153.40549146,2114153.40549146,6342460.2,2,3,3,209663772.508958,132161.284225927,289.806732176,289.806732176
200210,9,4,2224155.66037402,2224155.66037402,6672467,2,3,3,357545143.860709,172586.965993546,289.89324,289.89324
