"yearmo","strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200210,1,256.522669423831,256.522403337821,7952.2,28,29,31,847290.088026825,356.330771871139,290.034070407742,290.007815631448
200210,2,245.395858990863,245.395820313497,7607.2,20.3340853565006,29,31,206450.355296429,209.964065479089,290.034070407742,290.024450584586
200210,3,245.395858990863,245.395820313497,7607.3,10.9927463974038,29,31,113147.474718068,223.316805778461,290.034070407742,290.024450584586
200210,4,245.395858990863,245.395820313497,7607.3,9.42032362946806,29,31,102488.578067256,234.359005681664,290.034070407742,290.024450584586
200210,5,242.918758195447,242.918663174616,7530.6,8.16259667259184,29,31,94696.1948763428,247.518889097773,290.034070407742,290.032598238624
200210,6,242.918758195447,242.918663174616,7530.6,7.19424680842112,29,31,88048.6951517665,260.170857417971,290.034070407742,290.032598238624
200210,7,242.918758195447,242.918663174616,7530.7,6.74456286599321,29,31,85035.7858414779,267.565345483192,290.034070407742,290.032598238624
200210,8,242.918758195447,242.918663174616,7530.6,6.584207733294,29,31,84001.9775616312,270.545972768426,290.034070407742,290.032598238624
200210,9,242.918758195447,242.918663174616,7530.4,8.13903627526567,29,31,101428.453695126,256.663198476487,290.034070407742,290.032598238624
200211,0,758.32964743991,758.32964743991,22749.9,29,30,30,17858167.3527031,1604.95006157548,290.8978634304,290.8978634304
200212,0,1688.67377500516,1688.67377500516,52348.9,30,31,31,7885790.39247346,1047.06988123031,291.761696644645,291.761696644645
200301,0,2246.56772995117,2246.56772995117,69643.6,30,31,31,1070440.30919273,385.775177884775,292.642983969032,292.642983969032
200302,0,3967.9858309723,3967.9858309723,111103.6,27,28,28,58559063.1938752,3021.73700319822,293.476483268,293.476483268
200303,0,3217.65110171558,3217.65110171558,99747.2,30,31,31,32598947.9420021,2128.89795599909,294.3106608,294.3106608
200304,0,1009.4513998669,1009.4513998669,30283.5,29,30,30,21326482.6335249,1753.89139037049,295.1737781016,295.1737781016
200305,1,1682.07704888769,1682.07665546626,52144.4,28,29,31,50337521.546663,2746.52261847232,296.0379856,296.036686932965
200305,2,1702.96524343872,1702.96604026843,52792,23.2124825498575,29,31,34227052.8699203,2510.68741700346,296.0379856,296.031734209677
200305,3,1738.60951332106,1738.60873820405,53896.9,24.7925743288069,29,31,7691068.6507366,1147.58993909973,296.0379856,296.035637538466
200305,4,1752.66057556775,1752.66037765045,54332.5,23.0132766088459,29,31,2573444.011457,691.73999253279,296.0379856,296.031399007926
200305,5,1732.7995284229,1732.79919229603,53716.8,20.1562247202919,29,31,1910524.82642678,641.893086039604,296.0379856,296.044078279226
200305,6,1767.7315352502,1767.73142447648,54799.7,16.7817315901117,29,31,1706444.96655926,673.445917749996,296.0379856,296.033016458323
200305,7,1767.7315352502,1767.73142447648,54799.7,11.5504666553412,29,31,1794214.76519375,862.452843118584,296.0379856,296.033016458323
200305,8,1749.30206421459,1749.30127008818,54228.5,12.8232858104027,29,31,2076798.02315928,870.630903141507,296.0379856,296.039307050667
200305,9,1749.30206421459,1749.30127008818,54228.5,8.29556237351447,29,31,3120112.45705502,1405.51444644916,296.0379856,296.039307050667
200306,0,1418.51335494927,1418.51335494927,42555.4,29,30,30,66602026.1746168,3099.46545484387,296.8990003792,296.8990003792
200307,0,2687.84589016071,2687.84589016071,83323.2,30,31,31,28739842.0051134,1998.91920668587,297.764707526194,297.764707526194
200308,0,1906.91132283415,1906.91132283415,59114.3,30,31,31,52971791.7316203,2713.78466619273,298.642679044645,298.642679044645
200309,0,1907.45386087879,1907.45386087879,57223.6,29,30,30,45411733.8118178,2559.33491386858,299.5063263728,299.5063263728
