"yearmo","strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200210,1,1,256.522669423831,256.522403337821,7952.2,28,29,31,847290.088026825,356.330771871139,290.034070407742,290.007815631448
200210,2,1,361.70159224896,361.70159224896,6510.6,17,18,18,577.372112713869,221.319887491744,289.850245658667,289.850245658667
200210,2,2,84.3571514027286,84.3570591720856,1096.6,10,11,13,114.685152527428,98.0932676948733,290.288596983385,290.265657405091
200210,3,1,500.51593170432,500.51593170432,2002.1,3,4,4,3443.84470578265,431.302751366222,289.6525472,289.6525472
200210,3,2,322.040352404571,322.040352404571,4508.6,13,14,14,197.266166573522,117.817697148534,289.906730932571,289.906730932571
200210,3,3,84.3571514027286,84.3570591720856,1096.6,10,11,13,114.685152527428,98.0932676948733,290.288596983385,290.265657405091
200210,4,1,500.51593170432,500.51593170432,2002.1,3,4,4,3443.84470578265,431.302751366222,289.6525472,289.6525472
200210,4,2,336.96415469952,336.96415469952,3706.6,10,11,11,195.11149518801,108.262079596505,289.864073696,289.864073696
200210,4,3,267.31974398976,267.31974398976,802,2,3,3,488.531231094353,201.738468029046,290.0631408,290.0631408
200210,4,4,84.3571514027286,84.3570591720856,1096.6,10,11,13,114.685152527428,98.0932676948733,290.288596983385,290.265657405091
200210,5,1,500.51593170432,500.51593170432,2002.1,3,4,4,3443.84470578265,431.302751366222,289.6525472,289.6525472
200210,5,2,336.96415469952,336.96415469952,3706.6,10,11,11,195.11149518801,108.262079596505,289.864073696,289.864073696
200210,5,3,267.31974398976,267.31974398976,802,2,3,3,488.531231094353,201.738468029046,290.0631408,290.0631408
200210,5,4,98.7337401045984,98.7337401045984,789.9,7,8,8,92.28803184338,68.6871977154609,290.218299166,290.218299166
200210,5,5,45.996584548159,45.9959954190057,230,2,3,5,227.318941929824,229.355476583597,290.4010734912,290.391946042667
200210,6,1,500.51593170432,500.51593170432,2002.1,3,4,4,3443.84470578265,431.302751366222,289.6525472,289.6525472
200210,6,2,307.952657014072,307.952657014072,1539.8,4,5,5,401.06942155439,139.007705779643,289.7790383456,289.7790383456
200210,6,3,361.140402770726,361.140402770726,2166.8,5,6,6,192.618212619813,95.7296248268927,289.934936488,289.934936488
200210,6,4,267.31974398976,267.31974398976,802,2,3,3,488.531231094353,201.738468029046,290.0631408,290.0631408
