"yearmo","strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200210,6,8152706.15502728,8152710.30229871,252734019.5,9.425656073208,29,31,316719519321283,13023354.2921737,290.034070407742,290.028305916313
200211,0,25097012.4339305,25097012.4339305,752910373,29,30,30,10500469749480058,38917724.8778673,290.8978634304,290.8978634304
200212,0,53332364.3925711,53332364.3925711,1653303296.2,30,31,31,150930643509061760,144857759.805124,291.761696644645,291.761696644645
200301,0,112089249.803367,112089249.803367,3474766743.9,30,31,31,441171070384334912,247660397.588974,292.642983969032,292.642983969032
200302,0,134317419.296099,134317419.296099,3760887740.3,27,28,28,298827148546305408,215858735.180943,293.476483268,293.476483268
200303,0,320536200.411969,320536200.411969,9936622212.8,30,31,31,2001158156124740096,527465136.226347,294.3106608,294.3106608
200304,0,223178482.762532,223178482.762532,6695354482.9,29,30,30,2094598208767911680,549659126.569135,295.1737781016,295.1737781016
200305,8,413515658.4064,413515559.898186,12818982356.9,6.75654573250292,29,31,644818527443138944,735867033.397318,296.0379856,296.042251388903
200306,0,146621003.658889,146621003.658889,4398630109.8,29,30,30,711718811196086400,320403537.104557,296.8990003792,296.8990003792
200307,0,356023370.709822,356023370.709822,11036724492,30,31,31,3892733566973437952,735665505.232378,297.764707526194,297.764707526194
200308,0,184465330.5366,184465330.5366,5718425246.6,30,31,31,1977015575143747584,524273731.539363,298.642679044645,298.642679044645
200309,0,196186984.006393,196186984.006393,5885609520.2,29,30,30,1569628282061389312,475818679.278461,299.5063263728,299.5063263728
