"yearmo","strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200210,1,1,8119127.18288627,8119123.57249412,251692830.7,28,29,31,792160032607604,10895413.8002604,290.034070407742,290.007815631448
200210,2,1,15864755.9314158,15864755.9314158,79323779.7,4,5,5,7247407725650.14,18686176.521997,289.6667056,289.6667056
200210,2,2,6505145.80052665,6505147.49174475,169133834.8,23,24,26,291625839112.43,6056351.12381529,290.104717486154,290.078880221333
200210,3,1,18180122.6568545,18180122.6568545,54540368,2,3,3,13318418423482.8,33309558.7489328,289.6383888,289.6383888
200210,3,2,10591157.5454102,10591157.5454102,42364630.2,3,4,4,3148793046111.91,13041649.0051075,289.736329532,289.736329532
200210,3,3,6297300.03209454,6297303.20369575,151135276.9,21,22,24,323586975576.776,6195549.20949816,290.133154088,290.107553126545
200210,4,1,18180122.6568545,18180122.6568545,54540368,2,3,3,13318418423482.8,33309558.7489328,289.6383888,289.6383888
200210,4,2,10591157.5454102,10591157.5454102,42364630.2,3,4,4,3148793046111.91,13041649.0051075,289.736329532,289.736329532
200210,4,3,5199679.83455545,5199679.83455545,77995197.5,14,15,15,136502511135.629,3176739.96774603,290.0058842304,290.0058842304
200210,4,4,8648188.34836772,8648202.63341377,77833823.7,6,7,9,1530455338870.8,11122323.917958,290.345270517333,290.325415046857
200210,5,1,18180122.6568545,18180122.6568545,54540368,2,3,3,13318418423482.8,33309558.7489328,289.6383888,289.6383888
200210,5,2,10591157.5454102,10591157.5454102,42364630.2,3,4,4,3148793046111.91,13041649.0051075,289.736329532,289.736329532
200210,5,3,5994095.57219377,5994095.57219377,41958669,6,7,7,218885756320.208,3271519.32393285,289.892572532571,289.892572532571
200210,5,4,4504566.06412193,4504566.06412193,36036528.5,7,8,8,199046791159.042,3189926.6488206,290.105031966,290.105031966
200210,5,5,8648188.34836772,8648202.63341377,77833823.7,6,7,9,1530455338870.8,11122323.917958,290.345270517333,290.325415046857
