"yearmo","strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200210,1,24339.7649336056,24339.7683527514,754532.8,28,29,31,1202689836.67361,13424.9935636434,290.034070407742,290.007815631448
200211,0,23178.4462848763,23178.4462848763,695353.4,29,30,30,407612436.533197,7667.72965947817,290.8978634304,290.8978634304
200212,0,23785.7805312779,23785.7805312779,737359.2,30,31,31,331371591.83181,6787.51324083141,291.761696644645,291.761696644645
200301,0,23585.8084119001,23585.8084119001,731160.1,30,31,31,425492812.253907,7691.2896472577,292.642983969032,292.642983969032
200302,0,21732.5186274687,21732.5186274687,608510.5,27,28,28,898771532.794281,11838.1614003261,293.476483268,293.476483268
200303,0,20824.588421462,20824.588421462,645562.2,30,31,31,1195201826.39916,12890.6161632331,294.3106608,294.3106608
200304,0,21075.4826836245,21075.4826836245,632264.5,29,30,30,1681679213.7119,15574.5195272194,295.1737781016,295.1737781016
200305,4,20626.8516031928,20626.8512196685,639432.3,15.0217090636148,29,31,541322629.653605,12793.4834871208,296.0379856,296.042820160757
200306,0,20852.3312878921,20852.3312878921,625569.9,29,30,30,1034098224.0318,12213.045516004,296.8990003792,296.8990003792
200307,0,20722.7506339996,20722.7506339996,642405.3,30,31,31,1311154898.31343,13501.4388466807,297.764707526194,297.764707526194
200308,0,21295.7621628525,21295.7621628525,660168.6,30,31,31,1330753423.6199,13601.9711343072,298.642679044645,298.642679044645
200309,0,20268.5296758277,20268.5296758277,608055.9,29,30,30,1334748635.50922,13875.3140718779,299.5063263728,299.5063263728
