"yearmo","strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200210,1,24339.7649336056,24339.7683527514,754532.8,28,29,31,1202689836.67361,13424.9935636434,290.034070407742,290.007815631448
200210,2,24334.4118340424,24334.4164086664,754366.9,25,29,31,1223635090.17685,14408.7359610605,290.034070407742,290.010565707117
200210,3,24367.8889719279,24367.893594736,755404.7,22.9001304667182,29,31,1208617689.17582,15032.0746413414,290.034070407742,290.014250308551
200210,4,24364.9970244457,24365.0034419859,755315,19.7500922071905,29,31,1246836798.29225,16587.4395734849,290.034070407742,290.017010377073
200210,5,24422.2617963329,24422.2688932219,757090.3,17.2309261320028,29,31,1230205938.20804,17808.8517570341,290.034070407742,290.020722842563
200210,6,24424.8339778417,24424.842019106,757170.1,16.7300233107993,29,31,1296894213.23588,18598.7026315574,290.034070407742,290.021650815853
200210,7,24571.7847708956,24571.7995311891,761725.7,10.0556150442218,29,31,1293988320.76337,25256.7592583381,290.034070407742,290.027332607871
200210,8,24571.7847708956,24571.7995311891,761725.8,10.5766140085928,29,31,1337626523.25449,24873.4792652789,290.034070407742,290.027332607871
200210,9,24683.0735378326,24683.1030110575,765176.2,5.76900812946957,29,31,1629353994.18038,41524.5594806575,290.034070407742,290.030324369135
200211,0,23178.4462848763,23178.4462848763,695353.4,29,30,30,407612436.533197,7667.72965947817,290.8978634304,290.8978634304
200212,0,23785.7805312779,23785.7805312779,737359.2,30,31,31,331371591.83181,6787.51324083141,291.761696644645,291.761696644645
200301,0,23585.8084119001,23585.8084119001,731160.1,30,31,31,425492812.253907,7691.2896472577,292.642983969032,292.642983969032
200302,0,21732.5186274687,21732.5186274687,608510.5,27,28,28,898771532.794281,11838.1614003261,293.476483268,293.476483268
200303,0,20824.588421462,20824.588421462,645562.2,30,31,31,1195201826.39916,12890.6161632331,294.3106608,294.3106608
200304,0,21075.4826836245,21075.4826836245,632264.5,29,30,30,1681679213.7119,15574.5195272194,295.1737781016,295.1737781016
200305,1,20481.5064339496,20481.5120950303,634926.9,28,29,31,1731254135.83742,16107.1119659424,296.0379856,296.036686932965
200305,2,20665.504728104,20665.5061439595,640630.7,21.7413049025276,29,31,1198722482.82278,15409.8495438521,296.0379856,296.046738808448
200305,3,20665.504728104,20665.5061439595,640630.7,19.2818941165198,29,31,541461322.580381,11080.3517245601,296.0379856,296.046738808448
200305,4,20626.8516031928,20626.8512196685,639432.3,15.0217090636148,29,31,541322629.653605,12793.4834871208,296.0379856,296.042820160757
200305,5,20626.8516031928,20626.8512196685,639432.3,15.0207670827982,29,31,541322694.22159,12793.9551679512,296.0379856,296.042820160757
200305,6,20733.8545897386,20733.8551668816,642749.5,13.7351891566438,29,31,543773242.309404,13519.5375248634,296.0379856,296.04553268691
200305,7,20733.8545897386,20733.8551668816,642749.5,13.7344089871424,29,31,543773306.877389,13519.9958560418,296.0379856,296.04553268691
200305,8,20764.1072547807,20764.1083392988,643687.2,9.92042054672711,29,31,597876960.033303,17316.3179381286,296.0379856,296.036161754495
200305,9,20764.1072547807,20764.1083392988,643687.2,8.11170538303295,29,31,597883036.799458,19750.2255930855,296.0379856,296.036161754495
200306,0,20852.3312878921,20852.3312878921,625569.9,29,30,30,1034098224.0318,12213.045516004,296.8990003792,296.8990003792
200307,0,20722.7506339996,20722.7506339996,642405.3,30,31,31,1311154898.31343,13501.4388466807,297.764707526194,297.764707526194
200308,0,21295.7621628525,21295.7621628525,660168.6,30,31,31,1330753423.6199,13601.9711343072,298.642679044645,298.642679044645
200309,0,20268.5296758277,20268.5296758277,608055.9,29,30,30,1334748635.50922,13875.3140718779,299.5063263728,299.5063263728
