"yearmo","strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200210,1,1,24339.7649336056,24339.7683527514,754532.8,28,29,31,1202689836.67361,13424.9935636434,290.034070407742,290.007815631448
200210,2,1,25024.75679232,25024.75679232,75074.3,2,3,3,3.48537269491758e-21,5.38849103224479e-10,289.6383888,289.6383888
200210,2,2,24260.4463027984,24260.4513675607,679292.6,25,26,28,1560759.04359292,14408.7359610605,290.076464865714,290.050441804308
200210,3,1,25025.98007808,25025.98007808,100103.9,3,4,4,-2.0722608397153e-15,NA,289.6525472,289.6525472
200210,3,2,20164.9062673753,20164.9062673753,60494.7,2,3,3,9178612.19782611,27652.2874422375,289.750098576,289.750098576
200210,3,3,24783.5799589716,24783.5859300987,594806.1,21,22,24,1954878.78367254,15228.0470851986,290.133154088,290.107553126545
200210,4,1,25025.98007808,25025.98007808,100103.9,3,4,4,-2.0722608397153e-15,NA,289.6525472,289.6525472
200210,4,2,20164.9062673753,20164.9062673753,60494.7,2,3,3,9178612.19782611,27652.2874422375,289.750098576,289.750098576
200210,4,3,25041.88279296,25041.88279296,75125.6,2,3,3,6.91632240522895e-16,2.40038092567745e-07,289.8366064,289.8366064
200210,4,4,24742.4104887853,24742.4199622971,519590.8,18,19,21,2639975.71091115,16896.3518586807,290.175518043429,290.150334188632
200210,5,1,25025.98007808,25025.98007808,100103.9,3,4,4,-2.0722608397153e-15,NA,289.6525472,289.6525472
200210,5,2,20164.9062673753,20164.9062673753,60494.7,2,3,3,9178612.19782611,27652.2874422375,289.750098576,289.750098576
200210,5,3,25043.10607872,25043.10607872,100172.4,3,4,4,-1.23936992213599e-21,NA,289.8507648,289.8507648
200210,5,4,20178.7012608909,20178.7012608909,60536.1,2,3,3,9191174.49053208,27671.2041010787,289.948316176,289.948316176
200210,5,5,25634.2910867248,25634.3040281106,435783.2,14,15,17,3684698.47063259,18705.5286250273,290.232217081412,290.207877403733
200210,6,1,25024.75679232,25024.75679232,75074.3,2,3,3,3.48537269491758e-21,5.38849103224479e-10,289.6383888,289.6383888
200210,6,2,23638.5069421824,23638.5069421824,70915.5,2,3,3,1941965.34440225,12719.3023151297,289.7233392,289.7233392
200210,6,3,21563.3889751129,21563.3889751129,64690.2,2,3,3,12082842.6692138,31726.8614787079,289.806732176,289.806732176
200210,6,4,25046.775936,25046.775936,75140.3,2,3,3,3.48230410302749e-21,5.38611844222561e-10,289.89324,289.89324
200210,6,5,20181.1478324109,20181.1478324109,60543.4,2,3,3,9193667.84042251,27674.957120636,289.976632976,289.976632976
200210,6,6,25675.3827424383,25675.3983223879,410806.4,13,14,16,4249718.47870911,19763.154003604,290.246323949,290.222260989714
200210,7,1,25025.98007808,25025.98007808,100103.9,3,4,4,-2.0722608397153e-15,NA,289.6525472,289.6525472
200210,7,2,20164.9062673753,20164.9062673753,60494.7,2,3,3,9178612.19782611,27652.2874422375,289.750098576,289.750098576
200210,7,3,25043.10607872,25043.10607872,100172.4,3,4,4,-1.23936992213599e-21,NA,289.8507648,289.8507648
200210,7,4,20178.7012608909,20178.7012608909,60536.1,2,3,3,9191174.49053208,27671.2041010787,289.948316176,289.948316176
200210,7,5,25060.23207936,25060.23207936,100240.9,3,4,4,2.43632022439319e-23,3.62766883525029e-11,290.0489824,290.0489824
200210,7,6,20192.4962544064,20192.4962544064,60577.5,2,3,3,9203745.37404096,27690.12075992,290.146533776,290.146533776
200210,7,7,27959.9743605106,27960.0201174205,279600.2,7,8,10,10458265.3220178,28903.0016143387,290.3312159456,290.310328766
200210,8,1,25024.75679232,25024.75679232,75074.3,2,3,3,3.48537269491758e-21,5.38849103224479e-10,289.6383888,289.6383888
200210,8,2,23638.5069421824,23638.5069421824,70915.5,2,3,3,1941965.34440225,12719.3023151297,289.7233392,289.7233392
200210,8,3,21563.3889751129,21563.3889751129,64690.2,2,3,3,12082842.6692138,31726.8614787079,289.806732176,289.806732176
200210,8,4,25046.775936,25046.775936,75140.3,2,3,3,3.48230410302749e-21,5.38611844222561e-10,289.89324,289.89324
200210,8,5,20181.1478324109,20181.1478324109,60543.4,2,3,3,9193667.84042251,27674.957120636,289.976632976,289.976632976
200210,8,6,25061.45536512,25061.45536512,75184.4,2,3,3,-8.60182346963381e-25,NA,290.0631408,290.0631408
200210,8,7,20192.4962544064,20192.4962544064,60577.5,2,3,3,9203745.37404096,27690.12075992,290.146533776,290.146533776
200210,8,8,27959.9743605106,27960.0201174205,279600.2,7,8,10,10458265.3220178,28903.0016143387,290.3312159456,290.310328766
200210,9,1,25024.75679232,25024.75679232,75074.3,2,3,3,3.48537269491758e-21,5.38849103224479e-10,289.6383888,289.6383888
200210,9,2,23638.5069421824,23638.5069421824,70915.5,2,3,3,1941965.34440225,12719.3023151297,289.7233392,289.7233392
200210,9,3,21563.3889751129,21563.3889751129,64690.2,2,3,3,12082842.6692138,31726.8614787079,289.806732176,289.806732176
200210,9,4,25046.775936,25046.775936,75140.3,2,3,3,3.48230410302749e-21,5.38611844222561e-10,289.89324,289.89324
200210,9,5,20181.1478324109,20181.1478324109,60543.4,2,3,3,9193667.84042251,27674.957120636,289.976632976,289.976632976
200210,9,6,25061.45536512,25061.45536512,75184.4,2,3,3,-8.60182346963381e-25,NA,290.0631408,290.0631408
200210,9,7,20192.4962544064,20192.4962544064,60577.5,2,3,3,9203745.37404096,27690.12075992,290.146533776,290.146533776
200210,9,8,25076.13479424,25076.13479424,75228.4,2,3,3,-5.02154288734049e-21,NA,290.2330416,290.2330416
200210,9,9,29688.7558567763,29688.8863810578,207822.2,4,5,7,27297020.4719932,50770.8878645832,290.373290665143,290.3567010656
200211,0,1,23178.4462848763,23178.4462848763,695353.4,29,30,30,407612436.533197,7667.72965947817,290.8978634304,290.8978634304
200212,0,1,23785.7805312779,23785.7805312779,737359.2,30,31,31,331371591.83181,6787.51324083141,291.761696644645,291.761696644645
200301,0,1,23585.8084119001,23585.8084119001,731160.1,30,31,31,425492812.253907,7691.2896472577,292.642983969032,292.642983969032
200302,0,1,21732.5186274687,21732.5186274687,608510.5,27,28,28,898771532.794281,11838.1614003261,293.476483268,293.476483268
200303,0,1,20824.588421462,20824.588421462,645562.2,30,31,31,1195201826.39916,12890.6161632331,294.3106608,294.3106608
200304,0,1,21075.4826836245,21075.4826836245,632264.5,29,30,30,1681679213.7119,15574.5195272194,295.1737781016,295.1737781016
200305,1,1,20481.5064339496,20481.5120950303,634926.9,28,29,31,1731254135.83742,16107.1119659424,296.0379856,296.036686932965
