DateTime,Value [FLOW] Flow (cfs),Value [TSS] Total Suspended Solids (mg/L),Value [TP] Total Phosphorus (mg-P/L),Value [SRP] Soluble Reactive Phosphorus (mg-P/L),Value [NO23] Nitrite + Nitrate (mg-N/L),Value [TKN] Total Kjeldahl Nitrogen (mg-N/L),Value [CL] Chloride (mg/L),Value [SO4] Sulfate (mg/L),Value [SI] Total Silica (mg-Si/L),Value [COND] Conductivity (umho)
10/02/2013 12:00,0,64.191,0.4259,0.0102,0,3.3269,40.9,38.9,5.06,515
10/02/2013 20:00,0,61.528,0.4425,0.0068,0,3.2696,40.9,38.7,5,518
10/03/2013 04:00,0,47.968,0.4287,0.0046,0,3.4996,41.6,39.3,5.01,527
10/03/2013 12:00,0,62.222,0.4573,0.0035,0,3.3305,41.1,38.7,5.11,518
10/03/2013 20:00,0,70.432,0.4599,0.0054,0,3.5607,41.3,38.8,5.24,517
10/04/2013 04:00,0,52.472,0.4282,0.004,0,3.4771,40.4,37.9,5.16,518
10/04/2013 12:00,0,64.214,0.4346,0.0034,0,3.3792,40.6,38.1,5.28,514
10/04/2013 20:00,0,59.838,0.4174,0.0158,0,3.44,39.6,37.7,5.23,504
10/05/2013 04:00,0,42.111,0.3955,0.0171,0,3.7719,39.5,37.2,5.2,506
10/05/2013 12:00,0.1,62.6,0.4267,0.0106,0,3.057,39.3,37.3,5.44,502
10/07/2013 04:00,0,44.313,0.3652,0.0124,0,2.5571,36.5,37,5.31,499
10/07/2013 12:00,0.05,58.756,0.3904,0.0135,0,5.4463,39.4,38.6,5.35,510
10/08/2013 12:00,0,55.505,0.41,0.0093,0,4.7307,40,38.2,5.11,528
10/09/2013 12:00,0,62.678,0.432,0.0072,0,5.3183,41.7,39.9,5.36,525
10/10/2013 12:00,0,51.651,0.4129,0.0065,0.01,4.9396,41.7,39.5,5.04,533
10/11/2013 12:00,0,60.451,0.4173,0.0047,0,4.4059,40,38.5,5.25,515
10/12/2013 12:00,0,63.211,0.4424,0.0059,0.01,5.5177,40.9,38.9,5.36,528
10/13/2013 12:00,0,65.166,0.4795,0.0052,0,6.2805,41.6,38.5,5.42,540
10/14/2013 04:00,0,71.205,0.4128,0.0036,0,4.9172,40.4,38.3,5.24,505
10/14/2013 12:00,0,53.882,0.4718,0.0017,0,7.1026,43.2,40,5.69,544
10/15/2013 12:00,0,61.576,0.4568,0.002,0,4.7716,43.4,41,5.34,535
10/16/2013 12:00,0,63.536,0.4327,0.0007,0,4.2849,42.7,41.1,5.26,519
10/17/2013 12:00,0,59.349,0.4051,0.0013,0.02,4.4549,44.2,42.2,5.43,512
10/18/2013 12:00,0,62.832,0.4135,0.0017,0,4.1414,42.4,40.8,5.49,515
10/19/2013 12:00,1.5,58.919,0.4059,0.0024,0,4.2033,40.4,38.3,5.29,501
