"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,10314.3270464268,10312.9116553484,3764212.8,45,46,365,3162518461.05668,16884.6490422418,2.92330790042427,2.91805239582609
2,10302.9165532672,10297.2270978452,3758487.9,16.9847359613972,46,365,1812932607.60532,21798.9541061229,2.92330790042427,3.10683781782869
3,10277.7778376032,10270.3279752229,3748669.7,15.6284009036749,46,365,790835592.335615,15109.2267427016,2.92330790042427,3.10499106504223
4,10336.9786025254,10328.0724326696,3769746.4,10.4522128441801,46,365,385963674.224434,13460.7865665736,2.92330790042427,2.9991876506728
5,10329.2338790035,10322.6784957221,3767777.7,8.4361702793541,46,365,388767964.452792,15514.4959425892,2.92330790042427,2.9939201109811
6,10240.7880949541,10230.948979571,3734296.2,16.5828569367177,46,365,234569273.138808,7950.29558415223,2.92330790042427,3.13186613819909
7,10234.7684052019,10228.3099039356,3733333.1,15.1249011340511,46,365,220925176.49786,8140.27584334764,2.92330790042427,3.13301363973003
8,10233.2023410152,10229.1546562329,3733641.4,14.6515276877637,46,365,177593772.125305,7436.14612467063,2.92330790042427,3.10283137507998
9,10235.8541690272,10233.6544378611,3735283.9,14.1573372758709,46,365,172262322.834541,7473.7034161182,2.92330790042427,3.19861619668937
10,10249.9764715767,10245.1533103191,3739481,14.8008798982649,46,365,176189197.979202,7362.58063417263,2.92330790042427,3.17118407964931
11,10278.0058812371,10274.6443612909,3750245.3,14.0084272914256,46,365,183728250.637841,7766.99230359103,2.92330790042427,3.14450273059759
12,10271.8558924687,10269.5918708441,3748401,7.52206557024415,46,365,263576117.320924,13802.8254959512,2.92330790042427,2.88835455591963
