"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,247,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,259,269,365,NA,NA,NA,NA,NA,NA,NA,NA
1,136,168,260,365,NA,NA,NA,NA,NA,NA,NA
1,139,170,255,268,365,NA,NA,NA,NA,NA,NA
1,41,106,173,252,268,365,NA,NA,NA,NA,NA
1,46,103,176,259,267,296,365,NA,NA,NA,NA
1,47,90,177,260,266,283,295,365,NA,NA,NA
1,7,119,175,206,259,269,287,299,365,NA,NA
1,25,102,161,175,259,268,275,318,352,365,NA
1,29,36,60,78,87,167,179,260,269,332,365
1,17,43,108,132,162,167,219,257,260,268,288
1,27,54,98,172,205,220,257,260,269,294,335
1,39,81,92,167,176,184,210,253,269,294,301
