"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,194.355841904919,201.136133727408,73414.7,40,41,365,566736218.183895,7607.51823713585,2.02308091984031,1.5948988675122
2,167.872230026984,175.378586493157,64013.2,31.1562288453063,41,365,150168685.17276,4476.67496487613,2.02308091984031,1.60345171157417
3,155.782238733196,158.654726682968,57909.1,23.2480597671135,41,365,51217040.3113426,3068.64146756087,2.02308091984031,1.58188957682583
4,163.383439181673,167.793093967726,61244.4,7.69881497837404,41,365,22672088.5907058,3984.36349026081,2.02308091984031,1.60210996365236
5,154.407263218242,158.589546402845,57885.2,8.63207800768411,41,365,15647153.1315443,3065.57309435212,2.02308091984031,1.59632136109128
6,148.161369826046,151.05074590838,55133.6,6.81237014769109,41,365,14203818.8212825,3433.56602640814,2.02308091984031,1.68924103140822
7,154.48316999854,157.019819800337,57312.2,3.70663632739837,41,365,9854278.65443424,4671.87640593008,2.02308091984031,1.63612440382831
8,156.266444443534,158.814061809577,57967,3.98718174531068,41,365,10904502.9983541,4597.374166986,2.02308091984031,1.70528308046027
9,142.943434228975,145.820036669187,53224.3,3.26962444714464,41,365,9175404.67756382,5090.91693663875,2.02308091984031,1.7667230252792
10,154.970066005565,157.67429650998,57551.1,3.52370306935657,41,365,10247781.0787926,4998.23682206661,2.02308091984031,1.71434382842948
11,159.984578415012,162.908398567427,59461.5,2.99057023967341,41,365,12770683.310302,6588.19106005984,2.02308091984031,1.76969107729534
