"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,212,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,212,254,365,NA,NA,NA,NA,NA,NA,NA,NA
1,80,198,230,365,NA,NA,NA,NA,NA,NA,NA
1,77,199,229,257,365,NA,NA,NA,NA,NA,NA
1,75,204,229,257,315,365,NA,NA,NA,NA,NA
1,73,176,212,255,287,321,365,NA,NA,NA,NA
1,62,80,164,200,230,260,283,365,NA,NA,NA
1,63,91,133,200,230,259,290,344,365,NA,NA
1,21,72,130,171,195,213,248,278,337,365,NA
1,35,64,90,134,153,177,213,255,307,333,365
1,33,63,109,135,168,184,223,251,279,303,339
1,7,37,54,74,85,135,161,224,250,290,314
1,12,40,43,58,61,77,135,163,183,225,285
