"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,18580.4825739294,18581.2083993843,6782141.1,42,43,365,80766750558.6075,88497.3782615389,5.87602886553425,5.33915239590698
2,18394.5568755909,18414.4285405843,6721266.4,37.2304813373252,43,365,24725966812.5591,52205.6211722483,5.87602886553425,5.35679255921969
3,18625.5845178688,18650.6300218395,6807480,34.4070400696508,43,365,15430420037.962,43018.1737679056,5.87602886553425,5.80319039488219
4,18691.8175360642,18703.2241674945,6826676.7,27.0046005182144,43,365,12179823364.348,43575.2251036162,5.87602886553425,5.7398754077025
5,18339.4886737965,18305.7659605874,6681604.5,19.6125092471734,43,365,11585173552.3506,50762.3554476647,5.87602886553425,5.3475494151942
6,18767.9001631296,18771.2540804705,6851507.7,26.4694653355223,43,365,9281397173.68572,38457.6774446035,5.87602886553425,5.6002728881421
7,18636.5106487372,18619.1792751745,6796000.4,17.2504101305243,43,365,8553979848.59695,46929.8198339346,5.87602886553425,5.51486817482521
8,18775.6862631568,18787.8298449522,6857557.9,13.1420907436959,43,365,6343332581.79062,47410.79988537,5.87602886553425,5.63806042615525
9,18497.7100399905,18506.6854240168,6754940.3,12.5411575959841,43,365,4784964715.84024,42356.1196967599,5.87602886553425,5.54271846986061
10,18520.591859128,18500.8136599826,6752797,8.44469901807749,43,365,5267417584.3235,57068.9646471386,5.87602886553425,5.58421510430198
11,18588.6851838407,18571.4725438976,6778587.4,10.9742073157787,43,365,5084672616.0892,47389.9860706122,5.87602886553425,5.43533773964566
12,18697.7966802247,18574.2948481142,6779617.7,8.74499159247466,43,365,35670575392.8005,145121.577501414,5.87602886553425,6.10294330543635
