"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,84,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,84,167,365,NA,NA,NA,NA,NA,NA,NA,NA
1,84,113,183,365,NA,NA,NA,NA,NA,NA,NA
1,84,106,112,155,365,NA,NA,NA,NA,NA,NA
1,84,88,112,163,191,365,NA,NA,NA,NA,NA
1,13,84,112,185,301,290,365,NA,NA,NA,NA
1,58,84,114,157,188,257,275,365,NA,NA,NA
1,84,113,116,179,209,227,271,344,365,NA,NA
1,26,46,84,115,163,201,234,244,341,365,NA
1,8,84,96,113,174,208,232,267,272,329,365
1,6,84,94,109,113,166,196,241,250,319,351
1,65,17,63,84,112,176,188,218,221,261,328
1,22,27,84,113,133,167,179,195,258,308,329
