"strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1,4401.76778179479,4418.26581099425,1612667,26,27,365,2051789415.364,18260.111266391,1.10698583626145,0.74917862637037
2,1,1984.6380810032,1996.30268508518,381293.8,22,23,191,5418.97198299895,6216.73924054464,0.536515677462977,0.538437796173913
2,2,7650.40726904698,7635.5839195114,1328591.6,3,4,174,20809.146144467,46118.6765456558,1.73319158528736,1.9609384
3,1,1098.94692325311,1101.55542358389,172944.2,18,19,157,1940.40294558315,3424.67449679822,0.32284012022566,0.347611075368421
3,2,6148.2004426475,6165.74039687363,209635.2,3,4,34,12113.1183976331,6875.5485910993,1.52319398588235,1.44486472
3,3,7650.40726904698,7635.5839195114,1328591.6,3,4,174,20809.146144467,46118.6765456558,1.73319158528736,1.9609384
4,1,983.42306436179,983.550223303978,140647.7,16,17,143,1997.38022594388,3387.05991913691,0.298304333842158,0.298225874823529
4,2,2411.97606078212,2406.02382566871,55338.5,2,3,23,1341.38600867732,2562.86670767526,0.634250591006211,0.677715413333333
4,3,7318.98761657435,7341.1466962122,183528.7,2,3,25,20602.2139953702,10917.3756270538,1.80916844251429,1.76036106666667
4,4,7650.40726904698,7635.5839195114,1328591.6,3,4,174,20809.146144467,46118.6765456558,1.73319158528736,1.9609384
5,1,1031.71330901452,1031.83543221519,91833.4,8,9,89,962.278125634049,2250.89585640719,0.300889104933119,0.30298976
5,2,912.302281124597,912.788072413482,46552.2,6,7,51,10204.5134099658,5146.46502454779,0.295007648029879,0.295708297142857
5,3,2141.03631655822,2148.22754844252,40816.3,2,3,19,999.886105042641,1827.89045494065,0.575056722766917,0.602581504
5,4,6272.02780631527,6289.78751632585,201273.2,3,4,32,12625.8214047165,6606.63413276817,1.55387175857143,1.44486472
5,5,7650.40726904698,7635.5839195114,1328591.6,3,4,174,20809.146144467,46118.6765456558,1.73319158528736,1.9609384
6,1,927.010680850526,926.496643917139,29647.9,3,4,32,1178.17367964857,2018.15767589297,0.293868969285714,0.29449472
6,2,1105.9991279444,1105.98672041962,66359.2,4,5,60,371.017655721308,1604.38145894993,0.30405051631746,0.309785792
6,3,889.114660748446,889.64226040817,32916.8,5,6,37,13795.5381235647,4995.94305040702,0.294217747438867,0.294022773333333
6,4,1865.14697714907,1873.50930305751,63699.3,3,4,34,1247.34346292467,2206.33981519041,0.505354938352941,0.528391488
6,5,6740.69884497492,6759.43612139804,189264.2,3,4,28,14638.9404886292,6224.62670353972,1.66998328,1.44486472
6,6,7650.40726904698,7635.5839195114,1328591.6,3,4,174,20809.146144467,46118.6765456558,1.73319158528736,1.9609384
7,1,904.081314610672,903.732281254428,24400.8,2,3,27,799.413835616844,2322.58112223674,0.295263318857143,0.298364682666667
7,2,1092.97237611338,1093.09124374613,69957.8,5,6,64,334.194789815422,1345.01226186885,0.302915175571429,0.305302298666667
7,3,789.77943708334,791.761972934992,14251.7,2,3,18,60741.5304587205,13496.9819689856,0.291820355555556,0.29166304
7,4,1004.63932277743,1004.7450373988,27128.1,3,4,27,251.304043361651,786.437039822717,0.297656013544974,0.29874224
7,5,2083.31211087358,2084.00377771521,64604.1,3,4,31,1007.00242631417,1807.4962704811,0.55260300446083,0.576530048
7,6,7534.00567982318,7556.69806596755,181360.8,2,3,24,21844.97294543,10792.1579961978,1.86231840190476,1.76036106666667
7,7,7650.40726904698,7635.5839195114,1328591.6,3,4,174,20809.146144467,46118.6765456558,1.73319158528736,1.9609384
8,1,905.731179401823,905.38500028792,22634.6,2,3,25,802.307089113445,2154.42619513589,0.295802147108571,0.298364682666667
8,2,1091.11938601703,1091.84247997823,34939,2,3,32,171.454574310584,1274.81103434223,0.308819986857143,0.314222090666667
8,3,896.027268742786,897.89521430405,34120,3,4,38,38822.5304481195,13757.070845133,0.295522002406015,0.2937868
8,4,1010.28692879722,1010.35995335146,21217.6,2,3,21,1437.9498194282,2422.77150685542,0.293011459047619,0.293550826666667
8,5,1016.64407068003,1016.51399001794,28462.4,3,4,28,205.48921732392,737.484688276605,0.295789202285714,0.294069968
8,6,2472.35581581904,2466.29169276325,54258.4,2,3,22,1409.79382427741,2513.16949826334,0.650127985454545,0.677715413333333
8,7,6550.36888762014,6569.58534508026,131391.7,2,3,20,16567.8847668859,7832.21905932734,1.61917485028571,1.76036106666667
8,8,7753.47812817404,7738.44545047217,1385181.7,3,4,179,21373.1314493906,48082.5583059872,1.75654217819633,1.9609384
