"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,18.244328227169,18.052116372106,6589,42,43,365,5386611.27849638,722.723069419531,5.87602886553425,5.33915239590698
2,16.9504162188848,16.4931236263222,6020,16.1944598089361,43,365,3222259.44825919,944.691109832713,5.87602886553425,5.37424761862161
3,20.3165918353756,20.3505152048725,7427.9,4.72010435392353,43,365,1715490.12944906,1577.75979035224,5.87602886553425,5.26192142931535
4,17.0381025257707,17.4641760246758,6374.4,3.40568645599619,43,365,1240360.32081976,1797.42412831566,5.87602886553425,5.51711673851937
5,17.7143176306037,18.6945758877897,6823.7,2.13985708978304,43,365,1335950.08941707,3195.38873648302,5.87602886553425,5.48078683167645
6,17.4265973406695,17.8898496487084,6529.8,3.19085853208869,43,365,1302912.9721234,1966.4866212696,5.87602886553425,5.66479273033393
7,16.2057767676879,16.5209731877913,6030.1,3.68335293158666,43,365,1077017.63934748,1553.63607413682,5.87602886553425,5.95308199447525
8,18.1509387276808,19.0498068811891,6953.3,2.11802342374178,43,365,1233772.40463925,3114.6167153026,5.87602886553425,5.4993031927379
9,16.3148870300751,16.6160076580361,6065,3.6162455724862,43,365,1061032.53676693,1569.00050472694,5.87602886553425,5.64645320796556
10,16.6521682851316,16.9970896743983,6203.9,3.50530379228856,43,365,1115639.15472185,1657.50027968739,5.87602886553425,5.87425637177473
11,17.8463455285353,18.2879044577578,6675.2,3.22097455542743,43,365,1389338.22002003,2011.2965900951,5.87602886553425,5.99678977693808
12,17.5971649398089,18.6408711610743,6803.9,2.04683610914728,43,365,1666254.92587848,3798.19350424273,5.87602886553425,6.10294330543635
