"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,271,366,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,108,114,366,NA,NA,NA,NA,NA,NA,NA,NA
1,88,91,321,366,NA,NA,NA,NA,NA,NA,NA
1,108,116,273,301,366,NA,NA,NA,NA,NA,NA
1,80,90,236,293,338,366,NA,NA,NA,NA,NA
1,25,80,90,196,295,307,366,NA,NA,NA,NA
1,74,90,109,114,168,269,288,366,NA,NA,NA
1,87,90,108,118,220,229,234,311,366,NA,NA
1,86,92,108,114,188,200,242,260,285,366,NA
1,15,63,85,90,144,168,250,267,333,357,366
1,68,82,90,109,115,148,198,203,207,286,316
1,30,87,90,100,109,117,133,167,223,246,268
1,66,81,90,109,115,199,209,215,219,226,270
