"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,2468.37935990576,2447.52862381208,893347.9,42,43,365,11950121427.3825,34040.8392525418,5.87602886553425,5.33915239590698
2,2502.95852473824,2485.49912570455,907207.2,21.6941565199051,43,365,7207030088.68221,37830.6734165471,5.87602886553425,5.2520379212274
3,2484.77025223335,2479.19418118199,904905.9,31.552151991254,43,365,442761038.918349,7634.64492749911,5.87602886553425,5.49831721518452
4,2547.05956287431,2546.22464989704,929372.1,21.5213389175665,43,365,300559000.342338,7760.19716032097,5.87602886553425,5.38792290016146
5,2540.03642365268,2539.1671144126,926796,15.5623491401044,43,365,252971338.57784,8566.59311326517,5.87602886553425,5.41114200379909
6,2519.61235990456,2521.90092310332,920493.8,11.2488735126363,43,365,230832040.021543,9943.50841111486,5.87602886553425,5.76649407837516
7,2460.70784306858,2457.84868825417,897114.7,8.54355449017076,43,365,195142770.689714,10900.0359083132,5.87602886553425,5.83686487768777
8,2553.17281719581,2551.80300508839,931408.1,17.6559533616243,43,365,207821591.718937,7217.99636655239,5.87602886553425,5.52971360356571
9,2476.31130862023,2470.04686773312,901567.2,10.6403538520572,43,365,210262118.994486,9824.57062282404,5.87602886553425,5.71547179678852
10,2491.85434201769,2489.3190834696,908601.6,7.3975031805996,43,365,200297885.927136,12171.5526375238,5.87602886553425,5.91410718411178
11,2461.38066171036,2455.02903170676,896085.7,9.96260087924504,43,365,224696521.988988,10587.0531467952,5.87602886553425,5.72652997082301
12,2482.01450404052,2484.74945265919,906933.4,10.0907047599807,43,365,345711041.32672,13025.9445589503,5.87602886553425,6.10294330543635
