"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,158,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,94,158,365,NA,NA,NA,NA,NA,NA,NA,NA
1,81,158,315,365,NA,NA,NA,NA,NA,NA,NA
1,72,152,179,247,365,NA,NA,NA,NA,NA,NA
1,92,156,178,226,274,365,NA,NA,NA,NA,NA
1,66,113,156,174,249,304,365,NA,NA,NA,NA
1,31,71,115,152,179,250,273,365,NA,NA,NA
1,42,112,152,177,198,227,250,273,365,NA,NA
1,84,115,137,152,174,226,252,279,317,365,NA
1,31,58,110,155,179,199,228,254,284,321,365
1,38,88,116,136,157,186,205,226,251,275,337
1,11,29,38,44,120,151,174,207,240,260,281
1,10,24,47,52,56,72,135,154,214,241,259
