"strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1,1716.41354491253,1716.50898081975,626525.8,341,342,365,651405188.780968,2718.57088949553,4.32613079861187,4.35154560109162
2,1,576.880369883917,576.672848593902,126291.4,196,197,219,4333.76312703937,2030.89128077093,2.58753272280061,2.53595390646362
2,2,3360.11914750408,3360.09791774301,490574.3,144,145,146,4752.40752070324,1657.83673810289,6.93402791232877,6.81824604137931
3,1,741.117184157965,741.190892561853,112661,129,130,152,320.859578413201,474.294040390463,1.69983701157895,1.47144983876923
3,2,497.853308148829,497.853308148829,27381.9,54,55,55,10585.854491802,1543.89229186143,5.36311611151515,5.36311611151515
3,3,3107.82517219953,3107.81300086133,491034.5,156,157,158,3969.95139114457,1574.40949234485,6.49171601012658,6.38196643566879
4,1,1257.99353776649,1257.99588256842,108187.6,63,64,86,984.582252618859,679.397082550002,2.81944780093023,2.740402565
4,2,227.085888309474,227.085888309474,34517.1,151,152,152,1464.73340896737,935.356465475592,2.20435731298246,2.20435731298246
4,3,4656.15576386276,4656.15576386276,125716.2,26,27,27,9977.52044851479,1087.20666074108,11.4519606617284,11.4519606617284
4,4,3644.63039954691,3644.59968538606,364460,98,99,100,2060.48723471058,909.94660109633,6.92299981173333,6.75330890882155
5,1,764.787639049392,764.857083576692,112434,124,125,147,340.831229106797,482.373503661691,1.74914029387755,1.52029501184
5,2,772.237826781038,772.237826781038,27028.3,34,35,35,3132.58229562014,682.740693961984,4.35016165790476,4.35016165790476
5,3,37.0705131589486,37.0705131589486,1557,41,42,42,142.391693668717,158.071057242881,3.82942020063492,3.82942020063492
5,4,3239.34129018331,3239.34129018331,136052.3,41,42,42,5714.26193638577,1001.35968416625,8.00011402539683,8.00011402539683
5,5,3588.47629176112,3588.44383343517,355255.9,97,98,99,2062.85498153774,906.115625838177,6.79614164417508,6.62342473034014
6,1,1132.79297216438,1132.81122420915,108749.9,73,74,96,788.723928751881,628.896219181393,2.54330583833333,2.39284613189189
6,2,343.270727139671,343.270727139671,31237.6,90,91,91,601.381731887509,467.328190510732,1.93916143238095,1.93916143238095
6,3,50.5448691272987,50.5448691272987,2375.6,46,47,47,251.154268324518,221.060156964477,3.30786414524823,3.30786414524823
6,4,4526.60899463488,4526.64113950624,158432.4,33,34,35,10015.0872707022,1240.50752502954,10.8733815161905,10.4954692313725
6,5,9185.0347859968,9185.0347859968,275551,29,30,30,13571.0608934439,1327.30653858468,17.9229612444444,17.9229612444444
6,6,816.279978876742,816.279978876742,53874.5,65,66,66,47.171423717989,112.288376982938,1.28318008242424,1.28318008242424
7,1,274.937843437714,274.937843437714,3849.1,13,14,14,20.7865434280886,38.2450616860893,0.562290742857143,0.562290742857143
7,2,1155.26955036438,1155.35523974429,105137.3,68,69,91,900.538606779299,660.819841440091,2.60984432175824,2.46969690666667
7,3,405.770976820648,405.770976820648,30838.6,75,76,76,734.503654564275,473.796170461569,2.13680684140351,2.13680684140351
7,4,44.0291153306585,44.0291153306585,2289.5,51,52,52,170.691604907554,190.984451880029,3.2294039774359,3.2294039774359
7,5,4100.55718780044,4100.55718780044,135318.4,32,33,33,7985.06899283481,1061.83027679679,10.0159238868687,10.0159238868687
7,6,9451.73211233302,9451.80436831277,264650.5,26,27,28,13495.000780331,1311.23796570971,18.711926847619,18.5263537975309
7,7,1268.55553430341,1268.55553430341,90067.4,70,71,71,594.779572629213,412.769593553504,2.09695874704225,2.09695874704225
8,1,1204.68842720591,1204.69635683598,108422.7,67,68,90,898.365361323726,657.800140442429,2.70143845155556,2.58886344
8,2,329.20780302648,329.20780302648,31603.9,95,96,96,525.412171218732,448.203165144856,1.82586333111111,1.82586333111111
8,3,36.9734613330581,36.9734613330581,1146.2,30,31,31,185.318342915829,157.352609918091,4.71855322150538,4.71855322150538
8,4,222.186975406575,222.186975406575,6887.8,30,31,31,1025.3025405375,370.118474396671,0.966227067526882,0.966227067526882
8,5,5929.90227792896,5929.90227792896,88948.5,14,15,15,4010.92109330382,544.544537383135,14.8103156622222,14.8103156622222
8,6,11971.5515288064,11971.5515288064,47886.2,3,4,4,56380.5169773792,1745.11871405167,26.0231392,26.0231392
8,7,6203.07684056634,6202.99601206832,328758.8,51,52,53,6250.76508271094,1177.96136442247,11.8575709534591,11.6294011794872
8,8,425.135867071488,425.135867071488,19131.1,44,45,45,7.75865204652136,38.083212854111,0.659970218666667,0.659970218666667
9,1,251.6992003584,251.6992003584,2265.3,8,9,9,10.961595027189,24.2937453177326,0.498690311111111,0.498690311111111
9,2,1476.38927834579,1476.25436724823,91527.8,40,41,62,1582.33379884132,788.121654021161,3.20715163354839,3.34635510634146
9,3,274.815244631034,274.824083017322,19237.7,68,69,70,10.34213207657,54.474542798283,0.744246409142857,0.676135417971015
9,4,753.157079088,753.157079088,27113.7,35,36,36,2741.10653879067,646.771037164842,4.00267144740741,4.00267144740741
9,5,35.3007455210057,35.3007455210057,1235.5,34,35,35,168.561961117586,158.37416289351,4.57855687619048,4.57855687619048
9,6,67.83137661952,67.83137661952,1831.4,26,27,27,40.7468907969177,69.4781152707728,0.667752094814815,0.667752094814815
9,7,5076.62966621349,5076.62966621349,142145.6,27,28,28,12276.3532883297,1225.04579238196,12.2529996095238,12.2529996095238
9,8,9180.05762114026,9180.04051834531,293761.3,30,31,32,12953.4807794302,1357.98906736477,17.9206260916667,17.7334721204301
9,9,816.279978876742,816.279978876742,53874.5,65,66,66,47.171423717989,112.288376982938,1.28318008242424,1.28318008242424
10,1,255.7747807488,255.7747807488,1534.6,5,6,6,15.0695317310306,26.7761147940581,0.497903733333333,0.497903733333333
10,2,1442.98224363962,1442.88483299983,96673.3,44,45,67,1459.07184213072,777.572816445888,3.15218813850746,3.20244130133333
10,3,1307.45088767704,1307.45088767704,10459.6,7,8,8,51.4722521528292,51.2967312751928,3.44155308,3.44155308
10,4,58.5265343912229,58.5265343912229,819.4,13,14,14,1.51963420468194,10.3407909240909,0.15857408,0.15857408
10,5,336.857758434023,336.857758434023,31327.8,92,93,93,600.737872606721,471.986590716983,1.92769407082437,1.92769407082437
10,6,52.0733256433838,52.0733256433838,2447.4,46,47,47,272.043025846142,230.069469327463,3.26177403460993,3.26177403460993
10,7,2830.02028313316,2830.02028313316,76410.5,26,27,27,3193.80113914165,615.11274682556,7.28414720987654,7.28414720987654
10,8,16506.284073984,16506.284073984,49518.9,2,3,3,214524.797251358,4227.47747501819,37.8501226666667,37.8501226666667
10,9,8470.88308047988,8470.83197816712,321891.6,36,37,38,10484.7211712802,1315.22140815478,16.4782041614035,16.2824151063063
10,10,681.865224174906,681.865224174906,42275.6,61,62,62,25.9491932297994,80.8605986855376,1.06658424258065,1.06658424258065
11,1,755.118381367476,755.189529917982,112523.2,126,127,149,332.527002648454,479.020166550849,1.72893068563758,1.50018838929134
11,2,1161.5098847239,1161.5098847239,25553.2,21,22,22,7209.46580386447,847.709941928102,5.94738608484848,5.94738608484848
11,3,96.2690942098286,96.2690942098286,1347.8,13,14,14,567.297194839928,199.797267928184,1.9680176,1.9680176
