"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1345.11987056475,1345.15509908185,490981.6,341,342,365,81745427.8048352,963.045465801946,4.32613079861187,4.35154560109162
2,1335.56237672009,1335.56594283233,487481.6,226.675875461431,342,365,49264034.1402502,918.618914699984,4.32613079861187,4.25606748006809
3,1335.2929749952,1335.2892877906,487380.6,181.710026797835,342,365,42508685.6106285,954.332299079106,4.32613079861187,4.2546426719077
4,1332.79342591045,1332.79895246858,486471.7,133.883446389743,342,365,37965573.8545382,1053.22950338473,4.32613079861187,4.24148482467035
5,1334.91161818111,1334.88918022202,487234.5,59.5895848834115,342,365,33534916.7492607,1500.78895176426,4.32613079861187,4.26627751582989
6,1318.15180323527,1318.1385980222,481120.6,56.1225863660838,342,365,32486253.1105076,1524.02881985661,4.32613079861187,4.35858172401289
7,1326.53547702157,1326.50969654954,484175.9,51.8211789641189,342,365,30636310.2086369,1543.01872164448,4.32613079861187,4.25231739411929
8,1318.27949668326,1318.25504055545,481163.2,49.9452732442589,342,365,29310904.86528,1538.73497240627,4.32613079861187,4.23292747599368
9,1316.00603211901,1315.96604572312,480327.6,44.3880503538504,342,365,27951247.6558975,1598.87535296002,4.32613079861187,4.20008142145985
10,1316.77243432558,1316.72362256991,480604.2,49.3782427103073,342,365,29052474.5065367,1541.14634045937,4.32613079861187,4.18775991985665
11,1316.7689440724,1316.73275753069,480607.5,33.2213772069954,342,365,26432684.4618379,1814.31566866749,4.32613079861187,4.30135933796888
12,1317.69866462297,1317.65634244249,480944.6,39.1013574535085,342,365,28193311.4342366,1717.39684013748,4.32613079861187,4.23334681400901
13,1315.90817240794,1315.88509153651,480298.2,41.0536459915673,342,365,26535572.9834915,1623.58040854735,4.32613079861187,4.26307098689963
14,1317.7801901422,1317.7859482043,480991.7,60.1635287839872,342,365,27331541.460447,1348.14248740868,4.32613079861187,4.22322471997331
