"strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1,532.226783454515,531.323265036185,193933,43,44,365,413690775.789376,6255.23037891232,2.15967002472955,2.50028334109091
2,1,817.569601720087,801.276851969248,51281.7,7,8,64,4611.26574006426,3884.21417385209,2.47678453428571,2.11561892
2,2,483.787678268603,483.010316605615,145386.1,35,36,301,3437.1382842917,6055.50132212402,2.09224368382724,2.58576432355556
3,1,817.569601720087,801.276851969248,51281.7,7,8,64,4611.26574006426,3884.21417385209,2.47678453428571,2.11561892
3,2,408.735835773839,405.660254927683,26367.9,6,7,65,51125.5229357335,14681.6523948489,2.29444371284396,3.753108672
3,3,513.421107105928,513.814981571222,121260.3,28,29,236,692.895968220787,2404.82393514161,2.03655299786925,2.3039915497931
4,1,464.305724591376,469.714527181495,26773.7,6,7,57,542.363413020544,1326.0586944242,1.16639667007519,0.508488822857143
4,2,2874.90609495113,2878.04892296795,43170.7,2,3,15,1020740.39267868,46107.3547710417,12.8935829333333,12.9030218666667
4,3,515.33493768187,516.045391751147,130559.5,29,30,253,707.837349426409,2556.40900114139,2.05484304863693,2.22812628586667
4,4,70.867704864272,71.2631121888933,2850.5,3,4,40,8.60568966000528,215.602250148049,0.212897838171429,0.225047768
5,1,817.569601720087,801.276851969248,51281.7,7,8,64,4611.26574006426,3884.21417385209,2.47678453428571,2.11561892
5,2,539.919340216876,541.864338293815,46058.5,8,9,85,27612.3365123605,11515.5740594129,2.53555289976471,4.65899456711111
5,3,1330.78962084143,1325.52572728255,55672.1,5,6,42,2865.74678321293,2584.72670200237,5.29315155047619,4.99177989333333
5,4,481.51025980538,474.387685641537,34630.3,8,9,73,7092.510861435,5012.3103446997,2.20390873518591,1.89848412444444
5,5,99.4364456256049,99.2941074258094,10028.7,11,12,101,3.71809287676797,129.241581171186,0.307382668944837,0.343294005333333
6,1,817.569601720087,801.276851969248,51281.7,7,8,64,4611.26574006426,3884.21417385209,2.47678453428571,2.11561892
6,2,490.462429213133,487.40305386491,25832.4,5,6,53,76872.7922364614,16893.0718764173,2.76547974848518,4.34738391466667
6,3,1085.81991178435,1085.49997060303,86840,8,9,80,1601.81081237034,2610.42178815773,4.20253370662857,5.08859188622222
6,4,534.13931705987,526.012556128201,21040.5,5,6,40,10532.9733165059,4719.34704990078,2.49736983657143,2.63912576
6,5,150.583761983159,150.873149689837,11164.6,9,10,74,26.3454350150208,286.408515425311,0.490321245034749,0.4302454592
6,6,67.0058707860689,67.2340217053096,3630.6,4,5,54,4.9122407687848,166.147066569428,0.200252963640212,0.2137352064
7,1,817.569601720087,801.276851969248,51281.7,7,8,64,4611.26574006426,3884.21417385209,2.47678453428571,2.11561892
7,2,420.286562305471,417.133144718837,26279.4,6,7,63,54142.4863349923,14643.7513654471,2.35928386031746,3.753108672
7,3,1219.07573552325,1218.84691651611,81662.7,7,8,67,2051.49607147054,2712.20971287899,4.72051320085288,5.70123372
7,4,635.086324018137,623.034166697666,14329.8,2,3,23,31481.894681467,12415.9388312838,3.6451460352795,3.45181792
7,5,451.661121343419,458.679270527242,11467,2,3,25,1582.49869388371,3025.74961175129,1.56380741577143,1.8264336
7,6,129.893876289665,130.062144116079,10014.8,10,11,77,17.8176155205353,229.011751491933,0.421052953825603,0.406449050181818
7,7,68.7558423766007,69.1448993547284,3180.7,3,4,46,8.09086491871464,240.411791344538,0.206553467925466,0.225047768
8,1,96.3779107259459,96.2077913560564,4136.9,4,5,43,34.1598038765554,348.887359935764,0.265970953355482,0.270142272
8,2,2292.26881053015,2235.56059368077,46946.8,2,3,21,49510.4365961551,14216.3782546972,7.00368853333333,5.19141333333333
8,3,539.919340216876,541.864338293815,46058.5,8,9,85,27612.3365123605,11515.5740594129,2.53555289976471,4.65899456711111
8,4,1343.48904880505,1343.49302368269,69861.6,6,7,52,2673.50640183167,2685.88031968954,5.44097198857143,4.83691396571429
8,5,615.717818532869,587.863147941107,10581.5,2,3,18,55343.9058039428,12883.3470313249,3.08178925968254,3.01479530666667
8,6,318.600493962052,317.060729444469,10463,2,3,33,568.191526338938,2393.21994530757,1.18846590268398,1.10341130666667
8,7,121.124887216983,121.351098213012,8494.6,9,10,70,19.5319510637113,233.277242598488,0.39451428075102,0.4043355872
8,8,69.711329527161,70.1032315964942,3014.4,3,4,43,8.32187607810916,227.91847758969,0.209423903043189,0.225047768
9,1,105.178681453218,104.930667463937,2623.3,2,3,25,105.620046565295,781.689869093524,0.296999543222857,0.299214186666667
9,2,1273.59106774817,1246.02296662557,48594.9,4,5,39,13032.8199379342,6180.77451492852,3.87408260547985,3.20546176
9,3,539.919340216876,541.864338293815,46058.5,8,9,85,27612.3365123605,11515.5740594129,2.53555289976471,4.65899456711111
9,4,1694.96873155914,1695.18006953022,37294,2,3,22,50.2066403090486,474.268803510776,7.07600056935065,5.26786869333333
9,5,1129.13663000505,1127.35938185598,28184,2,3,25,687.241053582415,1993.95729909871,4.26591782948571,4.71569109333333
9,6,603.317242564885,592.223628864483,11252.2,2,3,19,28441.6154572643,9748.8194788357,3.46280398676692,3.45181792
9,7,497.771207534716,505.463681824383,12131.1,2,3,24,1922.80796202423,3201.84640797995,1.72345652285714,1.8264336
9,8,143.505078051319,143.78030360964,10496,9,10,73,23.9273718213653,269.260023113725,0.467272085729941,0.4302454592
9,9,67.2766647606312,67.5053044623282,3577.8,4,5,53,4.95269316323818,163.740335721097,0.2010622553531,0.2137352064
10,1,99.8719472732638,99.632310583012,3586.8,3,4,36,56.7187568433531,498.157083418621,0.277603524063492,0.279345232
10,2,1117.96733156105,1121.44287000723,23550.3,2,3,21,417.189730513017,1304.99064037711,2.6900420632381,0.814013610666667
10,3,2874.90609495113,2878.04892296795,43170.7,2,3,15,1020740.39267868,46107.3547710417,12.8935829333333,12.9030218666667
10,4,215.97999754559,216.093260047888,10156.4,3,4,47,323.867379645982,1554.11058789108,0.969763470006079,0.185191872
10,5,1326.12033346076,1327.18934030084,53087.6,3,4,40,6470.60501496868,5911.97915172807,5.18102983245714,7.727796304
10,6,891.217856014532,892.039740980641,33897.5,4,5,38,357.873760868521,997.947330549245,3.38365533714286,2.977228352
10,7,540.731661752691,532.540894790969,20769.1,5,6,39,10799.0062553654,4659.10969424091,2.5281923621978,2.63912576
10,8,178.955316993487,179.497696164311,10769.9,7,8,60,45.5564394060132,361.942228778823,0.585815935771429,0.499154392
10,9,54.3663909978635,54.3871917484118,1686,2,3,31,0.916022532519516,90.2684675336687,0.162910334672811,0.159234805333333
10,10,71.7737219980964,72.171894998212,2742.5,3,4,38,8.83134383718787,207.490133952118,0.215619657503759,0.225047768
11,1,104.169595205847,103.921481177371,2805.9,2,3,27,103.598964171017,836.108749550519,0.294150124021164,0.299214186666667
11,2,805.708461042506,809.982894375278,24299.5,3,4,30,328.732222177749,999.408065550506,1.95141856152381,0.6654448
11,3,2874.90609495113,2878.04892296795,43170.7,2,3,15,1020740.39267868,46107.3547710417,12.8935829333333,12.9030218666667
11,4,191.029042323212,191.099354793909,11466,4,5,60,247.182837602478,1309.54221371501,0.809752606476191,0.1856449408
11,5,1483.43775834147,1485.81158010444,56460.8,4,5,38,7668.78677859066,4619.61756089768,5.8092873287218,6.292559296
11,6,857.816133357711,873.273504557408,41043.9,5,6,47,16255.1495445531,6888.73970182059,3.78798739550152,4.08375450666667
