"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,114.237165196944,114.245415177999,41699.6,341,342,365,1872438.52810047,145.753448785518,4.32613079861187,4.35154560109162
2,112.822909154967,112.822181883664,41180.1,239.42688305157,342,365,831631.886502008,116.098882010894,4.32613079861187,4.24924466656769
3,114.088670574811,114.088413637594,41642.2,135.304907211613,342,365,658538.64999688,137.969702459355,4.32613079861187,4.26195409585993
4,112.532854445989,112.533279093572,41074.7,84.790961861434,342,365,568147.631952639,162.759437011064,4.32613079861187,4.27064443018043
5,112.181648976246,112.18441122357,40947.3,94.4513708405291,342,365,266520.921108974,105.46527329352,4.32613079861187,4.23546766407212
6,112.536156808633,112.537901105228,41076.3,82.6522821184081,342,365,261567.438202511,111.896740808362,4.32613079861187,4.2458663922577
7,112.068508858046,112.076977153506,40908,42.6638664503187,342,365,305723.927240815,170.754905238537,4.32613079861187,4.30230509563041
8,111.517594637752,111.501479018678,40698,61.0442525970754,342,365,229234.543925154,122.534822066743,4.32613079861187,4.20753853170655
9,111.291858765767,111.293827083053,40622.3,59.5670157431919,342,365,226519.208366967,123.369894127836,4.32613079861187,4.16822024732902
10,111.206536500294,111.20972252492,40591.6,64.9818403018667,342,365,209501.878715614,113.398762121932,4.32613079861187,4.19531347473293
11,111.474250860437,111.477697484546,40689.4,30.4422770560192,342,365,197535.749999031,164.411978279416,4.32613079861187,4.18877205609669
12,111.247422541793,111.244384856703,40604.3,60.3917186670877,342,365,189753.689697172,112.10968873704,4.32613079861187,4.27568131620091
13,111.560227775228,111.564091340696,40721,26.9476563419217,342,365,211740.268577194,181.895597617972,4.32613079861187,4.24121731420157
14,111.210327185074,111.213136625053,40592.9,44.4568637687242,342,365,185880.327537258,130.279334448821,4.32613079861187,4.19796301399087
