"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,162,366,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,106,218,366,NA,NA,NA,NA,NA,NA,NA,NA
1,35,106,195,366,NA,NA,NA,NA,NA,NA,NA
1,35,106,233,281,366,NA,NA,NA,NA,NA,NA
1,34,106,151,179,317,366,NA,NA,NA,NA,NA
1,46,98,134,168,281,332,366,NA,NA,NA,NA
1,27,46,98,134,178,300,335,366,NA,NA,NA
1,27,44,98,120,149,231,306,339,366,NA,NA
1,24,61,80,134,160,184,250,268,343,365,NA
1,30,58,89,129,166,188,247,269,303,328,365
1,33,63,109,135,168,184,223,251,279,320,350
1,38,55,69,78,128,144,193,224,252,276,300
1,10,23,41,53,68,79,128,180,223,255,274
