"strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1,34.2928926709765,34.2925429714166,12516.8,362,363,365,402712.020905234,65.5911935459106,2.2361742695379,2.24849186364004
2,1,34.5468919316436,34.5472029488707,6356.7,181,182,184,5.87519547038757,65.4110841805433,3.11691879424638,3.15116481462271
2,2,34.0346585333051,34.0346585333051,6160.3,180,181,181,1.44759832349875,32.0290641163356,1.34083176928177,1.34083176928177
3,1,7.5095361353298,7.5128283754809,623.6,80,81,83,0.168798058087339,7.58723855234694,0.261869842987952,0.268322655407407
3,2,61.4573479972616,61.4573479972616,5715.5,92,93,93,7.06711677189982,51.192729734044,5.91752104143369,5.91752104143369
3,3,32.6883340135107,32.6883340135107,6178.1,188,189,189,1.32964188258035,31.3547291773818,1.29174050031746,1.29174050031746
4,1,7.5095361353298,7.5128283754809,623.6,80,81,83,0.168798058087339,7.58723855234694,0.261869842987952,0.268322655407407
4,2,50.3911826626964,50.3911826626964,2872.3,56,57,57,0.7981270123605,13.6316989484937,5.95298621754386,5.95298621754386
4,3,83.5168506066522,83.5168506066522,2839.6,33,34,34,12.2547564083652,42.1536561155213,6.19591017098039,6.19591017098039
4,4,32.3652259680575,32.3652259680575,6181.8,190,191,191,1.30251795998739,31.194041367321,1.28003796439791,1.28003796439791
5,1,7.5095361353298,7.5128283754809,623.6,80,81,83,0.168798058087339,7.58723855234694,0.261869842987952,0.268322655407407
5,2,49.1177847332736,49.1177847332736,2947.1,59,60,60,0.748620492161939,13.5239073104551,5.78512224,5.78512224
5,3,105.893346218,105.893346218,2753.2,25,26,26,19.3742414680716,47.1395707681911,7.75894841435897,7.75894841435897
5,4,40.0522427638878,40.0522427638878,5126.7,127,128,128,2.88742444573357,38.19175473841,1.64515814791667,1.64515814791667
5,5,15.6859901890707,15.6859901890707,1066.6,67,68,68,0.0578086278152034,3.98685275564519,0.515414342745098,0.515414342745098
