"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,4760.09546737359,4759.64734899763,1737271.3,353,354,365,27170850698.2447,17254.5616591324,2.2361742695379,2.29183447305461
2,4795.38869280647,4795.79792541642,1750466.3,325.787936914563,354,365,12832410109.6881,12346.7055552251,2.2361742695379,2.27412224842911
3,4795.31743161383,4795.91249012335,1750508,269.332942088883,354,365,6095682985.01363,9366.35190228489,2.2361742695379,2.25780947808823
4,4790.48387878378,4790.69629665934,1748604.1,90.3941925176604,354,365,4227840909.86062,13585.9489627542,2.2361742695379,2.25507285742493
5,4795.56672231405,4795.81901237803,1750473.9,193.066376304311,354,365,4759641413.56326,9792.93342794352,2.2361742695379,2.23845014990633
6,4790.66341305785,4790.65380571597,1748588.6,180.27272702036,354,365,2617280072.25801,7518.54025091698,2.2361742695379,2.25332642503222
7,4789.95087188025,4790.15971220895,1748408.3,80.407316018372,354,365,2083010754.75299,10128.1731749985,2.2361742695379,2.25957752819528
8,4790.45522863352,4790.44842137161,1748513.8,239.453386445147,354,365,1371657904.56301,4714.77635218019,2.2361742695379,2.25549957057099
9,4799.3195320942,4799.37002847137,1751770,106.543465884342,354,365,1727191222.23128,7982.07360981642,2.2361742695379,2.24555039383404
10,4795.37953841186,4795.41605916807,1750326.7,106.779705948245,354,365,2403943533.96727,9406.23149942917,2.2361742695379,2.25825401843449
11,4795.10413102726,4795.35922105686,1750306.1,118.160688035939,354,365,1557182940.00495,7188.72874140361,2.2361742695379,2.23729161501326
12,4794.43646864202,4794.44975077688,1749974.2,110.22239237333,354,365,1828376274.20422,8071.24152465553,2.2361742695379,2.25645077462596
13,4803.85426870032,4804.29265914919,1753566.7,86.0764529925993,354,365,1078720737.8391,7037.34490199532,2.2361742695379,2.25281873494301
14,4799.77882245477,4799.84028566227,1751941.8,81.1215184337585,354,365,1425016999.0931,8339.05310793177,2.2361742695379,2.2506108591246
