"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,185,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,84,182,365,NA,NA,NA,NA,NA,NA,NA,NA
1,84,169,191,365,NA,NA,NA,NA,NA,NA,NA
1,84,180,186,286,365,NA,NA,NA,NA,NA,NA
1,48,84,180,188,193,365,NA,NA,NA,NA,NA
1,84,135,183,190,337,346,365,NA,NA,NA,NA
1,70,84,112,147,182,187,358,365,NA,NA,NA
1,64,84,152,185,188,204,230,255,365,NA,NA
1,27,81,84,115,163,174,187,210,304,365,NA
1,84,106,122,134,182,188,227,246,276,292,365
1,5,34,84,97,131,160,175,187,212,319,329
1,84,94,129,148,157,182,187,211,251,273,307
1,25,48,84,92,143,160,184,187,248,325,329
