"strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1,3643.33577464107,3657.87599297569,1335124.7,20,21,365,7218848871.40708,39630.1458824126,1.10698583626145,0.904168908190476
2,1,1767.46723564367,1777.23396235571,353669.6,17,18,199,18677.4776336026,13916.5704618513,0.584956582891601,0.763515317333333
2,2,6927.64634833725,6960.30263531438,1155410.2,2,3,166,42556.2963751458,104186.463803074,1.73279198939759,1.74809045333333
3,1,644.897182068336,644.641386156783,100564.1,10,11,156,5040.79384143995,7803.98305701309,0.317358461509158,0.300261050181818
3,2,5187.82685060696,5161.14437778732,221929.2,6,7,43,187341.367966393,18592.0808084286,1.5557776744186,1.49148630857143
3,3,6927.64634833725,6960.30263531438,1155410.2,2,3,166,42556.2963751458,104186.463803074,1.73279198939759,1.74809045333333
4,1,644.897182068336,644.641386156783,100564.1,10,11,156,5040.79384143995,7803.98305701309,0.317358461509158,0.300261050181818
4,2,2947.92371897449,3077.88968146084,52324.1,2,3,17,424311.245464414,33690.8904708588,0.727384825546219,0.752282986666667
4,3,5492.05632469635,5476.68116480854,208113.9,3,4,38,91917.3513731103,21168.1451556585,1.75102149052632,2.0458888
4,4,7155.77934509099,7189.46441403862,1107177.5,2,3,154,45410.945895018,99844.0737449501,1.7898542309462,1.74809045333333
5,1,898.444704138382,897.403833460785,65510.5,2,3,73,17520.2907225043,29397.798697871,0.301197101526419,0.296382506666667
5,2,557.644731567329,557.585637405593,46279.6,7,8,83,1488.70936745608,2862.17492298064,0.331572669686747,0.301715504
5,3,2843.02464499999,2965.00276692842,44475,2,3,15,396122.080483951,28722.820368672,0.701501525333333,0.752282986666667
5,4,5361.96865372953,5346.87229490893,213874.9,3,4,40,87573.34960328,21749.357381505,1.70954589485714,2.0458888
5,5,7155.77934509099,7189.46441403862,1107177.5,2,3,154,45410.945895018,99844.0737449501,1.7898542309462,1.74809045333333
6,1,899.182170127987,898.138126945313,69156.6,2,3,77,17549.5803464618,31034.5455724192,0.301444331675943,0.296382506666667
6,2,481.952469716082,481.715145572663,19750.3,2,3,41,6357.17421209639,9945.74249338312,0.293623180859466,0.293550826666667
6,3,462.675928652505,462.880184341626,11109.1,2,3,24,1961.46950105788,3233.87567023894,0.297282576380952,0.301101973333333
6,4,2208.79843702038,2400.27959732644,36004.2,2,3,15,551522.570013177,33891.7661694568,0.5534235392,0.602581504
6,5,4518.36086623574,4516.11782353012,234838.1,5,6,52,46419.2740244839,12879.4983516782,1.4527957578022,1.54373754666667
6,6,7119.93325756799,7153.45781117864,1115939.4,2,3,156,44956.1270717587,100632.981714211,1.78088815355311,1.74809045333333
