"Date","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
"2022-10-01","0","0","0","0","1","1","1e+99","NaN","0.319575314285714","0.319575314285714"
"2022-10-02","0","0","0","0","1","1","1e+99","NaN","0.321193417142857","0.321193417142857"
"2022-10-03","0","0","0","0","1","1","1e+99","NaN","0.32281152","0.32281152"
"2022-10-04","0","0","0","0","1","1","1e+99","NaN","0.316784086857143","0.316784086857143"
"2022-10-05","0","0","0","0","1","1","1e+99","NaN","0.310756653714286","0.310756653714286"
"2022-10-06","0","0","0","0","1","1","1e+99","NaN","0.304729220571429","0.304729220571429"
"2022-10-07","0","0","0","0","1","1","1e+99","NaN","0.298701787428571","0.298701787428571"
"2022-10-08","0","0","0","0","1","1","1e+99","NaN","0.292674354285714","0.292674354285714"
"2022-10-09","0","0","0","0","1","1","1e+99","NaN","0.286646921142857","0.286646921142857"
"2022-10-10","0","0","0","0","1","1","1e+99","NaN","0.280619488","0.280619488"
"2022-10-11","0","0","0","0","1","1","1e+99","NaN","0.282197138285714","0.282197138285714"
"2022-10-12","0","0","0","0","1","1","1e+99","NaN","0.283774788571429","0.283774788571429"
"2022-10-13","0","0","0","0","1","1","1e+99","NaN","0.285352438857143","0.285352438857143"
"2022-10-14","0","0","0","0","1","1","1e+99","NaN","0.286930089142857","0.286930089142857"
"2022-10-15","0","0","0","0","1","1","1e+99","NaN","0.288507739428571","0.288507739428571"
"2022-10-16","0","0","0","0","1","1","1e+99","NaN","0.290085389714286","0.290085389714286"
"2022-10-17","0","0","0","0","1","1","1e+99","NaN","0.29166304","0.29166304"
"2022-10-18","0","0","0","0","1","1","1e+99","NaN","0.29166304","0.29166304"
"2022-10-19","0","0","0","0","1","1","1e+99","NaN","0.29166304","0.29166304"
"2022-10-20","0","0","0","0","1","1","1e+99","NaN","0.29166304","0.29166304"
"2022-10-21","0","0","0","0","1","1","1e+99","NaN","0.29166304","0.29166304"
"2022-10-22","0","0","0","0","1","1","1e+99","NaN","0.29166304","0.29166304"
"2022-10-23","0","0","0","0","1","1","1e+99","NaN","0.29166304","0.29166304"
