"Date","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
"2017-10-01","0.64317868759249","0.64317868759249","0.64318","0","1","1","1e+99","NaN","0.313911954285714","0.313911954285714"
"2017-10-02","0.54313887744","0.54313887744","0.54314","0","1","1","1e+99","NaN","0.31431648","0.31431648"
"2017-10-03","0.530007279281633","0.530007279281633","0.53001","0","1","1","1e+99","NaN","0.312293851428571","0.312293851428571"
"2017-10-04","0.517000506200816","0.517000506200816","0.517","0","1","1","1e+99","NaN","0.310271222857143","0.310271222857143"
"2017-10-05","0.504118558197551","0.504118558197551","0.50412","0","1","1","1e+99","NaN","0.308248594285714","0.308248594285714"
"2017-10-06","0.491361435271837","0.491361435271837","0.49136","0","1","1","1e+99","NaN","0.306225965714286","0.306225965714286"
"2017-10-07","0.478729137423674","0.478729137423674","0.47873","0","1","1","1e+99","NaN","0.304203337142857","0.304203337142857"
"2017-10-08","0.466221664653061","0.466221664653061","0.46622","0","1","1","1e+99","NaN","0.302180708571429","0.302180708571429"
"2017-10-09","0.45383901696","0.45383901696","0.45384","0","1","1","1e+99","NaN","0.30015808","0.30015808"
"2017-10-10","0.44158119434449","0.44158119434449","0.44158","0","1","1","1e+99","NaN","0.298135451428571","0.298135451428571"
"2017-10-11","0.429448196806531","0.429448196806531","0.42945","0","1","1","1e+99","NaN","0.296112822857143","0.296112822857143"
"2017-10-12","0.417440024346122","0.417440024346122","0.41744","0","1","1","1e+99","NaN","0.294090194285714","0.294090194285714"
"2017-10-13","0.405556676963265","0.405556676963265","0.40556","0","1","1","1e+99","NaN","0.292067565714286","0.292067565714286"
"2017-10-14","0.393798154657959","0.393798154657959","0.3938","0","1","1","1e+99","NaN","0.290044937142857","0.290044937142857"
"2017-10-15","0.382164457430204","0.382164457430204","0.38216","0","1","1","1e+99","NaN","0.288022308571429","0.288022308571429"
"2017-10-16","0.37065558528","0.37065558528","0.37066","0","1","1","1e+99","NaN","0.28599968","0.28599968"
"2017-10-17","0.347902470144","0.347902470144","0.3479","0","1","1","1e+99","NaN","0.287617782857143","0.287617782857143"
"2017-10-18","0.324869746834286","0.324869746834286","0.32487","0","1","1","1e+99","NaN","0.289235885714286","0.289235885714286"
"2017-10-19","0.301557415350857","0.301557415350857","0.30156","0","1","1","1e+99","NaN","0.290853988571429","0.290853988571429"
"2017-10-20","0.277965475693714","0.277965475693714","0.27797","0","1","1","1e+99","NaN","0.292472091428571","0.292472091428571"
"2017-10-21","0.254093927862857","0.254093927862857","0.25409","0","1","1","1e+99","NaN","0.294090194285714","0.294090194285714"
"2017-10-22","0.229942771858286","0.229942771858286","0.22994","0","1","1","1e+99","NaN","0.295708297142857","0.295708297142857"
"2017-10-23","0.20551200768","0.20551200768","0.20551","0","1","1","1e+99","NaN","0.2973264","0.2973264"
"2017-10-24","0.176652449750204","0.176652449750204","0.17665","0","1","1","1e+99","NaN","0.286242395428571","0.286242395428571"
"2017-10-25","0.149434591240359","0.149434591240359","0.14943","0","1","1","1e+99","NaN","0.275158390857143","0.275158390857143"
"2017-10-26","0.123858432150465","0.123858432150465","0.12386","0","1","1","1e+99","NaN","0.264074386285714","0.264074386285714"
"2017-10-27","0.0999239724805225","0.0999239724805225","0.09992","0","1","1","1e+99","NaN","0.252990381714286","0.252990381714286"
"2017-10-28","0.0776312122305306","0.0776312122305306","0.07763","0","1","1","1e+99","NaN","0.241906377142857","0.241906377142857"
"2017-10-29","0.0569801514004898","0.0569801514004898","0.05698","0","1","1","1e+99","NaN","0.230822372571429","0.230822372571429"
"2017-10-30","0.0379707899904","0.0379707899904","0.03797","0","1","1","1e+99","NaN","0.219738368","0.219738368"
"2017-10-31","0.0465148168986122","0.0465148168986122","0.04651","0","1","1","1e+99","NaN","0.221680091428571","0.221680091428571"
"2017-11-01","0.0552026422961633","0.0552026422961633","0.0552","0","1","1","1e+99","NaN","0.223621814857143","0.223621814857143"
"2017-11-02","0.0640342661830531","0.0640342661830531","0.06403","0","1","1","1e+99","NaN","0.225563538285714","0.225563538285714"
"2017-11-03","0.0730096885592816","0.0730096885592816","0.07301","0","1","1","1e+99","NaN","0.227505261714286","0.227505261714286"
"2017-11-04","0.082128909424849","0.082128909424849","0.08213","0","1","1","1e+99","NaN","0.229446985142857","0.229446985142857"
"2017-11-05","0.0913919287797551","0.0913919287797551","0.09139","0","1","1","1e+99","NaN","0.231388708571429","0.231388708571429"
"2017-11-06","0.100798746624","0.100798746624","0.1008","0","1","1","1e+99","NaN","0.233330432","0.233330432"
"2017-11-07","0.0996523531117714","0.0996523531117714","0.09965","0","1","1","1e+99","NaN","0.224269056","0.224269056"
"2017-11-08","0.0982822730605714","0.0982822730605714","0.09828","0","1","1","1e+99","NaN","0.21520768","0.21520768"
"2017-11-09","0.0966885064704","0.0966885064704","0.09669","0","1","1","1e+99","NaN","0.206146304","0.206146304"
"2017-11-10","0.0948710533412572","0.0948710533412572","0.09487","0","1","1","1e+99","NaN","0.197084928","0.197084928"
"2017-11-11","0.0928299136731428","0.0928299136731428","0.09283","0","1","1","1e+99","NaN","0.188023552","0.188023552"
"2017-11-12","0.0905650874660572","0.0905650874660572","0.09057","0","1","1","1e+99","NaN","0.178962176","0.178962176"
"2017-11-13","0.08807657472","0.08807657472","0.08808","0","1","1","1e+99","NaN","0.1699008","0.1699008"
"2017-11-14","0.226482620708571","0.226482620708571","0.22648","0","1","1","1e+99","NaN","0.436887771428571","0.436887771428571"
"2017-11-15","0.364888666697143","0.364888666697143","0.36489","0","1","1","1e+99","NaN","0.703874742857143","0.703874742857143"
"2017-11-16","0.503294712685714","0.503294712685714","0.50329","0","1","1","1e+99","NaN","0.970861714285714","0.970861714285714"
"2017-11-17","0.641700758674286","0.641700758674286","0.6417","0","1","1","1e+99","NaN","1.23784868571429","1.23784868571429"
"2017-11-18","0.780106804662857","0.780106804662857","0.78011","0","1","1","1e+99","NaN","1.50483565714286","1.50483565714286"
"2017-11-19","0.918512850651429","0.918512850651429","0.91851","0","1","1","1e+99","NaN","1.77182262857143","1.77182262857143"
"2017-11-20","1.05691889664","1.05691889664","1.05692","0","1","1","1e+99","NaN","2.0388096","2.0388096"
"2017-11-21","1.39923918931592","1.39923918931592","1.39924","0","1","1","1e+99","NaN","3.65691245714286","3.65691245714286"
"2017-11-22","1.30217520901224","1.30217520901224","1.30218","0","1","1","1e+99","NaN","5.27501531428571","5.27501531428571"
"2017-11-23","0.76572695572898","0.76572695572898","0.76573","0","1","1","1e+99","NaN","6.89311817142857","6.89311817142857"
"2017-11-24","-0.210105570533877","-0.210105570533877","-0.21011","0","1","1","1e+99","NaN","8.51122102857143","8.51122102857143"
"2017-11-25","-1.62532236977633","-1.62532236977633","-1.62532","0","1","1","1e+99","NaN","10.1293238857143","10.1293238857143"
"2017-11-26","-3.47992344199837","-3.47992344199837","-3.47992","0","1","1","1e+99","NaN","11.7474267428571","11.7474267428571"
"2017-11-27","-5.7739087872","-5.7739087872","-5.77391","0","1","1","1e+99","NaN","13.3655296","13.3655296"
"2017-11-28","-3.28140163866123","-3.28140163866123","-3.2814","0","1","1","1e+99","NaN","13.2927149714286","13.2927149714286"
"2017-11-29","-0.81585670687347","-0.81585670687347","-0.81586","0","1","1","1e+99","NaN","13.2199003428571","13.2199003428571"
"2017-11-30","1.62272600816326","1.62272600816326","1.62273","0","1","1","1e+99","NaN","13.1470857142857","13.1470857142857"
"2017-12-01","4.03434650644898","4.03434650644898","4.03435","0","1","1","1e+99","NaN","13.0742710857143","13.0742710857143"
"2017-12-02","6.41900478798367","6.41900478798367","6.419","0","1","1","1e+99","NaN","13.0014564571429","13.0014564571429"
"2017-12-03","8.77670085276734","8.77670085276734","8.7767","0","1","1","1e+99","NaN","12.9286418285714","12.9286418285714"
"2017-12-04","11.1074347008","11.1074347008","11.10743","0","1","1","1e+99","NaN","12.8558272","12.8558272"
"2017-12-05","9.95579853531429","9.95579853531429","9.9558","0","1","1","1e+99","NaN","12.8032388571429","12.8032388571429"
"2017-12-06","8.81324963547429","8.81324963547429","8.81325","0","1","1","1e+99","NaN","12.7506505142857","12.7506505142857"
"2017-12-07","7.67978800128","7.67978800128","7.67979","0","1","1","1e+99","NaN","12.6980621714286","12.6980621714286"
"2017-12-08","6.55541363273143","6.55541363273143","6.55541","0","1","1","1e+99","NaN","12.6454738285714","12.6454738285714"
"2017-12-09","5.44012652982857","5.44012652982857","5.44013","0","1","1","1e+99","NaN","12.5928854857143","12.5928854857143"
"2017-12-10","4.33392669257143","4.33392669257143","4.33393","0","1","1","1e+99","NaN","12.5402971428571","12.5402971428571"
"2017-12-11","3.23681412096","3.23681412096","3.23681","0","1","1","1e+99","NaN","12.4877088","12.4877088"
"2017-12-12","1.32463872996833","1.32463872996833","1.32464","0","1","1","1e+99","NaN","10.7320267474286","10.7320267474286"
"2017-12-13","-0.110793740233665","-0.110793740233665","-0.11079","0","1","1","1e+99","NaN","8.97634469485714","8.97634469485714"
"2017-12-14","-1.06948328964597","-1.06948328964597","-1.06948","0","1","1","1e+99","NaN","7.22066264228571","7.22066264228571"
"2017-12-15","-1.5514299182686","-1.5514299182686","-1.55143","0","1","1","1e+99","NaN","5.46498058971429","5.46498058971429"
"2017-12-16","-1.55663362610155","-1.55663362610155","-1.55663","0","1","1","1e+99","NaN","3.70929853714286","3.70929853714286"
"2017-12-17","-1.08509441314482","-1.08509441314482","-1.08509","0","1","1","1e+99","NaN","1.95361648457143","1.95361648457143"
