"Date","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
"2014-10-01","149.2163970048","149.2163970048","149.2164","0","1","1","1e+99","NaN","0.2690096","0.2690096"
"2014-10-02","311.1060344832","311.1060344832","311.10603","0","1","1","1e+99","NaN","0.6229696","0.6229696"
"2014-10-03","350.4285552384","350.4285552384","350.42856","0","1","1","1e+99","NaN","0.6654448","0.6654448"
"2014-10-04","251.2139636736","251.2139636736","251.21396","0","1","1","1e+99","NaN","0.4813856","0.4813856"
"2014-10-05","230.5649000448","230.5649000448","230.5649","0","1","1","1e+99","NaN","0.4530688","0.4530688"
"2014-10-06","242.118834048","242.118834048","242.11883","0","1","1","1e+99","NaN","0.495544","0.495544"
"2014-10-07","275.973267456","275.973267456","275.97327","0","1","1","1e+99","NaN","0.566336","0.566336"
"2014-10-08","236.2409459712","236.2409459712","236.24095","0","1","1","1e+99","NaN","0.4813856","0.4813856"
"2014-10-09","218.4299053056","218.4299053056","218.42991","0","1","1","1e+99","NaN","0.4530688","0.4530688"
"2014-10-10","247.0547920896","247.0547920896","247.05479","0","1","1","1e+99","NaN","0.5097024","0.5097024"
"2014-10-11","334.56865536","334.56865536","334.56866","0","1","1","1e+99","NaN","0.70792","0.70792"
"2014-10-12","286.1754706944","286.1754706944","286.17547","0","1","1","1e+99","NaN","0.5946528","0.5946528"
"2014-10-13","248.0334206976","248.0334206976","248.03342","0","1","1","1e+99","NaN","0.5238608","0.5238608"
"2014-10-14","468.0046660608","468.0046660608","468.00467","0","1","1","1e+99","NaN","1.0477216","1.0477216"
"2014-10-15","3599.1024316416","3599.1024316416","3599.10243","0","1","1","1e+99","NaN","7.8154368","7.8154368"
"2014-10-16","3416.4169362432","3416.4169362432","3416.41694","0","1","1","1e+99","NaN","7.5605856","7.5605856"
"2014-10-17","3332.0346845184","3332.0346845184","3332.03468","0","1","1","1e+99","NaN","7.5322688","7.5322688"
"2014-10-18","3352.3656938496","3352.3656938496","3352.36569","0","1","1","1e+99","NaN","7.4473184","7.4473184"
"2014-10-19","3442.693114368","3442.693114368","3442.69311","0","1","1","1e+99","NaN","7.503952","7.503952"
"2014-10-20","3313.758795264","3313.758795264","3313.7588","0","1","1","1e+99","NaN","7.4473184","7.4473184"
"2014-10-21","3378.0302290944","3378.0302290944","3378.03023","0","1","1","1e+99","NaN","7.4756352","7.4756352"
"2014-10-22","3345.0504450048","3345.0504450048","3345.05045","0","1","1","1e+99","NaN","7.5322688","7.5322688"
"2014-10-23","3262.2829304832","3262.2829304832","3262.28293","0","1","1","1e+99","NaN","7.4473184","7.4473184"
