"Date","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
"2020-10-01","158.599488098304","158.599488098304","158.59949","0","1","1","1e+99","NaN","0.35679168","0.35679168"
"2020-10-02","165.997081550263","165.997081550263","165.99708","0","1","1","1e+99","NaN","0.3681184","0.3681184"
"2020-10-03","173.540071252553","173.540071252553","173.54007","0","1","1","1e+99","NaN","0.37944512","0.37944512"
"2020-10-04","181.228457205175","181.228457205175","181.22846","0","1","1","1e+99","NaN","0.39077184","0.39077184"
"2020-10-05","189.062239408128","189.062239408128","189.06224","0","1","1","1e+99","NaN","0.40209856","0.40209856"
"2020-10-06","185.923807420291","185.923807420291","185.92381","0","1","1","1e+99","NaN","0.400480457142857","0.400480457142857"
"2020-10-07","182.80458850839","182.80458850839","182.80459","0","1","1","1e+99","NaN","0.398862354285714","0.398862354285714"
"2020-10-08","179.704582672426","179.704582672426","179.70458","0","1","1","1e+99","NaN","0.397244251428571","0.397244251428571"
"2020-10-09","176.623789912398","176.623789912398","176.62379","0","1","1","1e+99","NaN","0.395626148571429","0.395626148571429"
"2020-10-10","173.562210228308","173.562210228308","173.56221","0","1","1","1e+99","NaN","0.394008045714286","0.394008045714286"
"2020-10-11","170.519843620154","170.519843620154","170.51984","0","1","1","1e+99","NaN","0.392389942857143","0.392389942857143"
"2020-10-12","167.496690087936","167.496690087936","167.49669","0","1","1","1e+99","NaN","0.39077184","0.39077184"
"2020-10-13","159.533189664392","159.533189664392","159.53319","0","1","1","1e+99","NaN","0.408570971428571","0.408570971428571"
"2020-10-14","150.211113068795","150.211113068795","150.21111","0","1","1","1e+99","NaN","0.426370102857143","0.426370102857143"
"2020-10-15","139.530460301145","139.530460301145","139.53046","0","1","1","1e+99","NaN","0.444169234285714","0.444169234285714"
"2020-10-16","127.491231361442","127.491231361442","127.49123","0","1","1","1e+99","NaN","0.461968365714286","0.461968365714286"
