"Date","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
"2018-10-01","745.044883356672","745.044883356672","745.04488","0","1","1","1e+99","NaN","0.139601824","0.139601824"
"2018-10-02","1075.26408678026","1075.26408678026","1075.26409","0","1","1","1e+99","NaN","0.210272466285714","0.210272466285714"
"2018-10-03","1373.9277742295","1373.9277742295","1373.92777","0","1","1","1e+99","NaN","0.280943108571429","0.280943108571429"
"2018-10-04","1641.03594570442","1641.03594570442","1641.03595","0","1","1","1e+99","NaN","0.351613750857143","0.351613750857143"
"2018-10-05","1876.588601205","1876.588601205","1876.5886","0","1","1","1e+99","NaN","0.422284393142857","0.422284393142857"
"2018-10-06","2080.58574073125","2080.58574073125","2080.58574","0","1","1","1e+99","NaN","0.492955035428571","0.492955035428571"
"2018-10-07","2253.02736428316","2253.02736428316","2253.02736","0","1","1","1e+99","NaN","0.563625677714286","0.563625677714286"
"2018-10-08","2393.91347186074","2393.91347186074","2393.91347","0","1","1","1e+99","NaN","0.63429632","0.63429632"
"2018-10-09","2132.54019085098","2132.54019085098","2132.54019","0","1","1","1e+99","NaN","0.562412100571429","0.562412100571429"
"2018-10-10","1868.6293558187","1868.6293558187","1868.62936","0","1","1","1e+99","NaN","0.490527881142857","0.490527881142857"
"2018-10-11","1602.18096676389","1602.18096676389","1602.18097","0","1","1","1e+99","NaN","0.418643661714286","0.418643661714286"
"2018-10-12","1333.19502368656","1333.19502368656","1333.19502","0","1","1","1e+99","NaN","0.346759442285714","0.346759442285714"
"2018-10-13","1061.6715265867","1061.6715265867","1061.67153","0","1","1","1e+99","NaN","0.274875222857143","0.274875222857143"
"2018-10-14","787.61047546432","787.61047546432","787.61048","0","1","1","1e+99","NaN","0.202991003428571","0.202991003428571"
"2018-10-15","511.011870319411","511.011870319411","511.01187","0","1","1","1e+99","NaN","0.131106784","0.131106784"
"2018-10-16","456.232882339255","456.232882339255","456.23288","0","1","1","1e+99","NaN","0.114885302857143","0.114885302857143"
"2018-10-17","399.068480136894","399.068480136894","399.06848","0","1","1","1e+99","NaN","0.0986638217142857","0.0986638217142857"
"2018-10-18","339.518663712329","339.518663712329","339.51866","0","1","1","1e+99","NaN","0.0824423405714286","0.0824423405714286"
"2018-10-19","277.58343306556","277.58343306556","277.58343","0","1","1","1e+99","NaN","0.0662208594285714","0.0662208594285714"
"2018-10-20","213.262788196586","213.262788196586","213.26279","0","1","1","1e+99","NaN","0.0499993782857143","0.0499993782857143"
"2018-10-21","146.556729105408","146.556729105408","146.55673","0","1","1","1e+99","NaN","0.0337778971428571","0.0337778971428571"
"2018-10-22","77.4652557920256","77.4652557920256","77.46526","0","1","1","1e+99","NaN","0.017556416","0.017556416"
"2018-10-23","68.9986354109043","68.9986354109043","68.99864","0","1","1","1e+99","NaN","0.0170709851428571","0.0170709851428571"
"2018-10-24","60.8917149676565","60.8917149676565","60.89171","0","1","1","1e+99","NaN","0.0165855542857143","0.0165855542857143"
"2018-10-25","53.1444944622822","53.1444944622822","53.14449","0","1","1","1e+99","NaN","0.0161001234285714","0.0161001234285714"
"2018-10-26","45.7569738947814","45.7569738947814","45.75697","0","1","1","1e+99","NaN","0.0156146925714286","0.0156146925714286"
"2018-10-27","38.7291532651541","38.7291532651541","38.72915","0","1","1","1e+99","NaN","0.0151292617142857","0.0151292617142857"
"2018-10-28","32.0610325734003","32.0610325734003","32.06103","0","1","1","1e+99","NaN","0.0146438308571429","0.0146438308571429"
"2018-10-29","25.75261181952","25.75261181952","25.75261","0","1","1","1e+99","NaN","0.0141584","0.0141584"
"2018-10-30","861.765662789674","861.765662789674","861.76566","0","1","1","1e+99","NaN","0.403312137142857","0.403312137142857"
"2018-10-31","1945.14706644424","1945.14706644424","1945.14707","0","1","1","1e+99","NaN","0.792465874285714","0.792465874285714"
"2018-11-01","3275.89682278321","3275.89682278321","3275.89682","0","1","1","1e+99","NaN","1.18161961142857","1.18161961142857"
"2018-11-02","4854.01493180658","4854.01493180658","4854.01493","0","1","1","1e+99","NaN","1.57077334857143","1.57077334857143"
"2018-11-03","6679.50139351437","6679.50139351437","6679.50139","0","1","1","1e+99","NaN","1.95992708571429","1.95992708571429"
"2018-11-04","8752.35620790657","8752.35620790657","8752.35621","0","1","1","1e+99","NaN","2.34908082285714","2.34908082285714"
"2018-11-05","11072.5793749832","11072.5793749832","11072.57937","0","1","1","1e+99","NaN","2.73823456","2.73823456"
"2018-11-06","11127.9467700157","11127.9467700157","11127.94677","0","1","1","1e+99","NaN","2.70614218666667","2.70614218666667"
"2018-11-07","11178.923004116","11178.923004116","11178.923","0","1","1","1e+99","NaN","2.67404981333333","2.67404981333333"
"2018-11-08","11225.5080772838","11225.5080772838","11225.50808","0","1","1","1e+99","NaN","2.64195744","2.64195744"
"2018-11-09","11267.7019895194","11267.7019895194","11267.70199","0","1","1","1e+99","NaN","2.60986506666667","2.60986506666667"
"2018-11-10","11305.5047408225","11305.5047408225","11305.50474","0","1","1","1e+99","NaN","2.57777269333333","2.57777269333333"
"2018-11-11","11338.9163311933","11338.9163311933","11338.91633","0","1","1","1e+99","NaN","2.54568032","2.54568032"
"2018-11-12","15089.3340974688","15089.3340974688","15089.3341","0","1","1","1e+99","NaN","3.45767005866667","3.45767005866667"
"2018-11-13","18675.2995393741","18675.2995393741","18675.29954","0","1","1","1e+99","NaN","4.36965979733333","4.36965979733333"
"2018-11-14","22096.8126569094","22096.8126569094","22096.81266","0","1","1","1e+99","NaN","5.281649536","5.281649536"
"2018-11-15","25353.8734500745","25353.8734500745","25353.87345","0","1","1","1e+99","NaN","6.19363927466667","6.19363927466667"
"2018-11-16","28446.4819188695","28446.4819188695","28446.48192","0","1","1","1e+99","NaN","7.10562901333333","7.10562901333333"
"2018-11-17","31374.6380632944","31374.6380632944","31374.63806","0","1","1","1e+99","NaN","8.017618752","8.017618752"
"2018-11-18","34138.3418833492","34138.3418833492","34138.34188","0","1","1","1e+99","NaN","8.92960849066667","8.92960849066667"
