"strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1,506.971039159697,506.985833811299,15716.6,29,30,31,28831.5064746787,64.4876791181539,0.171392760430108,0.173943809777778
2,1,2087.251716096,2087.251716096,6261.8,2,3,3,1058.41500588173,296.941259584853,0.698481066666667,0.698481066666667
2,2,337.586318647404,337.590358363451,9452.5,26,27,28,22.2040581718686,53.1877031940071,0.114919013333333,0.115661892345679
3,1,595.2301229184,595.2301229184,10714.1,17,18,18,30.4363490382116,50.8146357680232,0.199318808888889,0.199318808888889
3,2,265.585823802514,265.585823802514,1859.1,6,7,7,9.05547630656247,21.0424540987752,0.100322377142857,0.100322377142857
3,3,525.791326847805,525.699889888179,3154.2,4,5,6,51.7542428877171,59.9215895917991,0.170530062222222,0.185663818666667
4,1,640.9982977488,640.9982977488,10256,15,16,16,38.1176485209502,54.3641322680285,0.21449976,0.21449976
4,2,227.0499922944,227.0499922944,681.1,2,3,3,12.9120231255421,32.7974213866345,0.0783431466666667,0.0783431466666667
4,3,272.6867063808,272.6867063808,1636.1,5,6,6,4.0299343299085,13.8467122494541,0.103828266666667,0.103828266666667
4,4,525.791326847805,525.699889888179,3154.2,4,5,6,51.7542428877171,59.9215895917991,0.170530062222222,0.185663818666667
5,1,666.43915009536,666.43915009536,9996.6,14,15,15,43.3436028427919,56.6074837801256,0.222947605333333,0.222947605333333
5,2,239.1849870336,239.1849870336,717.6,2,3,3,2.57093734711047,14.6348507835042,0.0811748266666667,0.0811748266666667
5,3,232.3508972544,232.3508972544,697.1,2,3,3,18.7330807299963,39.5045532240233,0.0858942933333333,0.0858942933333333
5,4,290.5120187136,290.5120187136,1162,3,4,4,3.3232812192551,13.3981240807615,0.11114344,0.11114344
5,5,525.791326847805,525.699889888179,3154.2,4,5,6,51.7542428877171,59.9215895917991,0.170530062222222,0.185663818666667
6,1,666.43915009536,666.43915009536,9996.6,14,15,15,43.3436028427919,56.6074837801256,0.222947605333333,0.222947605333333
6,2,239.1849870336,239.1849870336,717.6,2,3,3,2.57093734711047,14.6348507835042,0.0811748266666667,0.0811748266666667
6,3,232.3508972544,232.3508972544,697.1,2,3,3,18.7330807299963,39.5045532240233,0.0858942933333333,0.0858942933333333
6,4,326.4786588672,326.4786588672,979.4,2,3,3,5.91684005655932e-12,2.22017632377627e-05,0.125537813333333,0.125537813333333
6,5,461.470960896,461.470960896,1384.4,2,3,3,216.50157122005,134.299092622891,0.149449777777778,0.149449777777778
6,6,486.983517899609,486.87304402639,1947.5,2,3,4,2.50244893136105,19.2514701586734,0.16069784,0.18264336
7,1,2087.251716096,2087.251716096,6261.8,2,3,3,1058.41500588173,296.941259584853,0.698481066666667,0.698481066666667
7,2,320.8331950848,320.8331950848,962.5,2,3,3,10.8552217971547,30.0719716249055,0.110907466666667,0.110907466666667
7,3,324.2604340224,324.2604340224,1945.6,5,6,6,8.29597567923157,19.8669600146517,0.106423973333333,0.106423973333333
7,4,257.3874791424,257.3874791424,1544.3,5,6,6,1.13219030625529,7.33934661653032,0.0868381866666667,0.0868381866666667
7,5,232.3508972544,232.3508972544,697.1,2,3,3,18.7330807299963,39.5045532240233,0.0858942933333333,0.0858942933333333
7,6,290.5120187136,290.5120187136,1162,3,4,4,3.3232812192551,13.3981240807615,0.11114344,0.11114344
7,7,525.791326847805,525.699889888179,3154.2,4,5,6,51.7542428877171,59.9215895917991,0.170530062222222,0.185663818666667
8,1,2087.251716096,2087.251716096,6261.8,2,3,3,1058.41500588173,296.941259584853,0.698481066666667,0.698481066666667
8,2,320.8331950848,320.8331950848,962.5,2,3,3,10.8552217971547,30.0719716249055,0.110907466666667,0.110907466666667
8,3,324.2604340224,324.2604340224,1945.6,5,6,6,8.29597567923157,19.8669600146517,0.106423973333333,0.106423973333333
8,4,275.5899712512,275.5899712512,826.8,2,3,3,0.483807301646609,6.34861164521744,0.0925015466666667,0.0925015466666667
8,5,239.1849870336,239.1849870336,717.6,2,3,3,2.57093734711047,14.6348507835042,0.0811748266666667,0.0811748266666667
8,6,232.3508972544,232.3508972544,697.1,2,3,3,18.7330807299963,39.5045532240233,0.0858942933333333,0.0858942933333333
8,7,290.5120187136,290.5120187136,1162,3,4,4,3.3232812192551,13.3981240807615,0.11114344,0.11114344
8,8,525.791326847805,525.699889888179,3154.2,4,5,6,51.7542428877171,59.9215895917991,0.170530062222222,0.185663818666667
9,1,2087.251716096,2087.251716096,6261.8,2,3,3,1058.41500588173,296.941259584853,0.698481066666667,0.698481066666667
9,2,320.8331950848,320.8331950848,962.5,2,3,3,10.8552217971547,30.0719716249055,0.110907466666667,0.110907466666667
9,3,311.203897344,311.203897344,1244.8,3,4,4,20.3334290194789,33.1410116110471,0.10194048,0.10194048
9,4,343.6291252224,343.6291252224,1030.9,2,3,3,3.67763548963106,17.5035803705994,0.113739146666667,0.113739146666667
9,5,252.0050217984,252.0050217984,756,2,3,3,0.45512736875482,6.15756533031003,0.0849504,0.0849504
9,6,227.0499922944,227.0499922944,681.1,2,3,3,12.9120231255421,32.7974213866345,0.0783431466666667,0.0783431466666667
9,7,216.9374966784,216.9374966784,650.8,2,3,3,7.3695722967992,24.7778542521551,0.08211872,0.08211872
9,8,328.4359160832,328.4359160832,985.3,2,3,3,7.34551447950509,24.7373777935396,0.125537813333333,0.125537813333333
9,9,525.791326847805,525.699889888179,3154.2,4,5,6,51.7542428877171,59.9215895917991,0.170530062222222,0.185663818666667
