"strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1,1375.9374196447,1375.9374196447,42654.1,30,31,31,10293712.1819731,1196.29713671194,6.84837240774194,6.84837240774194
2,1,1888.7797179648,1888.7797179648,28331.7,14,15,15,31280.3670532501,1520.71302926979,8.30663889066667,8.30663889066667
2,2,895.1477649696,895.1477649696,14322.4,15,16,16,4107.32382548279,564.324469607596,5.48124758,5.48124758
3,1,1136.5754425632,1136.5754425632,9092.6,7,8,8,26441.3023217843,1162.63803698065,6.67639352,6.67639352
3,2,2748.4417469952,2748.4417469952,19239.1,6,7,7,42163.9484054066,1435.85761511614,10.1697764571429,10.1697764571429
3,3,895.1477649696,895.1477649696,14322.4,15,16,16,4107.32382548279,564.324469607596,5.48124758,5.48124758
4,1,760.7124827136,760.7124827136,3042.8,3,4,4,1479.4004279387,282.685360967579,3.17643704,3.17643704
4,2,1512.4384024128,1512.4384024128,6049.8,3,4,4,8648.67437919175,683.494811347495,10.17635,10.17635
4,3,2748.4417469952,2748.4417469952,19239.1,6,7,7,42163.9484054066,1435.85761511614,10.1697764571429,10.1697764571429
4,4,895.1477649696,895.1477649696,14322.4,15,16,16,4107.32382548279,564.324469607596,5.48124758,5.48124758
5,1,760.7124827136,760.7124827136,3042.8,3,4,4,1479.4004279387,282.685360967579,3.17643704,3.17643704
5,2,1512.4384024128,1512.4384024128,6049.8,3,4,4,8648.67437919175,683.494811347495,10.17635,10.17635
5,3,2748.4417469952,2748.4417469952,19239.1,6,7,7,42163.9484054066,1435.85761511614,10.1697764571429,10.1697764571429
5,4,2050.6775106816,2050.6775106816,12304.1,5,6,6,20330.1520204508,983.485577838165,12.0252010666667,12.0252010666667
5,5,201.8299175424,201.8299175424,2018.3,9,10,10,10.6437139111215,24.6007368707244,1.554875488,1.554875488
6,1,760.7124827136,760.7124827136,3042.8,3,4,4,1479.4004279387,282.685360967579,3.17643704,3.17643704
6,2,1512.4384024128,1512.4384024128,6049.8,3,4,4,8648.67437919175,683.494811347495,10.17635,10.17635
6,3,2748.4417469952,2748.4417469952,19239.1,6,7,7,42163.9484054066,1435.85761511614,10.1697764571429,10.1697764571429
6,4,1803.8082502656,1803.8082502656,5411.4,2,3,3,6469.70360214328,734.14990091215,12.2989301333333,12.2989301333333
6,5,2297.5467710976,2297.5467710976,6892.6,2,3,3,10228.3673698343,923.093538952687,11.751472,11.751472
6,6,201.8299175424,201.8299175424,2018.3,9,10,10,10.6437139111215,24.6007368707244,1.554875488,1.554875488
7,1,760.7124827136,760.7124827136,3042.8,3,4,4,1479.4004279387,282.685360967579,3.17643704,3.17643704
7,2,1512.4384024128,1512.4384024128,6049.8,3,4,4,8648.67437919175,683.494811347495,10.17635,10.17635
7,3,2748.4417469952,2748.4417469952,19239.1,6,7,7,42163.9484054066,1435.85761511614,10.1697764571429,10.1697764571429
7,4,1803.8082502656,1803.8082502656,5411.4,2,3,3,6469.70360214328,734.14990091215,12.2989301333333,12.2989301333333
7,5,2297.5467710976,2297.5467710976,6892.6,2,3,3,10228.3673698343,923.093538952687,11.751472,11.751472
7,6,303.6725346816,303.6725346816,1822,5,6,6,23.9404989611671,33.7492620710208,2.34227130666667,2.34227130666667
7,7,49.0659918336,49.0659918336,196.3,3,4,4,10.5836796022477,23.9099567703961,0.37378176,0.37378176
8,1,760.7124827136,760.7124827136,3042.8,3,4,4,1479.4004279387,282.685360967579,3.17643704,3.17643704
8,2,1512.4384024128,1512.4384024128,6049.8,3,4,4,8648.67437919175,683.494811347495,10.17635,10.17635
8,3,2748.4417469952,2748.4417469952,19239.1,6,7,7,42163.9484054066,1435.85761511614,10.1697764571429,10.1697764571429
8,4,1803.8082502656,1803.8082502656,5411.4,2,3,3,6469.70360214328,734.14990091215,12.2989301333333,12.2989301333333
8,5,2297.5467710976,2297.5467710976,6892.6,2,3,3,10228.3673698343,923.093538952687,11.751472,11.751472
8,6,581.24993753088,581.24993753088,1743.7,2,3,3,101.581688896295,91.9920435834986,4.48443722666667,4.48443722666667
8,7,26.09513183232,26.09513183232,78.3,2,3,3,0.633191533248913,7.26290062053284,0.200105386666667,0.200105386666667
8,8,49.0659918336,49.0659918336,196.3,3,4,4,10.5836796022477,23.9099567703961,0.37378176,0.37378176
9,1,760.7124827136,760.7124827136,3042.8,3,4,4,1479.4004279387,282.685360967579,3.17643704,3.17643704
9,2,1754.1081886464,1754.1081886464,5262.3,2,3,3,12646.2991059472,1026.41804093132,12.0865541333333,12.0865541333333
9,3,869.8458829824,869.8458829824,2609.5,2,3,3,7524.55253659221,791.740555656642,4.18144746666667,4.18144746666667
9,4,3483.39672474624,3483.39672474624,17417,4,5,5,83328.7054230319,2003.67102191918,12.61796608,12.61796608
9,5,1803.8082502656,1803.8082502656,5411.4,2,3,3,6469.70360214328,734.14990091215,12.2989301333333,12.2989301333333
9,6,2297.5467710976,2297.5467710976,6892.6,2,3,3,10228.3673698343,923.093538952687,11.751472,11.751472
9,7,581.24993753088,581.24993753088,1743.7,2,3,3,101.581688896295,91.9920435834986,4.48443722666667,4.48443722666667
9,8,26.09513183232,26.09513183232,78.3,2,3,3,0.633191533248913,7.26290062053284,0.200105386666667,0.200105386666667
9,9,49.0659918336,49.0659918336,196.3,3,4,4,10.5836796022477,23.9099567703961,0.37378176,0.37378176
