"strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1,294.819957630348,294.819957630348,9139.4,30,31,31,11201.6353227314,39.4633335009452,0.0768664103225806,0.0768664103225806
2,1,325.65885352704,325.65885352704,3256.6,9,10,10,13.3728495433616,27.5748715853656,0.090189008,0.090189008
2,2,280.134769108114,280.134769108114,5882.8,20,21,21,8.95774453350993,29.3163789700485,0.0705223161904762,0.0705223161904762
3,1,325.65885352704,325.65885352704,3256.6,9,10,10,13.3728495433616,27.5748715853656,0.090189008,0.090189008
3,2,331.1679209472,331.1679209472,3311.7,9,10,10,1.96437516325137,10.5685093666139,0.085233568,0.085233568
3,3,233.740994708945,233.740994708945,2571.2,10,11,11,22.538012958543,36.7953339401054,0.0571484509090909,0.0571484509090909
4,1,325.65885352704,325.65885352704,3256.6,9,10,10,13.3728495433616,27.5748715853656,0.090189008,0.090189008
4,2,331.1679209472,331.1679209472,3311.7,9,10,10,1.96437516325137,10.5685093666139,0.085233568,0.085233568
4,3,256.68612864,256.68612864,770.1,2,3,3,76.5971644050449,79.8819942408626,0.0575774933333333,0.0575774933333333
4,4,225.1365694848,225.1365694848,1801.1,7,8,8,5.85231267090863,17.296843935648,0.05698756,0.05698756
5,1,325.65885352704,325.65885352704,3256.6,9,10,10,13.3728495433616,27.5748715853656,0.090189008,0.090189008
5,2,331.1679209472,331.1679209472,3311.7,9,10,10,1.96437516325137,10.5685093666139,0.085233568,0.085233568
5,3,256.68612864,256.68612864,770.1,2,3,3,76.5971644050449,79.8819942408626,0.0575774933333333,0.0575774933333333
5,4,239.723232768,239.723232768,719.2,2,3,3,5.8197247660407,22.018806509999,0.05946528,0.05946528
5,5,216.38457151488,216.38457151488,1081.9,4,5,5,8.96662562392724,20.7846932112178,0.055500928,0.055500928
6,1,282.81388142592,282.81388142592,1414.1,4,5,5,35.4649400231408,41.3360253355834,0.077588032,0.077588032
6,2,353.4928860672,353.4928860672,1414,3,4,4,5.64628425867763,17.4639234155943,0.09981672,0.09981672
6,3,340.020617576727,340.020617576727,3740.2,10,11,11,4.19003762441089,15.8651396043801,0.0879107927272727,0.0879107927272727
6,4,256.68612864,256.68612864,770.1,2,3,3,76.5971644050449,79.8819942408626,0.0575774933333333,0.0575774933333333
6,5,239.723232768,239.723232768,719.2,2,3,3,5.8197247660407,22.018806509999,0.05946528,0.05946528
6,6,216.38457151488,216.38457151488,1081.9,4,5,5,8.96662562392724,20.7846932112178,0.055500928,0.055500928
7,1,282.81388142592,282.81388142592,1414.1,4,5,5,35.4649400231408,41.3360253355834,0.077588032,0.077588032
7,2,353.4928860672,353.4928860672,1414,3,4,4,5.64628425867763,17.4639234155943,0.09981672,0.09981672
7,3,354.6404810208,354.6404810208,2837.1,7,8,8,7.75599698446515,19.9123227139922,0.09185262,0.09185262
7,4,301.0343150592,301.0343150592,903.1,2,3,3,3.58098722704391,17.2720520514602,0.0773992533333333,0.0773992533333333
7,5,256.68612864,256.68612864,770.1,2,3,3,76.5971644050449,79.8819942408626,0.0575774933333333,0.0575774933333333
7,6,239.723232768,239.723232768,719.2,2,3,3,5.8197247660407,22.018806509999,0.05946528,0.05946528
7,7,216.38457151488,216.38457151488,1081.9,4,5,5,8.96662562392724,20.7846932112178,0.055500928,0.055500928
8,1,282.81388142592,282.81388142592,1414.1,4,5,5,35.4649400231408,41.3360253355834,0.077588032,0.077588032
8,2,353.4928860672,353.4928860672,1414,3,4,4,5.64628425867763,17.4639234155943,0.09981672,0.09981672
8,3,418.4187777792,418.4187777792,2092.1,4,5,5,20.0494047792611,31.0799163918428,0.108453344,0.108453344
8,4,248.3433197568,248.3433197568,745,2,3,3,3.87508343739396,17.9673108357664,0.0641847466666667,0.0641847466666667
8,5,301.0343150592,301.0343150592,903.1,2,3,3,3.58098722704391,17.2720520514602,0.0773992533333333,0.0773992533333333
8,6,256.68612864,256.68612864,770.1,2,3,3,76.5971644050449,79.8819942408626,0.0575774933333333,0.0575774933333333
8,7,239.723232768,239.723232768,719.2,2,3,3,5.8197247660407,22.018806509999,0.05946528,0.05946528
8,8,216.38457151488,216.38457151488,1081.9,4,5,5,8.96662562392724,20.7846932112178,0.055500928,0.055500928
9,1,285.270239232,285.270239232,855.8,2,3,3,105.701795268483,93.8390784087176,0.0773992533333333,0.0773992533333333
9,2,313.4547431424,313.4547431424,940.4,2,3,3,1.31653470721673,10.4727010986282,0.08778208,0.08778208
9,3,343.9553347584,343.9553347584,1031.9,2,3,3,11.2253504336955,30.580353823596,0.0972210133333333,0.0972210133333333
9,4,418.4187777792,418.4187777792,2092.1,4,5,5,20.0494047792611,31.0799163918428,0.108453344,0.108453344
9,5,248.3433197568,248.3433197568,745,2,3,3,3.87508343739396,17.9673108357664,0.0641847466666667,0.0641847466666667
9,6,301.0343150592,301.0343150592,903.1,2,3,3,3.58098722704391,17.2720520514602,0.0773992533333333,0.0773992533333333
9,7,256.68612864,256.68612864,770.1,2,3,3,76.5971644050449,79.8819942408626,0.0575774933333333,0.0575774933333333
9,8,239.723232768,239.723232768,719.2,2,3,3,5.8197247660407,22.018806509999,0.05946528,0.05946528
9,9,216.38457151488,216.38457151488,1081.9,4,5,5,8.96662562392724,20.7846932112178,0.055500928,0.055500928
