"strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1,1214.45031746268,1214.95066449677,37663.5,20,21,31,20739270.6058918,2124.16591263106,2.8200744388455,1.91488988952381
2,1,2170.29183228614,2170.95342702791,36906.2,6,7,17,70733.6540720128,4516.52759097514,5.00490234848297,5.41053142857143
2,2,63.8629490067675,63.8629490067675,894.1,13,14,14,1.38149745082286,9.85959943349814,0.16706912,0.16706912
3,1,2170.29183228614,2170.95342702791,36906.2,6,7,17,70733.6540720128,4516.52759097514,5.00490234848297,5.41053142857143
3,2,81.5014382257152,81.5014382257152,244.5,2,3,3,3.49333383690423,17.0593546306086,0.205768746666667,0.205768746666667
3,3,59.0524519470545,59.0524519470545,649.6,10,11,11,1.61331638109866,9.84452368977332,0.156514676363636,0.156514676363636
4,1,2170.29183228614,2170.95342702791,36906.2,6,7,17,70733.6540720128,4516.52759097514,5.00490234848297,5.41053142857143
4,2,81.5014382257152,81.5014382257152,244.5,2,3,3,3.49333383690423,17.0593546306086,0.205768746666667,0.205768746666667
4,3,49.59037366272,49.59037366272,148.8,2,3,3,0.0554735012299433,2.14973704710472,0.13308896,0.13308896
4,4,62.60073130368,62.60073130368,500.8,7,8,8,3.09286786098372,12.5742991781198,0.16529932,0.16529932
5,1,2170.29183228614,2170.95342702791,36906.2,6,7,17,70733.6540720128,4516.52759097514,5.00490234848297,5.41053142857143
5,2,81.5014382257152,81.5014382257152,244.5,2,3,3,3.49333383690423,17.0593546306086,0.205768746666667,0.205768746666667
5,3,49.59037366272,49.59037366272,148.8,2,3,3,0.0554735012299433,2.14973704710472,0.13308896,0.13308896
5,4,67.47888909312,67.47888909312,202.4,2,3,3,13.6998554242146,33.7831813235571,0.17556416,0.17556416
5,5,59.673836630016,59.673836630016,298.4,4,5,5,4.33002747942982,14.4435658614964,0.159140416,0.159140416
6,1,2260.0074808071,2261.76701015479,33926.5,4,5,15,133612.614482929,7611.56719483462,4.94542479494737,5.3943504
6,2,1411.7288537088,1411.7288537088,4235.2,2,3,3,204.10737531884,130.398291479576,3.74725653333333,3.74725653333333
6,3,51.9223885489152,51.9223885489152,155.8,2,3,3,0.218142704900271,4.26297611288164,0.13592064,0.13592064
6,4,55.312904448,55.312904448,165.9,2,3,3,0.00991585873188182,0.908882450156319,0.149135146666667,0.149135146666667
6,5,64.61884698624,64.61884698624,193.9,2,3,3,14.954134646987,35.2958134613582,0.168956906666667,0.168956906666667
6,6,60.20645524992,60.20645524992,240.8,3,4,4,6.76713493143382,19.1188984700306,0.159282,0.159282
