DateTime,Value [FLOW] Flow (cfs),Value [TSS] Total Suspended Solids (mg/L),Value [TP] Total Phosphorus (mg-P/L),Value [SRP] Soluble Reactive Phosphorus (mg-P/L),Value [NO23] Nitrite + Nitrate (mg-N/L),Value [TKN] Total Kjeldahl Nitrogen (mg-N/L),Value [CL] Chloride (mg/L),Value [SO4] Sulfate (mg/L),Value [SI] Total Silica (mg-Si/L),Value [COND] Conductivity (umho)
11/04/1981 13:00,331,12.3,0.431,0.1907,2.82,0.82,95.3,,,855
11/05/1981 13:00,353,8.9,0.373,0.1357,2.77,1.06,99,,,926
11/06/1981 13:00,821,181,0.8,0.0466,1.65,1.78,75.6,,,908
11/07/1981 13:00,733,36.9,0.34,0.0927,1.57,0.91,91.5,,,948
11/08/1981 13:00,603,31.3,0.285,0.0272,1.57,1.1,89.2,,,1126
11/09/1981 13:00,530,15.8,0.265,0.0825,1.74,1.15,80,,,1330
11/10/1981 13:00,472,10.2,0.301,0.0855,2.09,1.32,81.6,,,1436
11/10/1981 19:00,464,11.3,0.331,0.0844,1.95,1.67,84,,,1717
11/18/1981 19:00,328,8.7,0.319,0.1281,2.78,1.59,94.5,,,1491
11/21/1981 13:00,1690,79.8,0.326,0.0214,1.42,1.39,96.1,,,1519
11/21/1981 19:00,1680,75.4,0.3,0.0105,1.23,1.32,102,,,1903
11/22/1981 19:00,1210,37.1,0.266,0.0053,1.16,1.55,119.6,,,1468
11/23/1981 07:00,1090,21.6,0.228,0.0053,1.19,1.4,122.5,,,990
11/23/1981 13:00,1010,37.5,0.267,0.0868,2.33,1,92.1,,,737
11/24/1981 07:00,954,32.8,0.202,0.0836,2.32,0.98,95.8,,,742
11/25/1981 07:00,944,21.1,0.215,0.1063,2.1,1.18,125,,,776
11/26/1981 07:00,877,22.6,0.187,0.0895,1.97,1.09,85.4,,,841
11/27/1981 07:00,1400,45.5,0.173,0.0608,1.51,0.93,97.9,,,883
11/28/1981 07:00,930,19.9,0.174,0.0793,1.72,1.08,82.3,,,860
11/29/1981 07:00,797,17.6,0.188,0.0894,1.97,1.07,86.2,,,810
11/30/1981 01:00,701,17.6,0.209,0.1016,1.98,1.16,72.2,,,786
12/02/1981 13:00,1240,69.8,0.323,0.0999,1.79,1.02,65.7,,,713
12/03/1981 13:00,925,23.5,0.234,0.1044,1.63,1.47,69,,,665
12/04/1981 13:00,858,20.1,0.263,0.1065,1.81,1.47,68.7,,,679
12/05/1981 13:00,1170,43.4,0.456,0.0993,1.68,1.78,69.4,,,677
12/06/1981 13:00,935,31.3,0.311,0.0964,1.59,1.35,68.8,,,834
12/07/1981 07:00,830,22.7,0.248,0.0979,1.61,1.21,65,,,851
12/07/1981 13:00,788,16.7,0.225,0.1032,2.23,0.73,68.8,,,1830
12/08/1981 13:00,1630,98.3,0.532,0.1411,2.21,1.34,67.4,,,808
12/09/1981 13:00,1230,44.3,0.402,0.1079,1.87,1.24,104.6,,,859
12/10/1981 13:00,1050,37.8,0.424,0.1135,2.25,1.39,152.2,,,1095
12/11/1981 13:00,944,20.4,0.297,0.1065,2.13,1.18,177.4,,,1343
12/12/1981 13:00,906,24.5,0.239,0.0876,1.87,1.23,152.4,,,1645
12/13/1981 13:00,906,36.3,0.439,0.0984,2.11,1.51,146.2,,,1996
12/14/1981 07:00,882,24.9,0.245,0.0858,1.91,1.15,130.5,,,1813
12/15/1981 13:00,830,23.9,0.236,0.098,2.33,0.94,117.9,,,1742
12/16/1981 13:00,779,18.8,0.292,0.1094,2.18,1.04,107.1,,,1596
12/17/1981 13:00,733,21.8,0.294,0.1257,1.99,0.91,115,,,1701
12/18/1981 13:00,670,16.5,0.283,0.0996,2.17,1.12,151.3,,,1565
12/19/1981 13:00,608,16.9,0.275,0.124,2.37,1.13,185.8,,,1813
12/20/1981 13:00,573,17.1,0.285,0.1362,2.53,1.34,191.9,,,2070
12/21/1981 07:00,586,20.3,0.302,0.1234,2.21,1.56,174.9,,,1999
12/21/1981 13:00,526,30.4,0.338,0.1283,3.38,0.81,168.9,,,1737
12/22/1981 01:00,603,962,1.55,0.171,1.7,3.18,403,,,1835
12/22/1981 13:00,612,12200,6.8,0.028,1.1,17.86,214,,,2140
12/23/1981 01:00,1300,2720,2.57,0.033,1.4,2.67,161,,,2510
12/23/1981 13:00,6930,656,1.08,0.001,1.9,1.5,123,,,2690
12/24/1981 01:00,4880,226,0.501,0.0051,1.41,0.93,96.8,,,2720
12/24/1981 13:00,3230,154,0.318,0.0229,1.5,0.75,98,,,3050
12/25/1981 01:00,2980,121,0.259,0.0251,1.6,0.83,97.9,,,3390
12/25/1981 13:00,2330,99.8,0.235,0.0179,,0.78,87.9,,,3080
12/26/1981 01:00,2070,106,0.241,0.0405,1.87,0.69,85.6,,,2980
12/26/1981 13:00,1740,82.4,0.217,0.0382,1.91,0.76,84.4,,,2450
12/27/1981 13:00,1630,127,0.213,0.0184,1.91,0.8,102.7,,,2130
12/28/1981 13:00,1500,109,0.274,0.0361,1.95,1.04,113.3,,,2080
12/29/1981 13:00,1330,85.9,0.338,0.0425,2.07,1.23,116.8,,,2570
12/30/1981 13:00,1070,59.7,0.347,0.052,2.22,1.25,108.2,,,2960
12/31/1981 13:00,944,123,0.592,0.079,1.77,1.47,142.2,,,2160
01/01/1982 13:00,1760,281,0.448,0.0441,1.63,1.29,110.8,,,1930
01/02/1982 01:00,1440,319,0.532,0.0555,1.63,1.2,100.6,,,1830
01/02/1982 13:00,1130,127,0.393,0.0617,1.81,1.51,101.4,,,1700
01/03/1982 01:00,1100,209,0.516,0.0627,1.56,1.6,116.5,,,1640
01/03/1982 13:00,973,762,0.826,0.0366,1.03,2.43,77.7,,,1535
01/04/1982 01:00,1450,4120,3.6,,1.8,4.17,83,,,1495
01/05/1982 13:00,2810,757,1.12,0.0692,1.52,1.2,76.3,,,1919
01/05/1982 19:00,2690,322,0.784,0.0649,1.45,1.1,73.1,,,1690
01/06/1982 01:00,2550,145,0.542,0.0685,1.44,0.91,76.9,,,1675
01/06/1982 07:00,2350,118,0.435,0.0696,1.55,0.75,71.7,,,1599
01/06/1982 13:00,2130,105,0.397,0.0777,1.57,0.72,71.9,,,1585
01/07/1982 13:00,1920,74.6,0.479,0.0856,1.87,0.74,90.9,,,1312
01/08/1982 13:00,1640,73.7,0.379,0.1088,1.87,0.77,73.8,,,1461
01/09/1982 13:00,1400,67.8,0.652,0.1062,1.97,0.81,70.6,,,2430
01/10/1982 13:00,1020,46.9,0.2,0.0891,2.19,0.59,81.4,,,2250
01/11/1982 13:00,688,199,0.255,0.1176,2.42,0.71,81.7,,,2080
01/12/1982 07:00,849,30.9,0.198,0.1014,2.6,1.06,82.3,,,1753
02/02/1982 13:00,3450,891,0.993,0.0381,1.23,1.67,88,,,1891
02/02/1982 19:00,3390,954,1.01,0.0456,1.19,1.81,81.4,,,1498
02/03/1982 01:00,3170,573,0.952,0.045,1.23,1.72,82.4,,,1287
02/03/1982 07:00,2970,259,0.572,0.0425,1.09,1.31,89.8,,,1082
02/03/1982 13:00,2880,199,0.347,0.0498,1.1,1.27,105.2,,,986
02/03/1982 19:00,3380,216,0.389,0.0524,1.1,1.33,129.9,,,1021
02/04/1982 01:00,3710,230,0.382,0.0512,1.09,1.56,137.8,,,1019
02/04/1982 07:00,3590,224,0.379,0.0399,1.09,1.46,128.7,,,1024
02/04/1982 13:00,3250,226,0.306,0.0385,1.02,1.23,110.2,,,990
02/04/1982 19:00,3090,489,0.473,0.0464,1.08,1.43,104.5,,,963
02/05/1982 01:00,2850,606,0.643,0.0438,1.16,1.7,104.7,,,903
02/05/1982 07:00,2590,796,0.781,0.048,1.16,2.02,106.5,,,882
02/05/1982 13:00,2480,548,0.605,0.0452,1.13,1.52,102.3,,,898
02/05/1982 19:00,2440,671,1.13,0.0462,1.17,1.81,99,,,880
02/06/1982 01:00,2310,841,1.2,0.0491,1.27,1.92,92.9,,,913
02/06/1982 07:00,2130,648,0.962,0.0435,1.13,2.01,83.1,,,874
02/06/1982 13:00,2000,1290,1.14,0.0431,1.13,2.06,85.5,,,854
02/06/1982 19:00,1950,1480,1.25,0.0429,1.14,1.93,84.7,,,986
02/07/1982 01:00,1800,1250,1.23,0.0397,1.15,1.98,79.8,,,954
02/07/1982 07:00,1650,1270,1.24,0.0451,1.15,2.07,75.7,,,935
02/07/1982 13:00,1520,1470,1.62,0.0412,1.18,2.26,75.4,,,952
02/07/1982 19:00,1450,1120,1.63,0.0449,1.18,2.52,76.2,,,977
02/08/1982 01:00,1630,1700,2.23,0.0437,1.25,3.35,76.9,,,991
02/08/1982 07:00,1490,1210,2.5,0.0451,1.3,2.91,78.3,,,979
02/08/1982 13:00,1340,1140,1.98,0.0513,1.28,2.64,81.9,,,1155
02/08/1982 19:00,1310,907,1.07,0.0522,1.14,2.49,78.8,,,2070
02/09/1982 01:00,1270,571,1.06,0.0517,1.15,2.34,79.2,,,2290
02/09/1982 07:00,1210,300,0.613,0.051,1.17,1.87,80.6,,,1703
02/16/1982 19:00,2780,231,0.448,0.097,1.11,2.46,136.4,,,1392
02/17/1982 01:00,2980,257,0.398,0.0763,1.08,2.35,125.2,,,1296
02/17/1982 07:00,2900,250,0.413,0.0771,1.08,2.46,120.5,,,1333
02/17/1982 13:00,3440,269,0.411,0.0804,1.04,2.48,114.7,,,1200
02/17/1982 19:00,3400,223,0.369,0.0658,1.02,2.04,108.6,,,1142
02/18/1982 01:00,3310,236,0.377,0.0552,1.01,2.52,105.1,,,1124
02/18/1982 07:00,2900,193,0.342,0.0676,0.99,2.04,99.7,,,1173
02/18/1982 13:00,2520,152,0.355,0.0822,1.02,2.13,101.6,,,1109
02/18/1982 19:00,2410,116,0.32,0.1041,1.03,1.86,120.3,,,1105
02/19/1982 01:00,2570,130,0.301,0.0738,1.07,1.92,136.3,,,1075
02/19/1982 07:00,2790,121,0.32,0.0955,1.08,2.05,130.9,,,1065
02/19/1982 13:00,2920,142,0.296,0.0758,1.04,1.84,120.2,,,1066
02/19/1982 19:00,2840,161,0.373,0.064,1.03,2.17,114.9,,,1085
02/20/1982 01:00,2620,,0.285,0.06,1.07,1.85,111.4,,,1085
02/20/1982 07:00,2450,98.4,0.261,0.0641,1.05,1.89,108.7,,,1053
02/20/1982 13:00,2320,96.1,0.241,0.059,1.08,1.87,105.7,,,1106
02/20/1982 19:00,2600,115,0.286,0.0667,1.08,1.86,112.5,,,1109
02/21/1982 01:00,3080,178,0.303,0.0636,1.11,1.91,107.6,,,1097
02/21/1982 07:00,2970,179,0.306,0.0601,1.01,2.19,100.7,,,1118
02/21/1982 13:00,2650,121,0.26,0.0594,1.03,1.98,95.1,,,1092
02/21/1982 19:00,2540,100,0.236,0.0614,1.05,1.97,94.7,,,1133
02/22/1982 01:00,2510,96.3,0.24,0.0542,1.1,1.78,94.6,,,1184
02/22/1982 07:00,2310,87.4,0.226,0.063,1.11,1.83,93.2,,,1115
02/22/1982 13:00,2110,79.1,0.228,0.0675,1.12,1.73,90.2,,,1000
02/22/1982 19:00,2110,71.7,0.231,0.0688,1.03,1.69,83.5,,,1137
02/23/1982 01:00,2140,79.9,0.252,0.0747,1.04,1.85,88.3,,,1043
02/23/1982 07:00,1990,68.3,0.234,0.0653,1.07,1.89,86,,,1046
02/26/1982 13:00,1380,62.9,0.234,0.0573,2.09,0.77,114.4,,,980
02/27/1982 13:00,1160,51.1,0.245,0.0743,2.32,0.72,110,,,907
02/28/1982 13:00,1090,43.1,0.201,0.0753,2.45,0.73,101.6,,,848
03/01/1982 13:00,1010,40.1,0.226,0.0829,2.22,0.77,94.8,,,642
03/02/1982 07:00,1050,41.1,0.262,0.0996,2.13,0.95,97.4,,,671
03/05/1982 13:00,3040,345,0.458,0.0552,1.19,1.79,154.7,,,790
03/05/1982 19:00,2980,215,0.37,0.0699,1.13,1.5,150,,,843
03/06/1982 01:00,2990,216,0.356,0.0653,1.13,1.73,141.8,,,806
03/06/1982 13:00,2200,111,0.262,0.0546,1.11,1.56,125.7,,,796
03/07/1982 01:00,1940,84.9,0.239,0.0683,1.11,1.4,109.3,,,768
03/07/1982 13:00,1620,63.7,0.221,0.0679,0.97,1.56,98.1,,,813
03/08/1982 13:00,1360,48.1,0.218,0.0696,1.03,1.68,96.6,,,853
03/09/1982 07:00,1390,36.7,0.221,0.0842,1.1,1.76,92.5,,,866
03/09/1982 13:00,1340,38,0.225,0.081,1.31,1.59,97.5,,,859
03/10/1982 13:00,1100,32.2,0.228,0.0923,1.33,1.84,125.1,,,858
03/11/1982 01:00,1700,80.6,0.318,0.1196,1.27,1.76,145.7,,,883
03/11/1982 07:00,1820,102,0.314,0.0966,1.28,1.49,130.6,,,977
03/11/1982 13:00,3140,955,0.983,0.1397,1.29,2.73,120.9,,,856
03/11/1982 19:00,5530,967,0.826,0.0524,1.06,2.59,99.6,,,843
03/12/1982 01:00,5120,792,0.696,0.0417,1.02,2.37,102.2,,,843
03/12/1982 07:00,3770,371,0.426,0.0455,1.03,1.83,99.6,,,817
03/12/1982 13:00,3060,236,0.349,0.0542,1.05,1.67,97.7,,,835
03/12/1982 19:00,3340,227,0.314,0.0505,1.06,1.4,94.6,,,764
03/13/1982 01:00,3680,242,0.321,0.0454,1.03,1.55,87.7,,,724
03/13/1982 07:00,3800,311,0.347,0.0542,0.98,1.58,82.2,,,749
03/13/1982 13:00,5260,647,0.504,0.0301,0.88,1.96,75.9,,,774
03/13/1982 19:00,5430,743,0.609,0.0316,0.9,2.19,81,,,821
03/14/1982 01:00,4420,347,0.414,0.0457,0.92,1.64,81.6,,,883
03/14/1982 07:00,3620,233,0.329,0.0434,0.94,1.4,82.5,,,839
03/14/1982 13:00,3380,179,0.286,0.0421,0.93,1.37,76.9,,,891
03/14/1982 19:00,3310,154,0.263,0.0412,0.96,0.97,73.9,,,918
03/15/1982 01:00,3240,144,0.268,0.049,1.03,1.15,71.9,,,909
03/15/1982 07:00,3110,153,0.253,0.045,1.02,1.28,65.8,,,1014
03/15/1982 13:00,2970,240,0.313,0.0359,1.22,1.42,62.3,,,967
03/15/1982 19:00,2940,155,0.268,0.0346,1.26,1.26,61.7,,,1067
03/16/1982 01:00,2930,139,0.276,0.0295,1.27,1.37,61.2,,,898
03/16/1982 07:00,2920,145,0.282,0.0326,1.23,1.35,59.9,,,845
