DateTime,Value [FLOW] Flow (cfs),Value [TSS] Total Suspended Solids (mg/L),Value [TP] Total Phosphorus (mg-P/L),Value [SRP] Soluble Reactive Phosphorus (mg-P/L),Value [NO23] Nitrite + Nitrate (mg-N/L),Value [TKN] Total Kjeldahl Nitrogen (mg-N/L),Value [CL] Chloride (mg/L),Value [SO4] Sulfate (mg/L),Value [SI] Total Silica (mg-Si/L),Value [COND] Conductivity (umho)
07/27/2009 10:00,,39.508,0.8161,0.3585,0.01,4.8403,38.4,20.9,10.65,481
08/03/2009 10:15,,72.026,0.8715,0.4201,0.09,5.8077,38.6,19.7,11.9,467
08/10/2009 10:30,,71.9,0.743,0.324,0,2.869,39.9,21.5,10.93,470
08/17/2009 11:34,,56.521,1.6053,0.4045,0.01,4.2637,40.4,18.8,12.87,465
08/24/2009 10:50,,46.721,0.8179,0.3725,0,5.7208,42.4,18,12.79,474
08/31/2009 10:30,,51.816,0.7555,0.3723,0,5.7942,40.6,19,13.16,477
09/07/2009 11:05,,51.035,0.7625,0.3686,0,4.2256,40,19.1,12.16,471
09/14/2009 10:30,,47.833,0.6879,0.3014,0.01,4.2549,44.2,20.1,12.16,481
09/21/2009 10:30,,95.652,0.7364,0.3349,0.01,4.5086,42.5,19.5,11.28,485
09/28/2009 10:40,,61.556,0.742,0.4061,0,4.2983,42.5,16.3,12.52,490
10/05/2009 10:50,,34.658,0.5004,0.2406,0.01,3.7461,42,18.2,11.2,491
10/12/2009 10:30,,57.692,0.5364,0.1857,0.05,4.7525,47.8,24.7,11.85,505
10/19/2009 10:30,,47.569,0.4537,0.108,0.01,4.4112,43.8,21.8,10.87,497
11/02/2009 10:40,,41.411,0.4334,0.0991,0,3.2899,44.7,24,10.49,509
11/09/2009 10:37,,32.378,0.3418,0.0824,0,3.7648,44.1,22.8,11.29,523
11/16/2009 10:43,,54.438,0.3631,0.0782,0.07,4.2226,45.8,24.1,10.51,522
11/22/2009 11:00,,21.126,0.2434,0.0574,0.01,3.0176,43.9,22.9,10.41,518
11/30/2009 12:00,,17.094,0.209,0.0379,0.03,3.1676,43.1,19.9,11.23,520
12/07/2009 10:45,,7.9129,0.1884,0.0695,0.06,2.7992,45.8,23.3,10.93,532
12/14/2009 10:22,,23.326,0.1701,0.046,0.02,2.5578,39.5,21.8,8.97,570
03/15/2010 10:30,,8.9,0.174,0.003,1.15,16.903,49.1,29.4,8.11,554
03/22/2010 10:45,,61.868,0.2584,0.0039,1.57,3.7417,48.8,34.4,1.45,500
03/29/2010 10:00,,47.832,0.2077,0.0102,1.84,3.4855,47.5,36.6,-0.02,507
04/05/2010 10:30,,23.468,0.1522,0.0046,2.31,2.6602,46.1,38.9,0.1,520
