DateTime,Value [FLOW] Flow (cfs),Value [TSS] Total Suspended Solids (mg/L),Value [TP] Total Phosphorus (mg-P/L),Value [SRP] Soluble Reactive Phosphorus (mg-P/L),Value [NO23] Nitrite + Nitrate (mg-N/L),Value [TKN] Total Kjeldahl Nitrogen (mg-N/L),Value [CL] Chloride (mg/L),Value [SO4] Sulfate (mg/L),Value [SI] Total Silica (mg-Si/L),Value [COND] Conductivity (umho)
02/16/1988 11:00,1259.8,30.3,0.071,0.006,0.63,0.52,63.8,,,367
02/17/1988 09:00,1125,92.6,0.079,0.006,0.61,0.61,52.5,,,375
02/18/1988 09:00,1275,252,0.133,0.002,0.63,0.64,55.4,,,288
02/24/1988 11:00,4474.6,172,0.133,0.004,0.52,0.72,25.4,,,293
02/25/1988 11:00,2618.3,75.5,0.068,0.003,0.48,0.44,37.2,,,301
03/01/1988 11:00,1050,40.2,0.05,0.08,0.47,1.88,39.2,,,343
03/02/1988 11:00,1120,34.7,0.05,0.007,0.43,1.9,39,,,380
03/03/1988 11:00,1280,55.1,0.06,0.006,0.45,1.98,38.8,,,415
03/04/1988 11:00,1120,46.5,0.059,0.006,0.42,2.18,37.6,,,419
03/05/1988 11:00,873,51.9,0.048,0.003,0.39,1.97,32.6,,,451
03/06/1988 11:00,862,25.9,0.043,0.007,0.4,1.82,39.1,,,478
03/07/1988 11:00,975,43.3,0.046,0.005,0.39,0.39,40.8,,,578
03/08/1988 11:00,1200,54.1,0.032,-0.001,0.4,0.34,39.5,,,343
03/09/1988 11:00,1540,191,0.079,-0.002,0.41,0.46,38.4,,,329
03/10/1988 11:00,1660,189,0.089,-0.002,0.4,0.53,38.8,,,318
03/11/1988 11:00,1530,97.5,0.053,-0.003,0.35,0.4,35.3,,,354
03/12/1988 11:00,1170,95.3,0.04,-0.002,0.32,0.38,32.9,,,293
03/13/1988 11:00,1030,45.8,0.031,-0.003,0.32,0.34,37.3,,,242
03/14/1988 11:00,1030,32,0.023,-0.003,0.3,0.32,43.4,,,242
03/15/1988 11:00,1080,14.9,0.024,0.005,0.33,0.4,53.7,,,238
