DateTime,Value [FLOW] Flow (cfs),Value [TSS] Total Suspended Solids (mg/L),Value [TP] Total Phosphorus (mg-P/L),Value [SRP] Soluble Reactive Phosphorus (mg-P/L),Value [NO23] Nitrite + Nitrate (mg-N/L),Value [TKN] Total Kjeldahl Nitrogen (mg-N/L),Value [CL] Chloride (mg/L),Value [SO4] Sulfate (mg/L),Value [SI] Total Silica (mg-Si/L),Value [COND] Conductivity (umho)
04/22/1996 20:00,4757.3,71.073,0.2566,0.082,6.051,1.2372,43.9,44.4,6.22,674
04/23/1996 04:00,9970,61.463,0.2395,0.087,5.868,0.9006,44.7,43.2,6.11,688
04/23/1996 12:00,9483,425.02,0.5731,0.052,3.48,1.8161,34.4,30.2,5.48,531
04/23/1996 20:00,15759,390.96,0.5904,0.08,3.196,2.0415,31,29.8,5.61,507
04/24/1996 04:00,19718,524.15,0.7904,0.065,3.835,2.7043,21.4,21.1,5.26,433
04/24/1996 12:00,22360,372.52,0.681,0.095,4.324,2.5086,18,22.8,5.86,393
04/24/1996 20:00,21622,251.2,0.5874,0.097,5.293,2.1214,18.8,23.6,6.13,405
04/25/1996 20:00,16287,151.75,0.4573,0.138,6.759,1.6033,22.6,28.5,6.68,463
04/26/1996 20:00,11694,94.511,0.3374,0.108,6.845,1.1925,25.5,33.8,6.9,522
04/27/1996 20:00,7903.4,71.568,0.2541,0.088,6.081,0.9624,30.7,40,6.91,601
04/28/1996 20:00,6891.4,58.862,0.2281,0.079,4.611,0.8923,36.1,41.5,6.7,623
04/29/1996 04:00,24400,470.81,0.5599,0.038,2.307,1.6288,23.9,24.7,5.1,432
04/29/1996 12:00,28698,564.9,0.6362,0.053,2.201,2.1003,16.9,16,4.85,355
04/29/1996 20:00,30000,590.28,0.8063,0.052,2.759,2.7238,15.3,12.4,4.65,350
04/30/1996 04:00,31910,456.32,0.7533,0.073,2.825,2.3451,13.7,14.5,5.29,333
04/30/1996 12:00,32410,387.3,0.7271,0.096,3.413,2.1184,13,13.1,5.51,337
04/30/1996 20:00,30774,305.23,0.6513,0.107,3.836,1.868,13.4,16,5.96,349
05/01/1996 04:00,28900,230.36,0.5734,0.117,4.207,1.7873,14.3,15.2,6.15,362
05/01/1996 12:00,26039,194.77,0.5462,0.085,4.616,1.7481,14.9,16.8,6.32,379
05/02/1996 12:00,21534,124.85,0.4369,0.079,5.015,1.4908,17.4,22.2,6.69,426
05/03/1996 12:00,14538,90.974,0.3375,0.103,5.168,1.097,22.7,28.9,6.59,485
05/03/1996 20:00,13645,81.152,0.3,0.09,5.243,1.0172,23.2,29.7,6.73,509
05/04/1996 04:00,12510,523.21,0.7944,0.082,3.27,2.3667,19.7,18,5.33,388
05/04/1996 12:00,19636,215.19,0.3749,0.072,4.053,1.4602,23.9,25.2,5.95,481
05/05/1996 12:00,18300,165.74,0.3635,0.064,4.237,1.2179,22.2,24.5,6.19,484
05/06/1996 04:00,17086,131.35,0.3279,0.069,4.537,1.3041,22.7,23.4,6.57,491
05/06/1996 12:00,17048,134.09,0.3343,0.066,4.734,1.1589,22.9,29.9,6.75,500
05/07/1996 12:00,13942,146.17,0.3796,0.062,5.021,1.2937,24,35.1,6.87,511
05/08/1996 12:00,15908,142.04,0.2971,0.068,4.116,1.0962,27.1,35.7,6.41,517
05/09/1996 04:00,14878,126.2,0.272,0.074,4.258,0.9651,25.9,33.1,6.79,532
05/09/1996 12:00,19062,592.63,0.8645,0.054,3.449,2.791,19.4,23.2,5.83,420
05/09/1996 20:00,21710,363.68,0.6354,0.061,3.132,1.9864,17.1,26.2,5.96,408
05/10/1996 04:00,19926,198.6,0.435,0.072,3.737,1.3334,18.7,28.6,6.27,441
05/10/1996 12:00,15325,139.21,0.3691,0.069,4.177,1.1902,21.6,33.2,6.56,479
05/11/1996 12:00,23160,200,0.3477,0.061,3.268,1.236,20.5,28.3,5.92,454
05/12/1996 12:00,27730,272.7,0.5338,0.079,2.756,1.6721,13.3,22.8,5.86,362
05/13/1996 04:00,18300,170.29,0.4036,0.099,3.804,1.3016,19,27.9,6.68,460
05/13/1996 12:00,14980,101.33,0.3224,0.064,4.147,1.1304,20.3,26.9,6.98,484
05/14/1996 12:00,10590,58.94,0.2304,0.063,4.666,1.0256,27.2,34.6,7.18,569
05/15/1996 12:00,7567.6,56.811,0.2151,0.067,4.038,0.7625,31.9,41.5,6.8,593
05/16/1996 12:00,11136,109.22,0.2752,0.028,3.629,0.9453,25.8,35.4,6.38,552
05/17/1996 12:00,9568.8,82.204,0.2641,0.047,4.171,0.7803,49.4,36,6.88,578
