DateTime,Value [FLOW] Flow (cfs),Value [TSS] Total Suspended Solids (mg/L),Value [TP] Total Phosphorus (mg-P/L),Value [SRP] Soluble Reactive Phosphorus (mg-P/L),Value [NO23] Nitrite + Nitrate (mg-N/L),Value [TKN] Total Kjeldahl Nitrogen (mg-N/L),Value [CL] Chloride (mg/L),Value [SO4] Sulfate (mg/L),Value [SI] Total Silica (mg-Si/L),Value [COND] Conductivity (umho)
01/28/1976 00:00,350,38.5,0.238,0.08,3,,19,,,879
01/28/1976 18:00,348,31,0.264,0.09,3.1,,18,,,778
01/29/1976 00:00,487,25.7,0.199,0.1,3.2,,19,,,683
01/29/1976 06:00,357,32.3,0.235,0.07,3,,18,,,629
01/29/1976 12:00,1084,22.1,0.196,0.11,3.2,,19,,,421
01/29/1976 18:00,955,24.5,0.164,0.08,3.1,,19,,,388
01/30/1976 00:00,266,5.8,0.166,0.06,3.7,,21,,,433
01/30/1976 06:00,420,35.3,0.182,0.07,3.3,,20,,,397
01/30/1976 12:00,425,16,0.177,0.07,3.3,,20,,,380
01/30/1976 18:00,343,16.2,0.166,0.12,3.3,,20,,,396
01/31/1976 00:00,260,15.2,0.134,0.05,4,,23,,,431
01/31/1976 06:00,253,4,0.146,0.07,4,,21,,,447
01/31/1976 12:00,228,8.8,0.147,0.06,4,,22,,,525
01/31/1976 18:00,268,9.1,0.138,0.05,4.1,,23,,,578
02/02/1976 21:10,198,9.7,0.123,0.04,3.8,,22,,,618
02/03/1976 03:10,157,7.5,0.118,0.04,3.7,,23,,,645
02/03/1976 09:10,160,6.1,0.115,0.04,3.8,,23,,,672
02/03/1976 15:10,175,6.3,0.105,0.03,3.7,,22,,,668
02/03/1976 21:10,184,9,0.114,0.03,3.7,,21,,,668
02/04/1976 21:10,140,6.9,0.094,0.03,3.7,,21,,,758
02/05/1976 21:10,115,4.3,0.09,0.03,3.5,,23,,,736
02/06/1976 21:10,113,6.6,0.095,0.03,3.5,,22,,,733
02/07/1976 21:10,109,5,0.087,0.03,3.5,,22,,,740
02/08/1976 21:10,101,6.9,0.092,0.02,3.3,,22,,,758
02/09/1976 00:00,90,9.2,0.057,0.02,3.6,,27,,,781
02/09/1976 15:10,90,4.5,0.062,0.02,3.4,,22,,,879
02/09/1976 18:00,90,14.3,0.066,0.02,3.7,,27,,,816
02/10/1976 00:00,624,86.5,0.35,0.16,1.5,,22,,,809
02/10/1976 06:00,90,8.4,0.06,0.03,3.3,,75,,,832
02/10/1976 12:00,90,19.2,0.09,0.04,3.3,,75,,,864
02/10/1976 18:00,253,68.1,0.244,0.09,2.2,,29,,,894
02/11/1976 00:00,886,59.5,0.341,0.18,1.7,,26,,,860
02/11/1976 06:00,906,104,0.422,0.2,1.5,,20,,,859
02/11/1976 12:00,882,75.5,0.332,0.16,1.5,,19,,,904
02/11/1976 18:00,918,92.6,0.361,0.18,1.6,,30,,,920
02/12/1976 00:00,906,65.8,0.25,0.08,2.2,,20,,,872
02/12/1976 06:00,886,55.5,0.309,0.14,1.8,,25,,,899
02/12/1976 12:00,870,55.5,0.283,0.14,1.9,,22,,,909
02/12/1976 18:00,894,43.2,0.292,0.11,2.1,,20,,,905
02/13/1976 00:00,863,50.1,0.187,0.05,2.4,,20,,,868
02/13/1976 06:00,947,61.4,0.236,0.07,2.3,,20,,,895
02/13/1976 12:00,906,61.3,0.214,0.06,2.3,,20,,,850
02/13/1976 18:00,890,82.6,0.231,0.03,2.9,,24,,,856
02/14/1976 00:00,641,34.2,0.159,0.03,3.1,,20,,,870
02/14/1976 06:00,771,37.6,0.164,0.04,2.5,,20,,,918
02/14/1976 12:00,712,37.7,0.164,0.04,2.6,,20,,,890
02/14/1976 18:00,676,45.1,0.173,0.04,2.8,,20,,,911
02/15/1976 00:00,600,39.5,0.156,0.03,3,,20,,,914
02/15/1976 06:00,574,31.7,0.136,0.03,3.1,,20,,,914
02/15/1976 12:00,502,32.3,0.137,0.03,3.1,,21,,,902
02/15/1976 18:00,493,36.4,0.146,0.04,3.2,,21,,,914
02/16/1976 06:00,679,57.1,0.174,0.03,3.1,,20,,,925
02/16/1976 12:00,690,48.2,0.183,0.04,3.5,,22,,,659
02/16/1976 19:00,1976,771,1.24,0.04,3.6,2.5,17,,,734
02/17/1976 01:00,3721,978,1.82,0.04,2.8,,12,,,571
02/17/1976 07:00,3814,936,1.15,0.03,3.2,,14,,,695
02/17/1976 13:00,4004,1131,1.21,0.04,3.4,,14,,,555
02/17/1976 19:00,3630,103,1.07,0.04,3.7,2.3,15,,,552
02/18/1976 01:00,3214,299,0.978,0.04,3.9,,15,,,566
02/18/1976 07:00,2933,442,1.125,0.04,4,,15,,,599
02/18/1976 13:00,2702,585,0.853,0.04,4.1,,15,,,630
02/18/1976 19:00,2200,377,0.819,0.05,4.3,1.6,16,,,646
02/19/1976 01:00,2080,416,0.587,0.03,4.5,,16,,,664
02/19/1976 07:00,2037,178,0.576,0.03,4.6,,17,,,656
02/19/1976 13:00,1811,210,0.49,0.03,4.8,,18,,,612
02/19/1976 19:00,1571,195,0.464,0.03,5,1.4,18,,,568
02/20/1976 01:00,1330,216,0.501,0.02,5.1,,18,,,508
02/20/1976 07:00,1230,270,0.438,0.02,5,,19,,,469
02/20/1976 13:00,1075,166,0.396,0.02,5,,19,,,530
02/20/1976 19:00,947,132,0.357,0.02,5,1.4,19,,,542
02/21/1976 01:00,847,114,0.349,0.02,4.9,,19,,,523
02/21/1976 07:00,749,106,0.316,0.03,4.9,,19,,,454
02/21/1976 13:00,964,227,0.447,0.03,4.2,,18,,,349
02/21/1976 19:00,1007,276,0.479,0.03,3.7,1.3,17,,,317
02/22/1976 01:00,1125,224,0.5,0.03,3.9,,17,,,302
02/22/1976 07:00,1106,186,0.42,0.03,3.9,,18,,,306
02/22/1976 13:00,1052,209,0.442,0.03,3.8,,18,,,320
02/22/1976 19:00,1030,200,0.433,0.03,4,1.3,18,,,349
02/23/1976 01:00,985,180,0.394,0.03,3.9,,18,,,344
02/23/1976 07:00,914,155,0.339,0.03,4.1,,18,,,346
02/23/1976 13:00,824,122,0.305,0.03,4.2,,18,,,362
02/23/1976 19:00,741,94.4,0.274,0.04,4.1,1.3,21,,,372
02/24/1976 19:00,471,66.9,0.227,0.04,4,3.8,23,,,387
02/25/1976 19:00,353,44.1,0.222,0.04,4,1,24,,,446
02/26/1976 19:00,251,62.4,0.309,0.15,3.9,1,23,,,488
