"Date","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
"2015-10-01","297.992411136","297.992411136","297.99241","0","1","1","1e+99","NaN","0.11893056","0.11893056"
"2015-10-02","321.53821544448","321.53821544448","321.53822","0","1","1","1e+99","NaN","0.125726592","0.125726592"
"2015-10-03","382.51656400896","382.51656400896","382.51656","0","1","1","1e+99","NaN","0.146114688","0.146114688"
"2015-10-04","475.92177149952","475.92177149952","475.92177","0","1","1","1e+99","NaN","0.171599808","0.171599808"
"2015-10-05","467.76245548032","467.76245548032","467.76246","0","1","1","1e+99","NaN","0.162255264","0.162255264"
"2015-10-06","429.37330176","429.37330176","429.3733","0","1","1","1e+99","NaN","0.15291072","0.15291072"
"2015-10-07","416.6021984256","416.6021984256","416.6022","0","1","1","1e+99","NaN","0.146114688","0.146114688"
"2015-10-08","441.2636393472","441.2636393472","441.26364","0","1","1","1e+99","NaN","0.15291072","0.15291072"
"2015-10-09","447.8693824512","447.8693824512","447.86938","0","1","1","1e+99","NaN","0.15291072","0.15291072"
"2015-10-10","462.40201728","462.40201728","462.40202","0","1","1","1e+99","NaN","0.15291072","0.15291072"
"2015-10-11","403.03840591872","403.03840591872","403.03841","0","1","1","1e+99","NaN","0.132522624","0.132522624"
"2015-10-12","414.97441284096","414.97441284096","414.97441","0","1","1","1e+99","NaN","0.134787968","0.134787968"
"2015-10-13","450.68783284224","450.68783284224","450.68783","0","1","1","1e+99","NaN","0.146114688","0.146114688"
"2015-10-14","462.04971098112","462.04971098112","462.04971","0","1","1","1e+99","NaN","0.146114688","0.146114688"
"2015-10-15","434.54046081024","434.54046081024","434.54046","0","1","1","1e+99","NaN","0.139318656","0.139318656"
"2015-10-16","434.54046081024","434.54046081024","434.54046","0","1","1","1e+99","NaN","0.139318656","0.139318656"
"2015-10-17","453.21269465088","453.21269465088","453.21269","0","1","1","1e+99","NaN","0.146114688","0.146114688"
"2015-10-18","424.91075530752","424.91075530752","424.91076","0","1","1","1e+99","NaN","0.139318656","0.139318656"
"2015-10-19","446.90054012928","446.90054012928","446.90054","0","1","1","1e+99","NaN","0.146114688","0.146114688"
"2015-10-20","467.6866117632","467.6866117632","467.68661","0","1","1","1e+99","NaN","0.15291072","0.15291072"
"2015-10-21","451.95026374656","451.95026374656","451.95026","0","1","1","1e+99","NaN","0.146114688","0.146114688"
"2015-10-22","457.1174227968","457.1174227968","457.11742","0","1","1","1e+99","NaN","0.15291072","0.15291072"
"2015-10-23","450.5116796928","450.5116796928","450.51168","0","1","1","1e+99","NaN","0.15291072","0.15291072"
"2015-10-24","417.68847618048","417.68847618048","417.68848","0","1","1","1e+99","NaN","0.139318656","0.139318656"
