"Date","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
"1983-10-01","15.6335920128","15.6335920128","15.63359","0","1","1","1e+99","NaN","0.0849504","0.0849504"
"1983-10-02","15.780386304","15.780386304","15.78039","0","1","1","1e+99","NaN","0.0849504","0.0849504"
"1983-10-03","20.5878993408","20.5878993408","20.5879","0","1","1","1e+99","NaN","0.0849504","0.0849504"
"1983-10-04","21.285172224","21.285172224","21.28517","0","1","1","1e+99","NaN","0.0849504","0.0849504"
"1983-10-05","147.283605504","147.283605504","147.28361","0","1","1","1e+99","NaN","0.3964352","0.3964352"
"1983-10-06","1446.2081822592","1446.2081822592","1446.20818","0","1","1","1e+99","NaN","4.0068272","4.0068272"
"1983-10-07","3411.4096198656","3411.4096198656","3411.40962","0","1","1","1e+99","NaN","7.01312746666667","7.01312746666667"
"1983-10-08","1371.6458569728","1371.6458569728","1371.64586","0","1","1","1e+99","NaN","2.7184128","2.7184128"
"1983-10-09","601.7587310592","601.7587310592","601.75873","0","1","1","1e+99","NaN","1.2459392","1.2459392"
"1983-10-10","421.2017528832","421.2017528832","421.20175","0","1","1","1e+99","NaN","0.9061376","0.9061376"
"1983-10-11","284.7319934976","284.7319934976","284.73199","0","1","1","1e+99","NaN","0.6229696","0.6229696"
"1983-10-12","198.3924845568","198.3924845568","198.39248","0","1","1","1e+99","NaN","0.4813856","0.4813856"
"1983-10-13","1170.439815168","1170.439815168","1170.43982","0","1","1","1e+99","NaN","3.256432","3.256432"
"1983-10-14","5215.2097148928","5215.2097148928","5215.20971","0","1","1","1e+99","NaN","9.1180096","9.1180096"
"1983-10-15","4960.9864682496","4960.9864682496","4960.98647","0","1","1","1e+99","NaN","7.2774176","7.2774176"
"1983-10-16","1249.1704866816","1249.1704866816","1249.17049","0","1","1","1e+99","NaN","2.7750464","2.7750464"
"1983-10-17","901.7817965568","901.7817965568","901.7818","0","1","1","1e+99","NaN","1.6423744","1.6423744"
"1983-10-18","505.7552646144","505.7552646144","505.75526","0","1","1","1e+99","NaN","1.0760384","1.0760384"
"1983-10-19","341.9817670656","341.9817670656","341.98177","0","1","1","1e+99","NaN","0.8211872","0.8211872"
"1983-10-20","255.66672384","255.66672384","255.66672","0","1","1","1e+99","NaN","0.70792","0.70792"
"1983-10-21","222.5401454592","222.5401454592","222.54015","0","1","1","1e+99","NaN","0.6796032","0.6796032"
"1983-10-22","221.7083111424","221.7083111424","221.70831","0","1","1","1e+99","NaN","0.6512864","0.6512864"
"1983-10-23","3969.5622912","3969.5622912","3969.56229","0","1","1","1e+99","NaN","7.0792","7.0792"
"1983-10-24","7650.4780744704","7650.4780744704","7650.47807","0","1","1","1e+99","NaN","10.4913744","10.4913744"
"1983-10-25","4941.5362246656","4941.5362246656","4941.53622","0","1","1","1e+99","NaN","6.4845472","6.4845472"
"1983-10-26","2250.4054155264","2250.4054155264","2250.40542","0","1","1","1e+99","NaN","3.1997984","3.1997984"
"1983-10-27","1305.2948373504","1305.2948373504","1305.29484","0","1","1","1e+99","NaN","2.0388096","2.0388096"
"1983-10-28","780.4318491648","780.4318491648","780.43185","0","1","1","1e+99","NaN","1.3875232","1.3875232"
"1983-10-29","498.7825357824","498.7825357824","498.78254","0","1","1","1e+99","NaN","1.0477216","1.0477216"
"1983-10-30","397.4210777088","397.4210777088","397.42108","0","1","1","1e+99","NaN","0.8778208","0.8778208"
"1983-10-31","287.4232221696","287.4232221696","287.42322","0","1","1","1e+99","NaN","0.6796032","0.6796032"
"1983-11-01","226.063208448","226.063208448","226.06321","0","1","1","1e+99","NaN","0.5946528","0.5946528"
"1983-11-02","245.88043776","245.88043776","245.88044","0","1","1","1e+99","NaN","0.70792","0.70792"
"1983-11-03","2791.8806243328","2791.8806243328","2791.88062","0","1","1","1e+99","NaN","6.9942496","6.9942496"
"1983-11-04","5437.077053184","5437.077053184","5437.07705","0","1","1","1e+99","NaN","10.5763248","10.5763248"
"1983-11-05","3408.4166473728","3408.4166473728","3408.41665","0","1","1","1e+99","NaN","6.0597952","6.0597952"
"1983-11-06","1552.2028351488","1552.2028351488","1552.20284","0","1","1","1e+99","NaN","2.8883136","2.8883136"
"1983-11-07","930.30882048","930.30882048","930.30882","0","1","1","1e+99","NaN","1.840592","1.840592"
"1983-11-08","650.0785185792","650.0785185792","650.07852","0","1","1","1e+99","NaN","1.4441568","1.4441568"
"1983-11-09","489.1185782784","489.1185782784","489.11858","0","1","1","1e+99","NaN","1.1893056","1.1893056"
"1983-11-10","387.047614464","387.047614464","387.04761","0","1","1","1e+99","NaN","0.991088","0.991088"
"1983-11-11","7184.250230976","7184.250230976","7184.25023","0","1","1","1e+99","NaN","24.3666064","24.3666064"
"1983-11-12","14720.531521536","14720.531521536","14720.53152","0","1","1","1e+99","NaN","37.0383744","37.0383744"
"1983-11-13","14011.606841472","14011.606841472","14011.60684","0","1","1","1e+99","NaN","27.1416528","27.1416528"
"1983-11-14","6638.6739566592","6638.6739566592","6638.67396","0","1","1","1e+99","NaN","11.9496896","11.9496896"
"1983-11-15","3525.4606288896","3525.4606288896","3525.46063","0","1","1","1e+99","NaN","6.1730624","6.1730624"
"1983-11-16","6149.946829824","6149.946829824","6149.94683","0","1","1","1e+99","NaN","13.379688","13.379688"
"1983-11-17","10415.3485492224","10415.3485492224","10415.34855","0","1","1","1e+99","NaN","20.5013632","20.5013632"
"1983-11-18","6821.7509035008","6821.7509035008","6821.7509","0","1","1","1e+99","NaN","12.7142432","12.7142432"
"1983-11-19","4523.6618090496","4523.6618090496","4523.66181","0","1","1","1e+99","NaN","9.3162272","9.3162272"
"1983-11-20","4842.6458038272","4842.6458038272","4842.6458","0","1","1","1e+99","NaN","10.0807808","10.0807808"
"1983-11-21","4568.36067072","4568.36067072","4568.36067","0","1","1","1e+99","NaN","9.91088","9.91088"
"1983-11-22","3449.0786660352","3449.0786660352","3449.07867","0","1","1","1e+99","NaN","7.4756352","7.4756352"
"1983-11-23","2745.1266425856","2745.1266425856","2745.12664","0","1","1","1e+99","NaN","6.6261312","6.6261312"
"1983-11-24","4326.0552855936","4326.0552855936","4326.05529","0","1","1","1e+99","NaN","13.5141928","13.5141928"
"1983-11-25","3941.6469101568","3941.6469101568","3941.64691","0","1","1","1e+99","NaN","9.9391968","9.9391968"
"1983-11-26","2121.1041106944","2121.1041106944","2121.10411","0","1","1","1e+99","NaN","4.8421728","4.8421728"
"1983-11-27","1378.3249972224","1378.3249972224","1378.325","0","1","1","1e+99","NaN","2.9874224","2.9874224"
"1983-11-28","5589.7471936512","5589.7471936512","5589.74719","0","1","1","1e+99","NaN","22.0304704","22.0304704"
"1983-11-29","7939.1001166848","7939.1001166848","7939.10012","0","1","1","1e+99","NaN","29.9308576","29.9308576"
"1983-11-30","5831.892532224","5831.892532224","5831.89253","0","1","1","1e+99","NaN","17.131664","17.131664"
"1983-12-01","2804.6517276672","2804.6517276672","2804.65173","0","1","1","1e+99","NaN","6.9659328","6.9659328"
"1983-12-02","1776.8959635456","1776.8959635456","1776.89596","0","1","1","1e+99","NaN","3.7944512","3.7944512"
"1983-12-03","1253.6966439936","1253.6966439936","1253.69664","0","1","1","1e+99","NaN","2.6334624","2.6334624"
"1983-12-04","4175.318956032","4175.318956032","4175.31896","0","1","1","1e+99","NaN","15.007904","15.007904"
"1983-12-05","6425.247290112","6425.247290112","6425.24729","0","1","1","1e+99","NaN","24.706408","24.706408"
"1983-12-06","11272.6272098304","11272.6272098304","11272.62721","0","1","1","1e+99","NaN","39.4169856","39.4169856"
"1983-12-07","10193.395580928","10193.395580928","10193.39558","0","1","1","1e+99","NaN","31.714816","31.714816"
