"Date","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
"2000-10-01","942.216773382144","942.216773382144","942.21677","0","1","1","1e+99","NaN","1.075472064","1.075472064"
"2000-10-02","654.822359592192","654.822359592192","654.82236","0","1","1","1e+99","NaN","0.8351473824","0.8351473824"
"2000-10-03","533.046182742835","533.046182742835","533.04618","0","1","1","1e+99","NaN","0.6772245888","0.6772245888"
"2000-10-04","435.81639678935","435.81639678935","435.8164","0","1","1","1e+99","NaN","0.5990702208","0.5990702208"
"2000-10-05","1270.46923737754","1270.46923737754","1270.46924","0","1","1","1e+99","NaN","1.780206424","1.780206424"
"2000-10-06","7440.8286425088","7440.8286425088","7440.82864","0","1","1","1e+99","NaN","9.22721805866667","9.22721805866667"
"2000-10-07","6587.13729457613","6587.13729457613","6587.13729","0","1","1","1e+99","NaN","7.507633184","7.507633184"
"2000-10-08","3231.51191116186","3231.51191116186","3231.51191","0","1","1","1e+99","NaN","3.472772352","3.472772352"
"2000-10-09","2165.0440458793","2165.0440458793","2165.04405","0","1","1","1e+99","NaN","2.3528995456","2.3528995456"
"2000-10-10","1588.97774098022","1588.97774098022","1588.97774","0","1","1","1e+99","NaN","1.593669504","1.593669504"
"2000-10-11","1207.55807284654","1207.55807284654","1207.55807","0","1","1","1e+99","NaN","1.2602675008","1.2602675008"
"2000-10-12","908.376285431808","908.376285431808","908.37629","0","1","1","1e+99","NaN","0.992787008","0.992787008"
"2000-10-13","751.944949014528","751.944949014528","751.94495","0","1","1","1e+99","NaN","0.8532418176","0.8532418176"
"2000-10-14","606.725613764813","606.725613764813","606.72561","0","1","1","1e+99","NaN","0.7446752064","0.7446752064"
"2000-10-15","524.995983813427","524.995983813427","524.99598","0","1","1","1e+99","NaN","0.6928554624","0.6928554624"
"2000-10-16","476.374485093581","476.374485093581","476.37449","0","1","1","1e+99","NaN","0.6381474048","0.6381474048"
"2000-10-17","446.48951611392","446.48951611392","446.48952","0","1","1","1e+99","NaN","0.6459628416","0.6459628416"
"2000-10-18","415.793361881088","415.793361881088","415.79336","0","1","1","1e+99","NaN","0.6459628416","0.6459628416"
"2000-10-19","345.754576075162","345.754576075162","345.75458","0","1","1","1e+99","NaN","0.5990702208","0.5990702208"
"2000-10-20","302.691883574477","302.691883574477","302.69188","0","1","1","1e+99","NaN","0.5678084736","0.5678084736"
"2000-10-21","253.79265005568","253.79265005568","253.79265","0","1","1","1e+99","NaN","0.519896448","0.519896448"
"2000-10-22","191.983445803008","191.983445803008","191.98345","0","1","1","1e+99","NaN","0.455334144","0.455334144"
"2000-10-23","149.131256315904","149.131256315904","149.13126","0","1","1","1e+99","NaN","0.423052992","0.423052992"
"2000-10-24","137.069169408","137.069169408","137.06917","0","1","1","1e+99","NaN","0.423052992","0.423052992"
"2000-10-25","155.003027963904","155.003027963904","155.00303","0","1","1","1e+99","NaN","0.455334144","0.455334144"
"2000-10-26","301.134689733427","301.134689733427","301.13469","0","1","1","1e+99","NaN","0.6147010944","0.6147010944"
"2000-10-27","270.124982894592","270.124982894592","270.12498","0","1","1","1e+99","NaN","0.630331968","0.630331968"
"2000-10-28","228.260131810099","228.260131810099","228.26013","0","1","1","1e+99","NaN","0.5990702208","0.5990702208"
"2000-10-29","236.462703213773","236.462703213773","236.4627","0","1","1","1e+99","NaN","0.5678084736","0.5678084736"
"2000-10-30","203.932501106688","203.932501106688","203.9325","0","1","1","1e+99","NaN","0.519896448","0.519896448"
"2000-10-31","159.734941940736","159.734941940736","159.73494","0","1","1","1e+99","NaN","0.503755872","0.503755872"
