"Date","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
"1998-10-01","6.9884964961321","6.9884964961321","6.9885","0","1","1","1e+99","NaN","0.19350568448","0.19350568448"
"1998-10-02","9.48797072142336","9.48797072142336","9.48797","0","1","1","1e+99","NaN","0.19350568448","0.19350568448"
"1998-10-03","19.6912798101504","19.6912798101504","19.69128","0","1","1","1e+99","NaN","0.268443264","0.268443264"
"1998-10-04","9.2224831659135","9.2224831659135","9.22248","0","1","1","1e+99","NaN","0.22677226112","0.22677226112"
"1998-10-05","9.23002912645263","9.23002912645263","9.23003","0","1","1","1e+99","NaN","0.20459454336","0.20459454336"
"1998-10-06","11.2386155597365","11.2386155597365","11.23862","0","1","1","1e+99","NaN","0.22677226112","0.22677226112"
"1998-10-07","29.5229889369907","29.5229889369907","29.52299","0","1","1","1e+99","NaN","0.283734336","0.283734336"
"1998-10-08","15.9897736809677","15.9897736809677","15.98977","0","1","1","1e+99","NaN","0.299025408","0.299025408"
"1998-10-09","11.5311025977754","11.5311025977754","11.5311","0","1","1","1e+99","NaN","0.253152192","0.253152192"
"1998-10-10","14.6308108507546","14.6308108507546","14.63081","0","1","1","1e+99","NaN","0.299025408","0.299025408"
"1998-10-11","13.5786627685786","13.5786627685786","13.57866","0","1","1","1e+99","NaN","0.283734336","0.283734336"
"1998-10-12","11.013425190144","11.013425190144","11.01343","0","1","1","1e+99","NaN","0.2760888","0.2760888"
"1998-10-13","7.593668683776","7.593668683776","7.59367","0","1","1","1e+99","NaN","0.23786112","0.23786112"
"1998-10-14","11.46241676602","11.46241676602","11.46242","0","1","1","1e+99","NaN","0.21568340224","0.21568340224"
"1998-10-15","9.37586411695964","9.37586411695964","9.37586","0","1","1","1e+99","NaN","0.20459454336","0.20459454336"
"1998-10-16","10.1589538235609","10.1589538235609","10.15895","0","1","1","1e+99","NaN","0.20459454336","0.20459454336"
"1998-10-17","10.0112720140763","10.0112720140763","10.01127","0","1","1","1e+99","NaN","0.19350568448","0.19350568448"
"1998-10-18","9.99455801608028","9.99455801608028","9.99456","0","1","1","1e+99","NaN","0.20459454336","0.20459454336"
"1998-10-19","11.1199777836687","11.1199777836687","11.11998","0","1","1","1e+99","NaN","0.23231669056","0.23231669056"
"1998-10-20","10.8642317909115","10.8642317909115","10.86423","0","1","1","1e+99","NaN","0.21568340224","0.21568340224"
"1998-10-21","9.82998674049024","9.82998674049024","9.82999","0","1","1","1e+99","NaN","0.21568340224","0.21568340224"
"1998-10-22","16.0046879809536","16.0046879809536","16.00469","0","1","1","1e+99","NaN","0.329607552","0.329607552"
"1998-10-23","15.1247149229261","15.1247149229261","15.12471","0","1","1","1e+99","NaN","0.329607552","0.329607552"
"1998-10-24","15.197612967936","15.197612967936","15.19761","0","1","1","1e+99","NaN","0.344898624","0.344898624"
"1998-10-25","14.9680854142157","14.9680854142157","14.96809","0","1","1","1e+99","NaN","0.329607552","0.329607552"
"1998-10-26","15.214677804288","15.214677804288","15.21468","0","1","1","1e+99","NaN","0.31431648","0.31431648"
"1998-10-27","22.0813110623232","22.0813110623232","22.08131","0","1","1","1e+99","NaN","0.31431648","0.31431648"
"1998-10-28","16.0932049385472","16.0932049385472","16.0932","0","1","1","1e+99","NaN","0.31431648","0.31431648"
"1998-10-29","21.6821039874048","21.6821039874048","21.6821","0","1","1","1e+99","NaN","0.31431648","0.31431648"
"1998-10-30","28.6712737800192","28.6712737800192","28.67127","0","1","1","1e+99","NaN","0.39077184","0.39077184"
"1998-10-31","20.3682950811648","20.3682950811648","20.3683","0","1","1","1e+99","NaN","0.360189696","0.360189696"
"1998-11-01","17.6292310428058","17.6292310428058","17.62923","0","1","1","1e+99","NaN","0.344898624","0.344898624"
"1998-11-02","19.7534582020454","19.7534582020454","19.75346","0","1","1","1e+99","NaN","0.367835232","0.367835232"
"1998-11-03","16.2661873312973","16.2661873312973","16.26619","0","1","1","1e+99","NaN","0.375480768","0.375480768"
"1998-11-04","16.3537794848563","16.3537794848563","16.35378","0","1","1","1e+99","NaN","0.375480768","0.375480768"
"1998-11-05","13.5280334175437","13.5280334175437","13.52803","0","1","1","1e+99","NaN","0.360189696","0.360189696"
"1998-11-06","14.7644230146048","14.7644230146048","14.76442","0","1","1","1e+99","NaN","0.39077184","0.39077184"
"1998-11-07","16.37490318336","16.37490318336","16.3749","0","1","1","1e+99","NaN","0.39077184","0.39077184"
"1998-11-08","16.1794906229146","16.1794906229146","16.17949","0","1","1","1e+99","NaN","0.360189696","0.360189696"
"1998-11-09","14.026745002752","14.026745002752","14.02675","0","1","1","1e+99","NaN","0.35254416","0.35254416"
"1998-11-10","39.3444591620198","39.3444591620198","39.34446","0","1","1","1e+99","NaN","0.406912416","0.406912416"
"1998-11-11","28.3228898246001","28.3228898246001","28.32289","0","1","1","1e+99","NaN","0.5990702208","0.5990702208"
"1998-11-12","17.4087460174234","17.4087460174234","17.40875","0","1","1","1e+99","NaN","0.360189696","0.360189696"
"1998-11-13","28.6741832428708","28.6741832428708","28.67418","0","1","1","1e+99","NaN","0.6147010944","0.6147010944"
"1998-11-14","30.6676027431936","30.6676027431936","30.6676","0","1","1","1e+99","NaN","0.5990702208","0.5990702208"
"1998-11-15","26.5561441969766","26.5561441969766","26.55614","0","1","1","1e+99","NaN","0.519896448","0.519896448"
"1998-11-16","21.4524369791078","21.4524369791078","21.45244","0","1","1","1e+99","NaN","0.463404432","0.463404432"
"1998-11-17","19.5931258073395","19.5931258073395","19.59313","0","1","1","1e+99","NaN","0.406912416","0.406912416"
"1998-11-18","15.2303187360154","15.2303187360154","15.23032","0","1","1","1e+99","NaN","0.360189696","0.360189696"
"1998-11-19","14.9390348239872","14.9390348239872","14.93903","0","1","1","1e+99","NaN","0.31431648","0.31431648"
"1998-11-20","15.081395927593","15.081395927593","15.0814","0","1","1","1e+99","NaN","0.344898624","0.344898624"
"1998-11-21","12.387970234368","12.387970234368","12.38797","0","1","1","1e+99","NaN","0.329607552","0.329607552"
"1998-11-22","12.9101468870246","12.9101468870246","12.91015","0","1","1","1e+99","NaN","0.299025408","0.299025408"
"1998-11-23","12.8809017943603","12.8809017943603","12.8809","0","1","1","1e+99","NaN","0.291379872","0.291379872"
"1998-11-24","11.9144999275315","11.9144999275315","11.9145","0","1","1","1e+99","NaN","0.268443264","0.268443264"
"1998-11-25","10.0481573092147","10.0481573092147","10.04816","0","1","1","1e+99","NaN","0.253152192","0.253152192"
"1998-11-26","14.678328162816","14.678328162816","14.67833","0","1","1","1e+99","NaN","0.31431648","0.31431648"
"1998-11-27","11.2080964394189","11.2080964394189","11.2081","0","1","1","1e+99","NaN","0.283734336","0.283734336"
"1998-11-28","12.1666191226675","12.1666191226675","12.16662","0","1","1","1e+99","NaN","0.283734336","0.283734336"
"1998-11-29","15.3724743276134","15.3724743276134","15.37247","0","1","1","1e+99","NaN","0.329607552","0.329607552"
"1998-11-30","13.5999846393754","13.5999846393754","13.59998","0","1","1","1e+99","NaN","0.321962016","0.321962016"
"1998-12-01","13.9200916104806","13.9200916104806","13.92009","0","1","1","1e+99","NaN","0.329607552","0.329607552"
"1998-12-02","13.9435786970726","13.9435786970726","13.94358","0","1","1","1e+99","NaN","0.299025408","0.299025408"
