"Date","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
"2009-10-01","1.36791722119573","1.36791722119573","1.36792","0","1","1","1e+99","NaN","0.202109182569832","0.202109182569832"
"2009-10-02","1.38708283369881","1.38708283369881","1.38708","0","1","1","1e+99","NaN","0.205375897206704","0.205375897206704"
"2009-10-03","1.4061547852958","1.4061547852958","1.40615","0","1","1","1e+99","NaN","0.208642611843575","0.208642611843575"
"2009-10-04","1.4251330759867","1.4251330759867","1.42513","0","1","1","1e+99","NaN","0.211909326480447","0.211909326480447"
"2009-10-05","1.4440177057715","1.4440177057715","1.44402","0","1","1","1e+99","NaN","0.215176041117318","0.215176041117318"
"2009-10-06","1.46280867465021","1.46280867465021","1.46281","0","1","1","1e+99","NaN","0.21844275575419","0.21844275575419"
"2009-10-07","1.48150598262282","1.48150598262282","1.48151","0","1","1","1e+99","NaN","0.221709470391061","0.221709470391061"
"2009-10-08","1.50010962968934","1.50010962968934","1.50011","0","1","1","1e+99","NaN","0.224976185027933","0.224976185027933"
"2009-10-09","1.51861961584977","1.51861961584977","1.51862","0","1","1","1e+99","NaN","0.228242899664804","0.228242899664804"
"2009-10-10","1.5370359411041","1.5370359411041","1.53704","0","1","1","1e+99","NaN","0.231509614301676","0.231509614301676"
"2009-10-11","1.55535860545234","1.55535860545234","1.55536","0","1","1","1e+99","NaN","0.234776328938547","0.234776328938547"
"2009-10-12","1.57358760889449","1.57358760889449","1.57359","0","1","1","1e+99","NaN","0.238043043575419","0.238043043575419"
"2009-10-13","1.59172295143054","1.59172295143054","1.59172","0","1","1","1e+99","NaN","0.24130975821229","0.24130975821229"
"2009-10-14","1.6097646330605","1.6097646330605","1.60976","0","1","1","1e+99","NaN","0.244576472849162","0.244576472849162"
"2009-10-15","1.62771265378436","1.62771265378436","1.62771","0","1","1","1e+99","NaN","0.247843187486033","0.247843187486033"
"2009-10-16","1.64556701360214","1.64556701360214","1.64557","0","1","1","1e+99","NaN","0.251109902122905","0.251109902122905"
"2009-10-17","1.66332771251381","1.66332771251381","1.66333","0","1","1","1e+99","NaN","0.254376616759777","0.254376616759777"
"2009-10-18","1.6809947505194","1.6809947505194","1.68099","0","1","1","1e+99","NaN","0.257643331396648","0.257643331396648"
"2009-10-19","1.69856812761889","1.69856812761889","1.69857","0","1","1","1e+99","NaN","0.26091004603352","0.26091004603352"
"2009-10-20","1.71604784381229","1.71604784381229","1.71605","0","1","1","1e+99","NaN","0.264176760670391","0.264176760670391"
"2009-10-21","1.73343389909959","1.73343389909959","1.73343","0","1","1","1e+99","NaN","0.267443475307263","0.267443475307263"
"2009-10-22","1.7507262934808","1.7507262934808","1.75073","0","1","1","1e+99","NaN","0.270710189944134","0.270710189944134"
"2009-10-23","1.76792502695591","1.76792502695591","1.76793","0","1","1","1e+99","NaN","0.273976904581006","0.273976904581006"
"2009-10-24","1.78503009952494","1.78503009952494","1.78503","0","1","1","1e+99","NaN","0.277243619217877","0.277243619217877"
"2009-10-25","1.80204151118786","1.80204151118786","1.80204","0","1","1","1e+99","NaN","0.280510333854749","0.280510333854749"
"2009-10-26","1.8189592619447","1.8189592619447","1.81896","0","1","1","1e+99","NaN","0.28377704849162","0.28377704849162"
"2009-10-27","1.83578335179544","1.83578335179544","1.83578","0","1","1","1e+99","NaN","0.287043763128492","0.287043763128492"
"2009-10-28","1.85251378074009","1.85251378074009","1.85251","0","1","1","1e+99","NaN","0.290310477765363","0.290310477765363"
"2009-10-29","1.86915054877864","1.86915054877864","1.86915","0","1","1","1e+99","NaN","0.293577192402235","0.293577192402235"
"2009-10-30","1.8856936559111","1.8856936559111","1.88569","0","1","1","1e+99","NaN","0.296843907039106","0.296843907039106"
"2009-10-31","1.90214310213747","1.90214310213747","1.90214","0","1","1","1e+99","NaN","0.300110621675978","0.300110621675978"
