"strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1,9908.94717613714,9908.94717613714,277450.5,27,28,28,361631342.418957,7509.18206821714,7.12150664761905,7.12150664761905
2,1,9795.01033162473,9795.01033162473,215490.2,21,22,22,618279.186099316,7850.33241183361,7.29886972121212,7.29886972121212
2,2,10326.715606016,10326.715606016,61960.3,5,6,6,72880.0821085651,1862.09618023378,6.47117537777778,6.47117537777778
3,1,8049.62591660463,8049.62591660463,152942.9,18,19,19,364105.908530766,5677.29091451739,5.21625263157895,5.21625263157895
3,2,20849.111626752,20849.111626752,62547.3,2,3,3,1962188.22009854,12785.3577380434,20.4887779555556,20.4887779555556
3,3,10326.715606016,10326.715606016,61960.3,5,6,6,72880.0821085651,1862.09618023378,6.47117537777778,6.47117537777778
4,1,15179.34523392,15179.34523392,45538,2,3,3,1668438.46937852,11789.5614270126,12.4121973333333,12.4121973333333
4,2,5821.6413975552,5821.6413975552,87324.6,14,15,15,71064.8094977292,2292.12683006659,3.13372586666667,3.13372586666667
4,3,20656.892657664,20656.892657664,82627.6,3,4,4,3223940.54541518,13196.354112453,19.0831634666667,19.0831634666667
4,4,10326.715606016,10326.715606016,61960.3,5,6,6,72880.0821085651,1862.09618023378,6.47117537777778,6.47117537777778
5,1,15179.34523392,15179.34523392,45538,2,3,3,1668438.46937852,11789.5614270126,12.4121973333333,12.4121973333333
5,2,5350.62368456862,5350.62368456862,69558.1,12,13,13,45861.0164662006,1751.03364676701,2.83603643076923,2.83603643076923
5,3,12615.582938112,12615.582938112,37846.7,2,3,3,2574350.44993729,14644.561965984,8.33457813333333,8.33457813333333
5,4,20849.111626752,20849.111626752,62547.3,2,3,3,1962188.22009854,12785.3577380434,20.4887779555556,20.4887779555556
5,5,10326.715606016,10326.715606016,61960.3,5,6,6,72880.0821085651,1862.09618023378,6.47117537777778,6.47117537777778
6,1,15179.34523392,15179.34523392,45538,2,3,3,1668438.46937852,11789.5614270126,12.4121973333333,12.4121973333333
6,2,8809.940938752,8809.940938752,26429.8,2,3,3,111112.279214097,3042.45091470255,5.238608,5.238608
6,3,4312.8285083136,4312.8285083136,43128.3,9,10,10,10264.9711219995,763.977178220435,2.11526496,2.11526496
6,4,12615.582938112,12615.582938112,37846.7,2,3,3,2574350.44993729,14644.561965984,8.33457813333333,8.33457813333333
6,5,20849.111626752,20849.111626752,62547.3,2,3,3,1962188.22009854,12785.3577380434,20.4887779555556,20.4887779555556
6,6,10326.715606016,10326.715606016,61960.3,5,6,6,72880.0821085651,1862.09618023378,6.47117537777778,6.47117537777778
7,1,15179.34523392,15179.34523392,45538,2,3,3,1668438.46937852,11789.5614270126,12.4121973333333,12.4121973333333
7,2,8809.940938752,8809.940938752,26429.8,2,3,3,111112.279214097,3042.45091470255,5.238608,5.238608
7,3,5156.81354781257,5156.81354781257,36097.7,6,7,7,5014.20737577624,495.155816391419,2.6051456,2.6051456
7,4,2343.530082816,2343.530082816,7030.6,2,3,3,7846.80102535541,808.516471953412,0.972210133333333,0.972210133333333
7,5,12615.582938112,12615.582938112,37846.7,2,3,3,2574350.44993729,14644.561965984,8.33457813333333,8.33457813333333
7,6,20849.111626752,20849.111626752,62547.3,2,3,3,1962188.22009854,12785.3577380434,20.4887779555556,20.4887779555556
7,7,10326.715606016,10326.715606016,61960.3,5,6,6,72880.0821085651,1862.09618023378,6.47117537777778,6.47117537777778
8,1,15179.34523392,15179.34523392,45538,2,3,3,1668438.46937852,11789.5614270126,12.4121973333333,12.4121973333333
8,2,8809.940938752,8809.940938752,26429.8,2,3,3,111112.279214097,3042.45091470255,5.238608,5.238608
8,3,6566.536795392,6566.536795392,26266.1,3,4,4,9499.4442230828,716.324074622663,3.3696992,3.3696992
8,4,3277.18255104,3277.18255104,9831.5,2,3,3,434.167835388701,190.182860532853,1.5857408,1.5857408
8,5,2343.530082816,2343.530082816,7030.6,2,3,3,7846.80102535541,808.516471953412,0.972210133333333,0.972210133333333
8,6,12615.582938112,12615.582938112,37846.7,2,3,3,2574350.44993729,14644.561965984,8.33457813333333,8.33457813333333
8,7,20849.111626752,20849.111626752,62547.3,2,3,3,1962188.22009854,12785.3577380434,20.4887779555556,20.4887779555556
8,8,10326.715606016,10326.715606016,61960.3,5,6,6,72880.0821085651,1862.09618023378,6.47117537777778,6.47117537777778
