"strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1,1291.20325403706,1291.20325403706,40027.3,30,31,31,37053434.7375977,2269.69389110784,1.10975975053763,1.10975975053763
2,1,6964.5100507008,6964.5100507008,34822.6,4,5,5,493264.6594814,4874.93804176153,4.93514629333333,4.93514629333333
2,2,200.182716217108,200.182716217108,5204.8,25,26,26,1531.31375388443,419.08813090217,0.374108492307692,0.374108492307692
3,1,8053.84797384,8053.84797384,32215.4,3,4,4,736165.312689743,6305.91516710337,5.61321566666667,5.61321566666667
3,2,1449.24957648,1449.24957648,5797,3,4,4,26130.8127059368,1188.05598762889,1.4830924,1.4830924
3,3,87.6048119073391,87.6048119073391,2014.9,22,23,23,156.616238201289,127.267367675169,0.261622608695652,0.261622608695652
4,1,8053.84797384,8053.84797384,32215.4,3,4,4,736165.312689743,6305.91516710337,5.61321566666667,5.61321566666667
4,2,1742.968132992,1742.968132992,5228.9,2,3,3,37077.7582706447,1757.51599636244,1.72260533333333,1.72260533333333
4,3,301.54483298304,301.54483298304,1507.7,4,5,5,747.945018363435,189.829601842963,0.48704896,0.48704896
4,4,56.5937060998737,56.5937060998737,1075.3,18,19,19,31.7990853443481,53.0560116279029,0.228769936842105,0.228769936842105
5,1,8053.84797384,8053.84797384,32215.4,3,4,4,736165.312689743,6305.91516710337,5.61321566666667,5.61321566666667
5,2,1742.968132992,1742.968132992,5228.9,2,3,3,37077.7582706447,1757.51599636244,1.72260533333333,1.72260533333333
5,3,394.1263613952,394.1263613952,1182.4,2,3,3,1104.82996279942,303.382324127846,0.5946528,0.5946528
5,4,126.640658304,126.640658304,506.6,3,4,4,74.9735575255943,63.637704882534,0.2760888,0.2760888
5,5,52.5919331418353,52.5919331418353,894.1,16,17,17,26.0975682680245,46.0262308821343,0.229032941176471,0.229032941176471
6,1,8053.84797384,8053.84797384,32215.4,3,4,4,736165.312689743,6305.91516710337,5.61321566666667,5.61321566666667
6,2,1742.968132992,1742.968132992,5228.9,2,3,3,37077.7582706447,1757.51599636244,1.72260533333333,1.72260533333333
6,3,394.1263613952,394.1263613952,1182.4,2,3,3,1104.82996279942,303.382324127846,0.5946528,0.5946528
6,4,126.640658304,126.640658304,506.6,3,4,4,74.9735575255943,63.637704882534,0.2760888,0.2760888
6,5,54.1670934528,54.1670934528,270.8,4,5,5,31.6880935582992,39.073035836901,0.1982176,0.1982176
6,6,51.9356163456,51.9356163456,623.2,11,12,12,38.9956491066527,49.7290422146323,0.241872666666667,0.241872666666667
7,1,8053.84797384,8053.84797384,32215.4,3,4,4,736165.312689743,6305.91516710337,5.61321566666667,5.61321566666667
7,2,1742.968132992,1742.968132992,5228.9,2,3,3,37077.7582706447,1757.51599636244,1.72260533333333,1.72260533333333
7,3,394.1263613952,394.1263613952,1182.4,2,3,3,1104.82996279942,303.382324127846,0.5946528,0.5946528
7,4,144.1927701504,144.1927701504,432.6,2,3,3,73.3619744413584,78.1768302877871,0.302045866666667,0.302045866666667
7,5,57.4699650048,57.4699650048,344.8,5,6,6,25.5407403060232,34.858959777582,0.1982176,0.1982176
7,6,57.9919002624,57.9919002624,174,2,3,3,307.979196656566,160.178138808751,0.3398016,0.3398016
7,7,49.91685504,49.91685504,449.3,8,9,9,15.8139337532353,29.1794804764081,0.209229688888889,0.209229688888889
8,1,8053.84797384,8053.84797384,32215.4,3,4,4,736165.312689743,6305.91516710337,5.61321566666667,5.61321566666667
8,2,1742.968132992,1742.968132992,5228.9,2,3,3,37077.7582706447,1757.51599636244,1.72260533333333,1.72260533333333
8,3,394.1263613952,394.1263613952,1182.4,2,3,3,1104.82996279942,303.382324127846,0.5946528,0.5946528
8,4,144.1927701504,144.1927701504,432.6,2,3,3,73.3619744413584,78.1768302877871,0.302045866666667,0.302045866666667
8,5,57.4699650048,57.4699650048,344.8,5,6,6,25.5407403060232,34.858959777582,0.1982176,0.1982176
8,6,57.9919002624,57.9919002624,174,2,3,3,307.979196656566,160.178138808751,0.3398016,0.3398016
8,7,73.20875959296,73.20875959296,366,4,5,5,49.6959926516093,48.9316414530481,0.31431648,0.31431648
8,8,20.8019743488,20.8019743488,83.2,3,4,4,1.05794800659062,7.55949198956262,0.0778712,0.0778712
9,1,8053.84797384,8053.84797384,32215.4,3,4,4,736165.312689743,6305.91516710337,5.61321566666667,5.61321566666667
9,2,1742.968132992,1742.968132992,5228.9,2,3,3,37077.7582706447,1757.51599636244,1.72260533333333,1.72260533333333
9,3,394.1263613952,394.1263613952,1182.4,2,3,3,1104.82996279942,303.382324127846,0.5946528,0.5946528
9,4,144.1927701504,144.1927701504,432.6,2,3,3,73.3619744413584,78.1768302877871,0.302045866666667,0.302045866666667
9,5,53.6940896256,53.6940896256,161.1,2,3,3,21.6442007937575,42.4632596484568,0.160461866666667,0.160461866666667
9,6,61.245840384,61.245840384,183.7,2,3,3,153.498476304095,113.082287886482,0.235973333333333,0.235973333333333
9,7,57.9919002624,57.9919002624,174,2,3,3,307.979196656566,160.178138808751,0.3398016,0.3398016
9,8,73.20875959296,73.20875959296,366,4,5,5,49.6959926516093,48.9316414530481,0.31431648,0.31431648
9,9,20.8019743488,20.8019743488,83.2,3,4,4,1.05794800659062,7.55949198956262,0.0778712,0.0778712
