"strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1,20225.2985966124,20188.0562604054,625829.7,29,30,31,19674314778.6222,53271.2499709863,3.59218027844129,3.20200295726933
2,1,16118.310776532,16118.310776532,435194.4,26,27,27,6628434.64483163,28022.4614541174,2.38403502084741,2.38403502084741
2,2,39165.416902107,37579.4029085592,150317.6,2,3,4,221080710.496816,180949.219667273,11.7471607672,10.5637143850667
3,1,8489.4982036051,8489.4982036051,161300.5,18,19,19,154543.476259698,3698.72995057291,0.783634055983158,0.783634055983158
3,2,34236.7406372333,34236.7406372333,273893.9,7,8,8,17995952.9545877,30331.2655254567,6.1849873124,6.1849873124
3,3,39165.416902107,37579.4029085592,150317.6,2,3,4,221080710.496816,180949.219667273,11.7471607672,10.5637143850667
4,1,8489.4982036051,8489.4982036051,161300.5,18,19,19,154543.476259698,3698.72995057291,0.783634055983158,0.783634055983158
4,2,63703.7713355674,63703.7713355674,191111.3,2,3,3,12886592.0047999,32765.1070749149,13.288791072,13.288791072
4,3,16556.5222182328,16556.5222182328,82782.6,4,5,5,1982265.80055801,9772.59821949256,1.92270505664,1.92270505664
4,4,39165.416902107,37579.4029085592,150317.6,2,3,4,221080710.496816,180949.219667273,11.7471607672,10.5637143850667
5,1,12483.5406576538,12483.5406576538,37450.6,2,3,3,16014.1516267145,1155.03333990282,1.27263250346667,1.27263250346667
5,2,7740.61524347098,7740.61524347098,123849.8,15,16,16,237492.443809447,4291.15604927858,0.69194684708,0.69194684708
5,3,63703.7713355674,63703.7713355674,191111.3,2,3,3,12886592.0047999,32765.1070749149,13.288791072,13.288791072
5,4,16556.5222182328,16556.5222182328,82782.6,4,5,5,1982265.80055801,9772.59821949256,1.92270505664,1.92270505664
5,5,39165.416902107,37579.4029085592,150317.6,2,3,4,221080710.496816,180949.219667273,11.7471607672,10.5637143850667
6,1,10972.2494264134,10972.2494264134,76805.7,6,7,7,58359.9306163325,1689.26631731942,1.07935955611429,1.07935955611429
6,2,5537.2648365312,5537.2648365312,49835.4,8,9,9,5881.74414825666,562.743726594991,0.432943735608889,0.432943735608889
6,3,11553.112118274,11553.112118274,34659.3,2,3,3,3892993.21165074,18008.783430097,1.14567885013333,1.14567885013333
6,4,63703.7713355674,63703.7713355674,191111.3,2,3,3,12886592.0047999,32765.1070749149,13.288791072,13.288791072
6,5,16556.5222182328,16556.5222182328,82782.6,4,5,5,1982265.80055801,9772.59821949256,1.92270505664,1.92270505664
6,6,39165.416902107,37579.4029085592,150317.6,2,3,4,221080710.496816,180949.219667273,11.7471607672,10.5637143850667
7,1,11962.8872893569,11962.8872893569,59814.4,4,5,5,14526.9005212667,836.595609656635,1.20624470976,1.20624470976
7,2,7059.00065246208,7059.00065246208,21177,2,3,3,10965.3703880991,955.77178360299,0.628161013333333,0.628161013333333
7,3,5706.211388688,5706.211388688,45649.7,7,8,8,6806.43147115853,589.878876662585,0.44203799056,0.44203799056
7,4,11553.112118274,11553.112118274,34659.3,2,3,3,3892993.21165074,18008.783430097,1.14567885013333,1.14567885013333
7,5,63703.7713355674,63703.7713355674,191111.3,2,3,3,12886592.0047999,32765.1070749149,13.288791072,13.288791072
7,6,16556.5222182328,16556.5222182328,82782.6,4,5,5,1982265.80055801,9772.59821949256,1.92270505664,1.92270505664
7,7,39165.416902107,37579.4029085592,150317.6,2,3,4,221080710.496816,180949.219667273,11.7471607672,10.5637143850667
8,1,11962.8872893569,11962.8872893569,59814.4,4,5,5,14526.9005212667,836.595609656635,1.20624470976,1.20624470976
8,2,7059.00065246208,7059.00065246208,21177,2,3,3,10965.3703880991,955.77178360299,0.628161013333333,0.628161013333333
8,3,7133.69524592904,7133.69524592904,35668.5,4,5,5,32663.2837861881,1254.4663665236,0.548832819584,0.548832819584
8,4,3327.0716266196,3327.0716266196,9981.2,2,3,3,2394.96821024635,446.675804970347,0.264046608853333,0.264046608853333
8,5,11553.112118274,11553.112118274,34659.3,2,3,3,3892993.21165074,18008.783430097,1.14567885013333,1.14567885013333
8,6,63703.7713355674,63703.7713355674,191111.3,2,3,3,12886592.0047999,32765.1070749149,13.288791072,13.288791072
8,7,16556.5222182328,16556.5222182328,82782.6,4,5,5,1982265.80055801,9772.59821949256,1.92270505664,1.92270505664
8,8,39165.416902107,37579.4029085592,150317.6,2,3,4,221080710.496816,180949.219667273,11.7471607672,10.5637143850667
9,1,13293.2262236475,13293.2262236475,53172.9,3,4,4,17009.536905941,958.532171484194,1.3463151768,1.3463151768
9,2,7877.613696768,7877.613696768,23632.8,2,3,3,60722.2727650108,2249.14037261601,0.723418728533333,0.723418728533333
9,3,10150.1094919818,10150.1094919818,30450.3,2,3,3,43758.4891733688,1909.2979735768,0.79921902656,0.79921902656
9,4,3134.61339099218,3134.61339099218,9403.8,2,3,3,2944.8516370191,495.306767638593,0.235565571413333,0.235565571413333
9,5,3327.0716266196,3327.0716266196,9981.2,2,3,3,2394.96821024635,446.675804970347,0.264046608853333,0.264046608853333
9,6,11553.112118274,11553.112118274,34659.3,2,3,3,3892993.21165074,18008.783430097,1.14567885013333,1.14567885013333
9,7,63703.7713355674,63703.7713355674,191111.3,2,3,3,12886592.0047999,32765.1070749149,13.288791072,13.288791072
9,8,16556.5222182328,16556.5222182328,82782.6,4,5,5,1982265.80055801,9772.59821949256,1.92270505664,1.92270505664
9,9,39165.416902107,37579.4029085592,150317.6,2,3,4,221080710.496816,180949.219667273,11.7471607672,10.5637143850667
