"strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1,10.0914688517221,10.1042322203352,313.2,23,24,31,1159.00642610867,14.6847859066128,5.46346775053763,6.21455437777778
2,1,7.10994295588943,7.13042205662781,178.3,17,18,25,0.472901111490273,8.79721507946974,4.87483150933333,5.64736625185185
2,2,21.2050923136,21.2050923136,127.2,5,6,6,1.04256133080209,7.04285081290545,7.91611875555555,7.91611875555555
3,1,6.57205420251429,6.57205420251429,92,13,14,14,1.04678540429587,8.58248506785577,4.94094449523809,4.94094449523809
3,2,8.29707348924231,8.1579957127359,89.7,3,4,11,0.436059758954012,13.3464618038938,4.79068770909091,8.1198424
3,3,21.2050923136,21.2050923136,127.2,5,6,6,1.04256133080209,7.04285081290545,7.91611875555555,7.91611875555555
4,1,7.73054818210909,7.73054818210909,85,10,11,11,0.681258743648613,6.39721550658504,5.00392179393939,5.00392179393939
4,2,2.324242944,2.324242944,7,2,3,3,2.61731170032357,14.7662519890417,4.71002773333333,4.71002773333333
4,3,8.29707348924231,8.1579957127359,89.7,3,4,11,0.436059758954012,13.3464618038938,4.79068770909091,8.1198424
4,4,21.2050923136,21.2050923136,127.2,5,6,6,1.04256133080209,7.04285081290545,7.91611875555555,7.91611875555555
5,1,1.20423745316571,1.20423745316571,8.4,6,7,7,0.0225373526642364,1.04976524302539,1.2600976,1.2600976
5,2,19.15159195776,19.15159195776,76.6,3,4,4,4.08469574108129,14.8538934786977,11.5556141333333,11.5556141333333
5,3,2.324242944,2.324242944,7,2,3,3,2.61731170032357,14.7662519890417,4.71002773333333,4.71002773333333
5,4,8.29707348924231,8.1579957127359,89.7,3,4,11,0.436059758954012,13.3464618038938,4.79068770909091,8.1198424
5,5,21.2050923136,21.2050923136,127.2,5,6,6,1.04256133080209,7.04285081290545,7.91611875555555,7.91611875555555
6,1,1.143527528448,1.143527528448,5.7,4,5,5,0.0122694885497539,0.76885125869901,1.3308896,1.3308896
6,2,7.10973683712,7.10973683712,21.3,2,3,3,2.42714812703971,14.2197084833908,3.2422736,3.2422736
6,3,19.3297272832,19.3297272832,58,2,3,3,1.49064590681441,11.143709909389,12.8872903111111,12.8872903111111
6,4,2.324242944,2.324242944,7,2,3,3,2.61731170032357,14.7662519890417,4.71002773333333,4.71002773333333
6,5,8.29707348924231,8.1579957127359,89.7,3,4,11,0.436059758954012,13.3464618038938,4.79068770909091,8.1198424
6,6,21.2050923136,21.2050923136,127.2,5,6,6,1.04256133080209,7.04285081290545,7.91611875555555,7.91611875555555
7,1,1.2151305216,1.2151305216,3.6,2,3,3,0.0328336414368616,1.65387269708499,1.40640106666667,1.40640106666667
7,2,0.86690184192,0.86690184192,2.6,2,3,3,0.0102443233179212,0.923813257574224,1.03828266666667,1.03828266666667
7,3,14.56543700992,14.56543700992,43.7,2,3,3,8.42599028672492,26.4943353604895,7.74779111111111,7.74779111111111
7,4,13.05164353536,13.05164353536,39.2,2,3,3,4.14317618941819,18.5784403856892,9.72210133333333,9.72210133333333
7,5,1.70207611816523,1.63915025682074,16.4,2,3,10,2.33952728597962,46.535603966311,3.14882816,3.75669546666667
7,6,17.69034313728,17.69034313728,53.1,2,3,3,2.97441029988502,15.7413867895955,10.2129258666667,10.2129258666667
7,7,21.2050923136,21.2050923136,127.2,5,6,6,1.04256133080209,7.04285081290545,7.91611875555555,7.91611875555555
