"strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1,3222.98461417962,3222.98461417962,99912.5,30,31,31,19086386.8201811,1628.9768538611,4.49280819036559,4.49280819036559
2,1,3519.21383572285,3519.21383572285,80941.9,22,23,23,30779.9453000019,1784.155032031,5.00928808869565,5.00928808869565
2,2,2371.32560224282,2371.32560224282,18970.6,7,8,8,5007.82704805075,505.973494841512,3.00792848266667,3.00792848266667
3,1,2377.6336224833,2377.6336224833,47552.7,19,20,20,10467.6099685027,982.542128722785,3.21492075106667,3.21492075106667
3,2,11129.7485906532,11129.7485906532,33389.2,2,3,3,788605.487591082,8105.36262682895,16.9717370062222,16.9717370062222
3,3,2371.32560224282,2371.32560224282,18970.6,7,8,8,5007.82704805075,505.973494841512,3.00792848266667,3.00792848266667
4,1,1461.94425333754,1461.94425333754,24853.1,16,17,17,1488.95480972436,347.653134184618,2.15491542039216,2.15491542039216
4,2,7566.54004764262,7566.54004764262,22699.6,2,3,3,199529.197738089,4077.04758514852,9.22161762488889,9.22161762488889
4,3,11129.7485906532,11129.7485906532,33389.2,2,3,3,788605.487591082,8105.36262682895,16.9717370062222,16.9717370062222
4,4,2371.32560224282,2371.32560224282,18970.6,7,8,8,5007.82704805075,505.973494841512,3.00792848266667,3.00792848266667
5,1,1461.94425333754,1461.94425333754,24853.1,16,17,17,1488.95480972436,347.653134184618,2.15491542039216,2.15491542039216
5,2,7566.54004764262,7566.54004764262,22699.6,2,3,3,199529.197738089,4077.04758514852,9.22161762488889,9.22161762488889
5,3,11129.7485906532,11129.7485906532,33389.2,2,3,3,788605.487591082,8105.36262682895,16.9717370062222,16.9717370062222
5,4,5106.99051684864,5106.99051684864,15321,2,3,3,14879.1399710937,1113.34936768067,6.24479829333333,6.24479829333333
5,5,729.926653479322,729.926653479322,3649.6,4,5,5,3469.98044588808,408.876936094461,1.06580659626667,1.06580659626667
6,1,1472.17360723348,1472.17360723348,14721.7,9,10,10,3153.28664446663,423.431580050532,2.10883468666667,2.10883468666667
6,2,1447.33089062905,1447.33089062905,10131.3,6,7,7,1373.24128517499,259.127893742255,2.22074504,2.22074504
6,3,7566.54004764262,7566.54004764262,22699.6,2,3,3,199529.197738089,4077.04758514852,9.22161762488889,9.22161762488889
6,4,11129.7485906532,11129.7485906532,33389.2,2,3,3,788605.487591082,8105.36262682895,16.9717370062222,16.9717370062222
6,5,4135.18258326067,4135.18258326067,16540.7,3,4,4,6747.09902775466,603.696962994816,5.064742848,5.064742848
6,6,607.46862122496,607.46862122496,2429.9,3,4,4,2587.49222399644,373.852230005195,0.951114117333333,0.951114117333333
7,1,1387.67174857359,1387.67174857359,6938.4,4,5,5,6277.08057893103,549.930683265927,2.0884206336,2.0884206336
7,2,1556.67546589336,1556.67546589336,7783.4,4,5,5,1697.50769700169,285.979548357673,2.12924873973333,2.12924873973333
7,3,1447.33089062905,1447.33089062905,10131.3,6,7,7,1373.24128517499,259.127893742255,2.22074504,2.22074504
7,4,7566.54004764262,7566.54004764262,22699.6,2,3,3,199529.197738089,4077.04758514852,9.22161762488889,9.22161762488889
7,5,11129.7485906532,11129.7485906532,33389.2,2,3,3,788605.487591082,8105.36262682895,16.9717370062222,16.9717370062222
7,6,4135.18258326067,4135.18258326067,16540.7,3,4,4,6747.09902775466,603.696962994816,5.064742848,5.064742848
7,7,607.46862122496,607.46862122496,2429.9,3,4,4,2587.49222399644,373.852230005195,0.951114117333333,0.951114117333333
8,1,911.73771159552,911.73771159552,2735.2,2,3,3,3918.03359182809,571.316319493165,1.25537813333333,1.25537813333333
8,2,1755.82358867558,1755.82358867558,5267.5,2,3,3,8521.93824899336,842.581159006236,2.73351509333333,2.73351509333333
8,3,1679.76304288037,1679.76304288037,6719.1,3,4,4,2531.86578527445,369.811820662804,2.28041679666667,2.28041679666667
8,4,1447.33089062905,1447.33089062905,10131.3,6,7,7,1373.24128517499,259.127893742255,2.22074504,2.22074504
8,5,7566.54004764262,7566.54004764262,22699.6,2,3,3,199529.197738089,4077.04758514852,9.22161762488889,9.22161762488889
8,6,11129.7485906532,11129.7485906532,33389.2,2,3,3,788605.487591082,8105.36262682895,16.9717370062222,16.9717370062222
8,7,4135.18258326067,4135.18258326067,16540.7,3,4,4,6747.09902775466,603.696962994816,5.064742848,5.064742848
8,8,607.46862122496,607.46862122496,2429.9,3,4,4,2587.49222399644,373.852230005195,0.951114117333333,0.951114117333333
9,1,911.73771159552,911.73771159552,2735.2,2,3,3,3918.03359182809,571.316319493165,1.25537813333333,1.25537813333333
9,2,1755.82358867558,1755.82358867558,5267.5,2,3,3,8521.93824899336,842.581159006236,2.73351509333333,2.73351509333333
9,3,1823.58927768147,1823.58927768147,5470.8,2,3,3,5078.09574145782,650.418663276485,2.48186526488889,2.48186526488889
9,4,868.686860500992,868.686860500992,2606.1,2,3,3,45.5744896263508,61.6174127895041,1.17495842133333,1.17495842133333
9,5,1754.70799827548,1754.70799827548,8773.5,4,5,5,4033.8707132423,440.849230711516,2.7392822816,2.7392822816
