"strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1,298.8160902144,298.8160902144,8964.5,29,30,30,1725969.21269228,498.952958210589,0.1628216,0.1628216
2,1,1588.721992704,1588.721992704,4766.2,2,3,3,30870.9010103712,1603.67812313856,0.575774933333333,0.575774933333333
2,2,155.49321216,155.49321216,4198.3,26,27,27,110.922036500595,114.633013242848,0.116937896296296,0.116937896296296
3,1,1588.721992704,1588.721992704,4766.2,2,3,3,30870.9010103712,1603.67812313856,0.575774933333333,0.575774933333333
3,2,225.028120497231,225.028120497231,2925.4,12,13,13,133.23681449468,94.3810432536133,0.142673107692308,0.142673107692308
3,3,90.9250829897143,90.9250829897143,1273,13,14,14,52.4237330731784,60.7362814716062,0.0930409142857143,0.0930409142857143
4,1,1588.721992704,1588.721992704,4766.2,2,3,3,30870.9010103712,1603.67812313856,0.575774933333333,0.575774933333333
4,2,225.028120497231,225.028120497231,2925.4,12,13,13,133.23681449468,94.3810432536133,0.142673107692308,0.142673107692308
4,3,140.6289309696,140.6289309696,703.1,4,5,5,83.9813962750805,63.6093042480179,0.1132672,0.1132672
4,4,63.311834112,63.311834112,569.8,8,9,9,19.41204548845,32.3290727006111,0.0818040888888889,0.0818040888888889
5,1,1588.721992704,1588.721992704,4766.2,2,3,3,30870.9010103712,1603.67812313856,0.575774933333333,0.575774933333333
5,2,218.2800528,218.2800528,1746.2,7,8,8,205.130294216255,102.404256287246,0.1451236,0.1451236
5,3,282.78289152,282.78289152,848.3,2,3,3,693.674717985472,240.392262703189,0.1557424,0.1557424
5,4,147.703017764571,147.703017764571,1033.9,6,7,7,73.5268747149015,59.9602993611053,0.1132672,0.1132672
5,5,63.311834112,63.311834112,569.8,8,9,9,19.41204548845,32.3290727006111,0.0818040888888889,0.0818040888888889
6,1,1588.721992704,1588.721992704,4766.2,2,3,3,30870.9010103712,1603.67812313856,0.575774933333333,0.575774933333333
6,2,337.412794752,337.412794752,1349.7,3,4,4,479.005143765181,160.853508255957,0.212376,0.212376
6,3,99.147310848,99.147310848,396.6,3,4,4,1.8853838486839,10.0916072487917,0.0778712,0.0778712
6,4,282.78289152,282.78289152,848.3,2,3,3,693.674717985472,240.392262703189,0.1557424,0.1557424
6,5,147.703017764571,147.703017764571,1033.9,6,7,7,73.5268747149015,59.9602993611053,0.1132672,0.1132672
6,6,63.311834112,63.311834112,569.8,8,9,9,19.41204548845,32.3290727006111,0.0818040888888889,0.0818040888888889
7,1,1588.721992704,1588.721992704,4766.2,2,3,3,30870.9010103712,1603.67812313856,0.575774933333333,0.575774933333333
7,2,337.412794752,337.412794752,1349.7,3,4,4,479.005143765181,160.853508255957,0.212376,0.212376
7,3,99.147310848,99.147310848,396.6,3,4,4,1.8853838486839,10.0916072487917,0.0778712,0.0778712
7,4,282.78289152,282.78289152,848.3,2,3,3,693.674717985472,240.392262703189,0.1557424,0.1557424
7,5,147.446710272,147.446710272,442.3,2,3,3,68.8157474938735,75.715791735565,0.103828266666667,0.103828266666667
7,6,134.6103650304,134.6103650304,673.1,4,5,5,94.7280074143448,67.556680376672,0.1132672,0.1132672
7,7,61.041959424,61.041959424,488.3,7,8,8,20.083187458317,32.0419860785503,0.0814108,0.0814108
8,1,1588.721992704,1588.721992704,4766.2,2,3,3,30870.9010103712,1603.67812313856,0.575774933333333,0.575774933333333
8,2,337.412794752,337.412794752,1349.7,3,4,4,479.005143765181,160.853508255957,0.212376,0.212376
8,3,99.147310848,99.147310848,396.6,3,4,4,1.8853838486839,10.0916072487917,0.0778712,0.0778712
8,4,282.78289152,282.78289152,848.3,2,3,3,693.674717985472,240.392262703189,0.1557424,0.1557424
8,5,147.446710272,147.446710272,442.3,2,3,3,68.8157474938735,75.715791735565,0.103828266666667,0.103828266666667
8,6,147.895248384,147.895248384,591.6,3,4,4,128.323261241321,83.2555401986465,0.1203464,0.1203464
8,7,68.870988288,68.870988288,275.5,3,4,4,25.7814622551991,37.3176443785449,0.0778712,0.0778712
8,8,58.8645107712,58.8645107712,294.3,4,5,5,23.1862547875076,33.4229209523246,0.0849504,0.0849504
9,1,1588.721992704,1588.721992704,4766.2,2,3,3,30870.9010103712,1603.67812313856,0.575774933333333,0.575774933333333
9,2,337.412794752,337.412794752,1349.7,3,4,4,479.005143765181,160.853508255957,0.212376,0.212376
9,3,99.147310848,99.147310848,396.6,3,4,4,1.8853838486839,10.0916072487917,0.0778712,0.0778712
9,4,282.78289152,282.78289152,848.3,2,3,3,693.674717985472,240.392262703189,0.1557424,0.1557424
9,5,147.446710272,147.446710272,442.3,2,3,3,68.8157474938735,75.715791735565,0.103828266666667,0.103828266666667
9,6,152.666062848,152.666062848,458,2,3,3,83.1409857205931,83.2242972729083,0.132145066666667,0.132145066666667
9,7,84.732926976,84.732926976,254.2,2,3,3,389.840112298998,180.212874469615,0.0755114666666667,0.0755114666666667
9,8,67.770031104,67.770031104,203.3,2,3,3,117.140387802438,98.7861092656717,0.0849504,0.0849504
9,9,61.47010944,61.47010944,245.9,3,4,4,27.3285172744254,38.4209840172996,0.0849504,0.0849504
